site,date,ndvi,collection,cloud_cover
RUS_CHE_LOW,2016-08-09,0.2940953580912229,LANDSAT/LE07/C02/T1_L2,1.0
RUS_CHE_LOW,2016-08-03,0.3218827982207356,LANDSAT/LC08/C02/T1_L2,0.7
RUS_CHE_LOW,2016-07-16,0.32820607298965637,LANDSAT/LC08/C02/T1_L2,4.59
RUS_CHE_LOW,2016-08-01,0.329645710230977,LANDSAT/LC08/C02/T1_L2,17.89
RUS_CHE_LOW,2016-08-01,0.32919840377063064,LANDSAT/LC08/C02/T1_L2,18.25
AUS_MAR_UBW,2010-11-18,0.252485339142226,LANDSAT/LT05/C02/T1_L2,4.0
AUS_MAR_UBW,2011-01-05,0.266534601705647,LANDSAT/LT05/C02/T1_L2,0.0
AUS_MAR_UBW,2011-02-06,0.24159300689534177,LANDSAT/LT05/C02/T1_L2,6.0
AUS_MAR_UBW,2011-09-02,0.24832554243516458,LANDSAT/LT05/C02/T1_L2,2.0
AUS_MAR_UBW,2011-09-18,0.2528850026748611,LANDSAT/LT05/C02/T1_L2,3.0
AUS_MAR_UBW,2010-03-15,0.27824815554535165,LANDSAT/LE07/C02/T1_L2,0.0
AUS_MAR_UBW,2010-04-16,0.27791047663736795,LANDSAT/LE07/C02/T1_L2,7.0
AUS_MAR_UBW,2010-05-02,0.2755408814290282,LANDSAT/LE07/C02/T1_L2,15.0
AUS_MAR_UBW,2010-05-18,0.2666184096526749,LANDSAT/LE07/C02/T1_L2,7.0
AUS_MAR_UBW,2010-10-09,0.26167644203869933,LANDSAT/LE07/C02/T1_L2,5.0
AUS_MAR_UBW,2010-12-28,0.27483908968603454,LANDSAT/LE07/C02/T1_L2,1.0
AUS_MAR_UBW,2011-01-29,0.2875124707066336,LANDSAT/LE07/C02/T1_L2,0.0
AUS_MAR_UBW,2011-02-14,0.27449510913761,LANDSAT/LE07/C02/T1_L2,19.0
AUS_MAR_UBW,2011-03-18,0.28285217420055453,LANDSAT/LE07/C02/T1_L2,18.0
AUS_MAR_UBW,2011-10-12,0.24743992447422133,LANDSAT/LE07/C02/T1_L2,3.0
AUS_MAR_UBW,2011-11-13,-0.3440718429712322,LANDSAT/LE07/C02/T1_L2,16.0
AUS_MAR_UBW,2011-12-15,0.2587745708391505,LANDSAT/LE07/C02/T1_L2,11.0
AUS_MAR_UBD,2010-11-18,0.2723857385170907,LANDSAT/LT05/C02/T1_L2,4.0
AUS_MAR_UBD,2011-01-05,0.295674783044891,LANDSAT/LT05/C02/T1_L2,0.0
AUS_MAR_UBD,2011-02-06,0.2924692165097915,LANDSAT/LT05/C02/T1_L2,6.0
