site_code,duration_days,total_records,start_date,end_date,sampling_freq_min,modeling_score,critical_env_coverage,env_vars_present,country,biome,elevation
ARG_MAZ,11.96,288,2009-11-19T03:00:00+00:00,2009-12-01T02:00:00+00:00,60.0,73.4,1.0,5,ARG,Woodland/Shrubland,550.0
ARG_TRE,12.96,312,2009-11-18T03:00:00+00:00,2009-12-01T02:00:00+00:00,60.0,74.6,1.0,5,ARG,Woodland/Shrubland,460.0
COL_MAC_SAF_RAD,13.24,1270,2015-01-13T23:00:00+00:00,2015-01-27T04:45:00+00:00,15.0,79.7,1.0,5,COL,Tropical rain forest,360.0
USA_CHE_MAP,31.0,1489,2005-07-20T17:30:00+00:00,2005-08-20T17:30:00+00:00,30.0,82.8,1.0,5,USA,Temperate forest,1565.0
AUS_BRI_BRI,34.42,1653,2009-09-09T14:00:00+00:00,2009-10-14T00:00:00+00:00,30.0,79.2,1.0,5,AUS,Woodland/Shrubland,707.0
CRI_TAM_TOW,34.72,10000,2015-01-01T06:00:00+00:00,2015-02-04T23:15:00+00:00,5.0,81.3,1.0,5,CRI,Tropical rain forest,600.0
CZE_LIZ_LES,52.08,10000,2007-06-20T23:00:00+00:00,2007-08-12T00:50:00+00:00,5.0,78.3,1.0,5,CZE,Temperate forest,858.0
RUS_CHE_LOW,59.21,2843,2016-07-01T18:00:00+00:00,2016-08-29T23:00:00+00:00,30.0,80.8,0.6,3,RUS,Tundra,90.0
SEN_SOU_IRR,60.96,1464,1998-07-31T23:59:59+00:00,1998-09-30T23:00:00+00:00,60.0,84.9,1.0,5,SEN,Subtropical desert,10.0
MEX_VER_BSJ,61.44,10000,2015-03-04T19:30:00+00:00,2015-05-05T06:10:00+00:00,10.0,74.6,0.6,3,MEX,Temperate forest,1440.0
MEX_VER_BSM,67.97,10000,2015-02-27T16:00:00+00:00,2015-05-06T15:15:00+00:00,10.0,79.2,0.6,3,MEX,Temperate forest,1524.0
CHN_ARG_GWS,69.44,10000,2013-04-30T16:00:00+00:00,2013-07-09T02:30:00+00:00,10.0,89.2,1.0,5,CHN,Temperate grassland desert,830.0
CHN_ARG_GWD,69.44,10000,2013-04-30T16:00:00+00:00,2013-07-09T02:30:00+00:00,10.0,89.2,1.0,5,CHN,Temperate grassland desert,830.0
CHN_YIN_ST2_DRO,69.44,10000,2012-05-25T16:00:00+00:00,2012-08-03T02:30:00+00:00,10.0,89.2,1.0,5,CHN,Temperate grassland desert,930.0
CHE_DAV_SEE,69.44,10000,2009-12-31T23:00:00+00:00,2010-03-11T09:30:00+00:00,10.0,88.3,1.0,5,CHE,Temperate forest,1650.0
CHN_YIN_ST3_DRO,69.44,10000,2012-05-25T16:00:00+00:00,2012-08-03T02:30:00+00:00,10.0,89.2,1.0,5,CHN,Temperate grassland desert,930.0
NLD_SPE_DOU,69.44,10000,2015-06-18T23:00:00+00:00,2015-08-27T09:30:00+00:00,10.0,89.0,1.0,5,NLD,Woodland/Shrubland,50.0
HUN_SIK,69.44,10000,2014-05-21T23:00:00+00:00,2014-07-30T09:30:00+00:00,10.0,89.1,1.0,5,HUN,Woodland/Shrubland,330.0
CHN_YIN_ST1,69.44,10000,2012-05-25T16:00:00+00:00,2012-08-03T02:30:00+00:00,10.0,89.2,1.0,5,CHN,Temperate grassland desert,900.0
USA_HIL_HF1_PRE,70.03,10000,2010-06-17T04:00:00+00:00,2010-08-26T04:40:00+00:00,10.0,73.4,1.0,5,USA,Temperate forest,174.0
USA_HIL_HF2,70.03,10000,2010-06-17T04:00:00+00:00,2010-08-26T04:40:00+00:00,10.0,73.9,1.0,5,USA,Temperate forest,174.0
JPN_EBE_HYB,72.74,10000,2016-03-31T16:00:00+00:00,2016-06-12T09:40:00+00:00,10.0,67.5,0.6,3,JPN,Temperate forest,40.0
USA_NWH,81.98,3936,2013-07-26T06:00:00+00:00,2013-10-16T05:30:00+00:00,30.0,89.4,1.0,5,USA,Temperate forest,48.768
FIN_PET,87.98,4220,2008-06-15T22:00:00+00:00,2008-09-11T21:30:00+00:00,30.0,89.3,1.0,5,FIN,Woodland/Shrubland,251.0
