site,cluster
AUS_BRI_BRI.parquet,1
AUS_CAN_ST1_EUC.parquet,1
AUS_CAN_ST3_ACA.parquet,1
AUS_CAR_THI_00F.parquet,1
AUS_CAR_THI_0PF.parquet,1
AUS_CAR_THI_CON.parquet,1
AUS_CAR_THI_T00.parquet,1
AUS_CAR_THI_T0F.parquet,1
AUS_ELL_MB_MOD.parquet,1
AUS_ELL_UNB.parquet,1
AUS_KAR.parquet,1
AUS_MAR_HSD_HIG.parquet,1
AUS_MAR_HSW_HIG.parquet,1
AUS_MAR_MSD_MOD.parquet,1
AUS_MAR_MSW_MOD.parquet,1
AUS_MAR_UBD.parquet,1
AUS_MAR_UBW.parquet,1
AUS_WOM.parquet,2
AUT_PAT_FOR.parquet,2
AUT_PAT_KRU.parquet,2
AUT_PAT_TRE.parquet,2
AUT_TSC.parquet,2
BRA_CAM.parquet,1
BRA_SAN.parquet,1
CAN_TUR_P39_PRE.parquet,2
CHE_DAV_SEE.parquet,2
CHE_PFY_CON.parquet,2
CHE_PFY_IRR.parquet,2
CHN_ARG_GWD.parquet,0
CHN_ARG_GWS.parquet,0
CHN_HOR_AFF.parquet,2
CHN_YIN_ST1.parquet,0
CHN_YIN_ST2_DRO.parquet,0
CHN_YIN_ST3_DRO.parquet,0
CHN_YUN_YUN.parquet,1
CRI_TAM_TOW.parquet,1
CZE_LIZ_LES.parquet,2
ESP_MAJ_MAI.parquet,2
ESP_MAJ_NOR_LM1.parquet,2
ESP_RIN.parquet,2
ESP_RON_PIL.parquet,0
ESP_SAN_A2_45I.parquet,0
ESP_SAN_A_45I.parquet,2
ESP_SAN_B2_100.parquet,0
ESP_SAN_B_100.parquet,2
ESP_TIL_MIX.parquet,2
ESP_VAL_BAR.parquet,2
ESP_VAL_SOR.parquet,2
ESP_YUN_C1.parquet,0
ESP_YUN_C2.parquet,0
ESP_YUN_T1_THI.parquet,2
ESP_YUN_T3_THI.parquet,0
FRA_HES_HE1_NON.parquet,2
FRA_PUE.parquet,2
GBR_ABE_PLO.parquet,2
GBR_GUI_ST1.parquet,2
HUN_SIK.parquet,0
IDN_JAM_OIL.parquet,1
IDN_JAM_RUB.parquet,1
ITA_TOR.parquet,2
MDG_SEM_TAL.parquet,1
MDG_YOU_SHO.parquet,1
MEX_COR_YP.parquet,2
NLD_LOO.parquet,2
NLD_SPE_DOU.parquet,2
NZL_HUA_HUA.parquet,1
PRT_MIT.parquet,2
PRT_PIN.parquet,2
RUS_CHE_LOW.parquet,2
SEN_SOU_IRR.parquet,0
SEN_SOU_POS.parquet,0
SEN_SOU_PRE.parquet,0
THA_KHU.parquet,2
USA_CHE_ASP.parquet,2
USA_CHE_MAP.parquet,2
USA_HIL_HF1_PRE.parquet,2
USA_HIL_HF2.parquet,2
USA_INM.parquet,2
USA_MOR_SF.parquet,2
USA_PER_PER.parquet,2
USA_SWH.parquet,2
USA_TNB.parquet,2
USA_TNO.parquet,0
ZAF_FRA_FRA.parquet,1
ZAF_RAD.parquet,2
ZAF_SOU_SOU.parquet,2
ZAF_WEL_SOR.parquet,2
