site,cluster
AUS_BRI_BRI,2
AUS_CAN_ST1_EUC,2
AUS_CAN_ST3_ACA,2
AUS_CAR_THI_00F,2
AUS_CAR_THI_0PF,2
AUS_CAR_THI_CON,2
AUS_CAR_THI_T00,2
AUS_CAR_THI_T0F,2
AUS_ELL_MB_MOD,2
AUS_ELL_UNB,2
AUS_KAR,2
AUS_MAR_HSD_HIG,2
AUS_MAR_HSW_HIG,2
AUS_MAR_MSD_MOD,2
AUS_MAR_MSW_MOD,2
AUS_MAR_UBD,2
AUS_MAR_UBW,2
AUS_WOM,2
AUT_PAT_FOR,1
AUT_PAT_KRU,1
AUT_PAT_TRE,1
AUT_TSC,1
BRA_CAM,2
BRA_SAN,2
CAN_TUR_P39_PRE,1
CHE_PFY_CON,1
CHE_PFY_IRR,1
CHN_ARG_GWD,0
CHN_ARG_GWS,0
CHN_HOR_AFF,1
CHN_YIN_ST1,0
CHN_YIN_ST2_DRO,0
CHN_YIN_ST3_DRO,0
CRI_TAM_TOW,1
CZE_LIZ_LES,1
ESP_RIN,0
ESP_SAN_A2_45I,0
ESP_SAN_A_45I,0
ESP_SAN_B2_100,0
ESP_SAN_B_100,0
ESP_TIL_MIX,1
ESP_VAL_BAR,1
ESP_VAL_SOR,1
ESP_YUN_C2,1
ESP_YUN_T1_THI,1
ESP_YUN_T3_THI,1
FRA_HES_HE1_NON,0
FRA_PUE,1
GBR_ABE_PLO,1
GBR_GUI_ST1,1
HUN_SIK,0
IDN_JAM_RUB,2
ITA_TOR,1
MDG_SEM_TAL,2
MDG_YOU_SHO,2
NLD_LOO,1
NLD_SPE_DOU,0
PRT_PIN,0
RUS_CHE_LOW,0
SEN_SOU_IRR,0
SEN_SOU_POS,0
SEN_SOU_PRE,0
USA_CHE_ASP,1
USA_CHE_MAP,0
USA_HIL_HF1_PRE,1
USA_INM,1
USA_MOR_SF,1
USA_PER_PER,1
USA_SWH,1
ZAF_FRA_FRA,2
ZAF_RAD,2
ZAF_SOU_SOU,2
ZAF_WEL_SOR,2
