site,cluster
AUS_BRI_BRI.parquet,3
AUS_CAN_ST1_EUC.parquet,3
AUS_CAN_ST3_ACA.parquet,3
AUS_CAR_THI_00F.parquet,3
AUS_CAR_THI_0PF.parquet,3
AUS_CAR_THI_CON.parquet,3
AUS_CAR_THI_T00.parquet,3
AUS_CAR_THI_T0F.parquet,3
AUS_ELL_MB_MOD.parquet,3
AUS_ELL_UNB.parquet,3
AUS_KAR.parquet,5
AUS_MAR_HSD_HIG.parquet,3
AUS_MAR_HSW_HIG.parquet,3
AUS_MAR_MSD_MOD.parquet,3
AUS_MAR_MSW_MOD.parquet,3
AUS_MAR_UBD.parquet,3
AUS_MAR_UBW.parquet,3
AUS_WOM.parquet,3
AUT_PAT_FOR.parquet,1
AUT_PAT_KRU.parquet,1
AUT_PAT_TRE.parquet,1
AUT_TSC.parquet,1
BRA_CAM.parquet,0
BRA_SAN.parquet,0
CAN_TUR_P39_PRE.parquet,4
CHE_DAV_SEE.parquet,1
CHE_PFY_CON.parquet,1
CHE_PFY_IRR.parquet,1
CHN_ARG_GWD.parquet,2
CHN_ARG_GWS.parquet,2
CHN_HOR_AFF.parquet,1
CHN_YIN_ST1.parquet,2
CHN_YIN_ST2_DRO.parquet,2
CHN_YIN_ST3_DRO.parquet,2
CHN_YUN_YUN.parquet,0
CRI_TAM_TOW.parquet,0
CZE_LIZ_LES.parquet,4
ESP_MAJ_MAI.parquet,5
ESP_MAJ_NOR_LM1.parquet,5
ESP_RIN.parquet,2
ESP_RON_PIL.parquet,1
ESP_SAN_A2_45I.parquet,5
ESP_SAN_A_45I.parquet,5
ESP_SAN_B2_100.parquet,5
ESP_SAN_B_100.parquet,5
ESP_TIL_MIX.parquet,1
ESP_VAL_BAR.parquet,2
ESP_VAL_SOR.parquet,1
ESP_YUN_C1.parquet,1
ESP_YUN_C2.parquet,1
ESP_YUN_T1_THI.parquet,1
ESP_YUN_T3_THI.parquet,1
FRA_HES_HE1_NON.parquet,4
FRA_PUE.parquet,0
GBR_ABE_PLO.parquet,4
GBR_GUI_ST1.parquet,1
HUN_SIK.parquet,2
IDN_JAM_OIL.parquet,0
IDN_JAM_RUB.parquet,0
ITA_TOR.parquet,2
MDG_SEM_TAL.parquet,0
MDG_YOU_SHO.parquet,0
MEX_COR_YP.parquet,0
NLD_LOO.parquet,1
NLD_SPE_DOU.parquet,1
NZL_HUA_HUA.parquet,3
PRT_MIT.parquet,5
PRT_PIN.parquet,1
RUS_CHE_LOW.parquet,1
SEN_SOU_IRR.parquet,5
SEN_SOU_POS.parquet,5
SEN_SOU_PRE.parquet,5
THA_KHU.parquet,0
USA_CHE_ASP.parquet,4
USA_CHE_MAP.parquet,2
USA_HIL_HF1_PRE.parquet,4
USA_HIL_HF2.parquet,4
USA_INM.parquet,4
USA_MOR_SF.parquet,4
USA_PER_PER.parquet,4
USA_SWH.parquet,4
USA_TNB.parquet,4
USA_TNO.parquet,4
ZAF_FRA_FRA.parquet,3
ZAF_RAD.parquet,3
ZAF_SOU_SOU.parquet,3
ZAF_WEL_SOR.parquet,5
