site,cluster
AUS_BRI_BRI.parquet,2
AUS_CAN_ST1_EUC.parquet,2
AUS_CAN_ST3_ACA.parquet,2
AUS_CAR_THI_00F.parquet,2
AUS_CAR_THI_0PF.parquet,2
AUS_CAR_THI_CON.parquet,2
AUS_CAR_THI_T00.parquet,2
AUS_CAR_THI_T0F.parquet,2
AUS_ELL_MB_MOD.parquet,2
AUS_ELL_UNB.parquet,2
AUS_KAR.parquet,2
AUS_MAR_HSD_HIG.parquet,2
AUS_MAR_HSW_HIG.parquet,2
AUS_MAR_MSD_MOD.parquet,2
AUS_MAR_MSW_MOD.parquet,2
AUS_MAR_UBD.parquet,2
AUS_MAR_UBW.parquet,2
AUS_WOM.parquet,2
AUT_PAT_FOR.parquet,1
AUT_PAT_KRU.parquet,1
AUT_PAT_TRE.parquet,1
AUT_TSC.parquet,1
BRA_CAM.parquet,2
BRA_SAN.parquet,2
CAN_TUR_P39_PRE.parquet,1
CHE_DAV_SEE.parquet,1
CHE_PFY_CON.parquet,1
CHE_PFY_IRR.parquet,1
CHN_ARG_GWD.parquet,0
CHN_ARG_GWS.parquet,0
CHN_HOR_AFF.parquet,1
CHN_YIN_ST1.parquet,0
CHN_YIN_ST2_DRO.parquet,0
CHN_YIN_ST3_DRO.parquet,0
CHN_YUN_YUN.parquet,2
CRI_TAM_TOW.parquet,1
CZE_LIZ_LES.parquet,1
ESP_MAJ_MAI.parquet,1
ESP_MAJ_NOR_LM1.parquet,1
ESP_RIN.parquet,1
ESP_RON_PIL.parquet,0
ESP_SAN_A2_45I.parquet,0
ESP_SAN_A_45I.parquet,1
ESP_SAN_B2_100.parquet,0
ESP_SAN_B_100.parquet,1
ESP_VAL_BAR.parquet,1
ESP_VAL_SOR.parquet,1
ESP_YUN_C1.parquet,0
ESP_YUN_C2.parquet,0
ESP_YUN_T1_THI.parquet,1
ESP_YUN_T3_THI.parquet,0
FRA_HES_HE1_NON.parquet,1
GBR_ABE_PLO.parquet,1
GBR_GUI_ST1.parquet,1
HUN_SIK.parquet,0
IDN_JAM_OIL.parquet,2
IDN_JAM_RUB.parquet,2
ITA_TOR.parquet,1
MDG_SEM_TAL.parquet,2
MDG_YOU_SHO.parquet,2
MEX_COR_YP.parquet,1
NLD_LOO.parquet,1
NLD_SPE_DOU.parquet,1
NZL_HUA_HUA.parquet,2
PRT_MIT.parquet,1
PRT_PIN.parquet,1
RUS_CHE_LOW.parquet,1
SEN_SOU_IRR.parquet,0
SEN_SOU_POS.parquet,0
SEN_SOU_PRE.parquet,0
THA_KHU.parquet,2
USA_CHE_ASP.parquet,1
USA_CHE_MAP.parquet,1
USA_HIL_HF1_PRE.parquet,1
USA_INM.parquet,1
USA_MOR_SF.parquet,1
USA_PER_PER.parquet,1
USA_SWH.parquet,2
USA_TNB.parquet,1
USA_TNO.parquet,0
ZAF_FRA_FRA.parquet,2
ZAF_RAD.parquet,1
ZAF_SOU_SOU.parquet,1
ZAF_WEL_SOR.parquet,1
