feature,importance
stand_age,0.3966026
species_functional_group_code,0.08647287
clay_percentage,0.045974407
measurement_timestep,0.03955682
sw_in_range_72h,0.024169344
n_trees,0.022357931
pl_social_code,0.021837205
tree_density,0.018574957
sw_in_range_336h,0.017337477
latitude,0.0143902935
ext_rad,0.013480759
sw_in_max_72h,0.012890772
sw_in_max_336h,0.012378745
vpd,0.011864481
ppfd_in,0.011504206
basal_area,0.0100307595
month_cos,0.009132641
mean_annual_temp,0.0084382305
rh,0.008072747
temp_humidity_ratio,0.008037666
sand_percentage,0.00779291
water_stress_index,0.007650935
vpd_ppfd_interaction,0.006102
seasonal_temp_range,0.005757225
sw_in_mean_3h,0.005354648
silt_percentage,0.0051875007
stomatal_control_index,0.005059756
sw_in_lag_1h,0.0050318018
ppfd_efficiency,0.0049612722
sw_in_cum_24h,0.0044851536
ws_lag_3h,0.0043844343
tree_volume_index,0.004105128
is_summer,0.0040698797
vpd_rate_24h,0.0039405553
social_status_code,0.0039287647
pl_species_code,0.003863158
pl_bark_thick,0.0038551663
sw_in_rate_6h,0.0038493727
radiation_temp_interaction,0.0034628964
light_efficiency,0.0034176903
mean_annual_precip,0.0033560388
pl_sapw_depth,0.0032155272
solar_hour_cos,0.0028215523
elevation,0.0024539148
pl_sapw_area,0.0023674716
wind_vpd_interaction,0.0023250314
vpd_mean_3h,0.0022722692
soil_texture_code,0.002003918
seasonal_precip_range,0.0019898003
ta_rate_6h,0.0019436685
pl_height,0.0018923518
longitude,0.0018582501
sw_in_mean_24h,0.0018087985
tree_size_class_code,0.0016062876
ta_rate_1h,0.0016024241
precip_cum_24h,0.0015431414
soil_depth,0.0014671707
vpd_ta_interaction,0.0014120495
sw_in_rate_24h,0.0014101497
latitude_abs,0.0014021816
is_spring,0.0013795833
ppfd_in_lag_1h,0.0013740428
ppfd_in_lag_2h,0.0013311815
solar_day_cos,0.001295906
sw_in_std_3h,0.001238874
vpd_lag_2h,0.0010347868
is_winter,0.0010293816
vpd_rate_6h,0.0009855527
hour,0.0009726412
year,0.00095818785
pl_age,0.00090903614
swc_shallow_lag_3h,0.00087680673
is_afternoon,0.00087057246
swc_shallow_lag_24h,0.00085656485
stomatal_conductance_proxy,0.0008473542
leaf_habit_code,0.00084581616
hour_cos,0.00081171823
ta_range_72h,0.0007889694
stand_height,0.00078319747
swc_shallow,0.00077777397
rh_mean_720h,0.00076937815
hours_since_sunrise,0.00075910584
temp_soil_interaction,0.000751324
hour_sin,0.0007373754
vpd_mean_6h,0.0007346321
day_cos,0.00072189484
solar_day_of_year,0.00071376003
sw_in_range_168h,0.0006575482
month,0.0006519299
vpd_min_336h,0.00064593565
sw_in,0.00061252486
swc_shallow_lag_12h,0.0005938252
rh_mean_3h,0.0005777551
ws,0.0005747563
sw_in_mean_720h,0.0005733672
solar_day_sin,0.0005650543
is_autumn,0.0005458457
pl_dbh,0.0005440699
sw_in_std_720h,0.0005391652
hours_since_sunset,0.0005330509
solar_hour,0.00052768015
swc_shallow_lag_1h,0.0005252237
sw_in_std_6h,0.0005222317
sw_in_max_168h,0.00051831285
precip_lag_3h,0.0005136518
vpd_max_336h,0.0005089695
vpd_lag_1h,0.0004955709
day_of_year,0.0004933077
ta_lag_3h,0.00048343875
ta_range_168h,0.000479373
leaf_area_index,0.00047805783
day_sin,0.00045212626
sw_in_mean_12h,0.00044460988
rh_rate_24h,0.00044067897
is_weekend,0.00043877514
ta_std_24h,0.0004342051
ta_rate_24h,0.00042256145
day_of_week,0.00042152323
rh_max_336h,0.00041900782
rh_std_720h,0.00041765688
swc_shallow_lag_6h,0.00041651956
vpd_mean_12h,0.00041317154
rh_range_336h,0.00039236745
sw_in_std_24h,0.00037007724
rh_min_168h,0.00035625196
vpd_mean_720h,0.0003532812
month_sin,0.00035276337
pl_leaf_area,0.00035195414
sw_in_lag_3h,0.00035016602
precip_lag_1h,0.0003287163
vpd_range_336h,0.0003267086
vpd_min_168h,0.0003178243
sw_in_std_48h,0.0003174432
rh_mean_6h,0.0003070842
ta_range_336h,0.00030696118
sw_in_lag_24h,0.00030629407
vpd_std_3h,0.00030211842
vpd_rate_1h,0.00030111606
vpd_max_72h,0.00029640918
vpd_std_24h,0.00029604702
rh_mean_336h,0.00029294475
ta_min_336h,0.00029250214
solar_hour_sin,0.00028054952
ta_mean_720h,0.00027776047
vpd_std_720h,0.0002760738
rh_min_72h,0.00027365837
rh_std_336h,0.0002704576
ta_std_12h,0.0002652923
vpd_lag_3h,0.00026518595
vpd_max_168h,0.0002611783
rh_mean_12h,0.00026046037
precip_cum_168h,0.00025950334
vpd_mean_24h,0.00025538504
sw_in_mean_336h,0.00025225716
ppfd_in_lag_24h,0.00025209424
ta_min_168h,0.00024446877
ppfd_in_lag_3h,0.00024383533
vpd_std_336h,0.00024324807
ta_lag_1h,0.00024137914
rh_lag_1h,0.00024016436
swc_shallow_lag_2h,0.0002400818
sw_in_mean_48h,0.00023651628
ta_std_3h,0.00023497969
vpd_std_12h,0.00023174335
rh_min_336h,0.00022905286
vpd_mean_336h,0.0002287911
precip_lag_24h,0.0002269646
wind_stress,0.0002239381
sw_in_mean_6h,0.00022221563
ta_max_168h,0.00022111236
ta_max_336h,0.00021729697
ta_mean_336h,0.00021499471
ta_lag_2h,0.00021038263
rh_max_72h,0.00020993577
ta_min_72h,0.00020971414
precip_cum_72h,0.00020958038
vpd_range_168h,0.00020936402
ta_mean_3h,0.00020920567
sw_in_lag_2h,0.00020743799
ta_mean_12h,0.00020686832
ta_std_6h,0.00020680069
ta_mean_24h,0.00020332463
ws_lag_1h,0.00019950776
sw_in_rate_1h,0.00019918678
rh_std_72h,0.00019896081
rh_mean_24h,0.00019887669
sw_in_std_336h,0.00019815928
ta_lag_6h,0.0001974949
rh_range_168h,0.00019615368
rh_mean_168h,0.00019561057
temp_deviation,0.0001944554
rh_max_168h,0.0001929186
aridity_index,0.00019217732
sw_in_std_72h,0.00018907846
sw_in_min_168h,0.00018228915
sw_in_min_336h,0.00018220625
sw_in_std_168h,0.00018156957
rh_std_168h,0.00017158825
ta_mean_168h,0.00016832264
ta_max_72h,0.00016758464
rh_std_24h,0.00016734989
ta_std_720h,0.00016401168
vpd_std_6h,0.0001633402
ta_std_336h,0.00016177901
vpd_mean_72h,0.00015999872
vpd_std_168h,0.00015889062
ta_lag_12h,0.00015862884
vpd_range_72h,0.00015668133
humidity_soil_interaction,0.00015614572
vpd_min_72h,0.00015523695
ta_lag_24h,0.00015111954
precip,0.0001506595
ws_lag_2h,0.00015016354
rh_mean_72h,0.00014759232
sw_in_min_72h,0.00014733385
rh_std_48h,0.00014606188
ta_mean_72h,0.00014423087
ppfd_in_lag_6h,0.00014249585
ta_mean_6h,0.00013992988
ta_std_48h,0.00013987046
sw_in_mean_72h,0.00013978695
vpd_lag_24h,0.00013855034
rh_mean_48h,0.00013540733
sw_in_lag_12h,0.00013518457
rh_lag_3h,0.00013444322
vpd_std_72h,0.00013265226
rh_lag_2h,0.00013238612
sw_in_cum_72h,0.00013029604
vpd_mean_168h,0.00012978849
vpd_mean_48h,0.00012975087
is_morning,0.00012737501
sw_in_mean_168h,0.00012733194
vpd_lag_6h,0.0001264557
rh_lag_12h,0.0001257851
vpd_std_48h,0.00012530213
rh_range_72h,0.0001252785
ta_mean_48h,0.00012479132
precip_lag_6h,0.00011824128
ta_std_72h,0.00011640987
rh_lag_6h,0.00011172838
rh_std_12h,0.00010848648
ta,0.0001079468
ta_std_168h,0.00010785795
precip_lag_12h,0.00010204732
sw_in_lag_6h,0.00010200293
vpd_lag_12h,9.868816e-05
sw_in_std_12h,9.759935e-05
ws_lag_12h,9.7544005e-05
ppfd_in_lag_12h,9.2545975e-05
rh_rate_6h,8.7792956e-05
rh_lag_24h,8.686661e-05
ws_lag_6h,8.591507e-05
precip_lag_2h,8.1771366e-05
rh_rate_1h,7.314909e-05
sapwood_leaf_ratio,7.3091294e-05
ws_lag_24h,7.091401e-05
is_night,6.842805e-05
terrain_code,6.512646e-05
rh_std_3h,5.8090456e-05
rh_std_6h,5.634877e-05
is_daylight,4.1353327e-05
tree_age_class_code,2.7790753e-05
is_peak_sunlight,2.7683283e-05
climate_zone_code,0.0
timezone_offset,0.0
growth_condition_code,0.0
igbp_code,0.0
measurement_frequency,0.0
koppen_geiger_code_encoded,0.0
igbp_class_code,0.0
biome_code,0.0
is_inside_country,0.0
