feature_index,feature_name,importance
f13,stand_age,1814440.25
f11,mean_annual_temp,44545.27734375
f10,elevation,26413.794921875
f31,tree_volume_index,20356.369140625
f24,latitude_abs,12093.509765625
f45,basal_area,11147.2587890625
f29,social_status_code,10915.1552734375
f7,ext_rad,9422.8662109375
f9,longitude,8958.646484375
f22,pl_sapw_area,8957.375
f23,pl_sapw_depth,7696.552734375
f47,leaf_area_index,6787.8857421875
f8,latitude,6282.89794921875
f18,pl_dbh,5135.6064453125
f2,vpd,4550.16552734375
f21,pl_bark_thick,4083.3857421875
f46,tree_density,3805.705078125
f1,rh,3700.594970703125
f30,sapwood_leaf_ratio,3084.3115234375
f40,species_functional_group_code,2929.575927734375
f6,ppfd_in,2557.2509765625
f20,pl_leaf_area,2442.1640625
f3,sw_in,2325.350341796875
f12,mean_annual_precip,1729.3594970703125
f25,aridity_index,1677.957275390625
f5,precip,1520.0096435546875
f16,n_trees,1286.7017822265625
f38,tree_size_class_code,1190.369873046875
f0,ta,912.9819946289062
f17,pl_age,636.5587158203125
f4,ws,599.3951416015625
f19,pl_height,598.4930419921875
f37,pl_social_code,597.0763549804688
f41,swc_shallow,436.2486267089844
f14,stand_height,416.6806640625
f27,biome_code,332.33984375
f15,soil_depth,309.8240051269531
