feature_index,feature_name,description,category,importance_score
f54,stand_age,No description available,Unknown category,2707377.0
f102,latitude_abs,No description available,Unknown category,207944.890625
f45,mean_annual_temp,No description available,Unknown category,117439.875
f7,ext_rad,No description available,Unknown category,49889.4140625
f263,ppfd_in_mean_24h,No description available,Unknown category,43396.9140625
f270,ppfd_in_max_72h,No description available,Unknown category,39262.14453125
f42,temp_humidity_ratio,No description available,Unknown category,36531.140625
f43,elevation,No description available,Unknown category,27046.904296875
f2,vpd,No description available,Unknown category,26853.12890625
f173,sw_in_mean_24h,No description available,Unknown category,23849.1328125
f1,rh,No description available,Unknown category,18927.951171875
f41,longitude,No description available,Unknown category,18164.873046875
f231,precip_mean_12h,No description available,Unknown category,17662.470703125
f110,tree_volume_index,No description available,Unknown category,16676.763671875
f264,ppfd_in_std_24h,No description available,Unknown category,12700.0341796875
f39,latitude,No description available,Unknown category,12148.1650390625
f98,rh_mean_3h,No description available,Unknown category,11769.16796875
f38,vpd_ppfd_interaction,No description available,Unknown category,11679.8642578125
f56,stomatal_control_index,No description available,Unknown category,10769.56640625
f101,pl_sapw_depth,No description available,Unknown category,10703.3720703125
f96,pl_leaf_area,No description available,Unknown category,10066.1611328125
f23,is_afternoon,No description available,Unknown category,10056.70703125
f370,basal_area,No description available,Unknown category,9714.607421875
f44,water_stress_index,No description available,Unknown category,9656.9453125
f371,tree_density,No description available,Unknown category,9541.8759765625
f18,month_cos,No description available,Unknown category,9267.7568359375
f34,solar_hour_cos,No description available,Unknown category,8602.5068359375
f229,precip_mean_6h,No description available,Unknown category,8477.173828125
f372,leaf_area_index,No description available,Unknown category,8011.58837890625
f100,pl_sapw_area,No description available,Unknown category,7682.203125
f337,vpd_rate_24h,No description available,Unknown category,7667.15283203125
f285,ppfd_in_max_720h,No description available,Unknown category,7509.61572265625
f28,is_winter,No description available,Unknown category,6954.59521484375
f281,ppfd_in_range_336h,No description available,Unknown category,6940.37158203125
f27,is_autumn,No description available,Unknown category,6760.09326171875
f53,radiation_temp_interaction,No description available,Unknown category,6727.66943359375
f94,pl_dbh,No description available,Unknown category,6663.55126953125
f40,vpd_ta_interaction,No description available,Unknown category,6587.12744140625
f95,pl_height,No description available,Unknown category,6330.666015625
f8,hour,No description available,Unknown category,5863.185546875
f51,wind_vpd_interaction,No description available,Unknown category,5563.986328125
f46,mean_annual_precip,No description available,Unknown category,5322.787109375
