feature_index,feature_name,importance
f292,tree_density,309074.28125
f56,n_trees,61687.91015625
f101,igbp_code,60384.328125
f277,igbp_class_code,59625.125
f291,basal_area,59607.9453125
f5,ext_rad,34708.73828125
f44,stand_age,28478.609375
f40,mean_annual_precip,26798.40234375
f32,solar_hour_cos,18698.140625
f278,soil_texture_code,11620.4638671875
f46,stand_height,9214.625
f194,ppfd_in_mean_3h,8123.57275390625
f295,rh_mean_3h,5820.67626953125
f37,longitude,5802.87841796875
f398,swc_shallow_mean_720h,5723.796875
f355,rh_lag_1h,5668.033203125
f35,latitude,5624.21630859375
f297,rh_mean_6h,5072.68603515625
f38,elevation,4567.470703125
f293,leaf_area_index,4302.48681640625
f39,mean_annual_temp,4236.8544921875
f288,clay_percentage,4062.7919921875
f396,swc_shallow_max_336h,3983.36328125
f212,ppfd_in_max_168h,3936.0087890625
f284,species_functional_group_code,3557.28125
f223,ppfd_in_range_720h,3541.45556640625
f25,is_autumn,3526.487060546875
f58,stomatal_control_index,3092.668212890625
f16,month_cos,3067.2822265625
f407,swc_shallow_lag_12h,2929.55322265625
f15,month_sin,2594.390380859375
f85,pl_age,2555.67724609375
f9,year,2394.259033203125
f282,tree_size_class_code,2327.881591796875
f220,ppfd_in_std_720h,2317.127685546875
f325,vpd_mean_3h,2233.85888671875
f51,radiation_temp_interaction,2153.988037109375
f406,swc_shallow_lag_6h,2016.6114501953125
f89,pl_bark_thick,1889.373779296875
f285,rh,1854.6168212890625
f299,rh_mean_12h,1798.3839111328125
f123,sw_in_range_168h,1720.1658935546875
f221,ppfd_in_min_720h,1704.5272216796875
f105,tree_volume_index,1693.708984375
f90,pl_sapw_area,1672.904052734375
f352,vpd_min_720h,1570.7923583984375
f91,pl_sapw_depth,1563.060546875
f95,ta_min_720h,1529.8294677734375
f206,ppfd_in_min_72h,1471.857666015625
f329,vpd_mean_12h,1468.739013671875
f163,ws_range_720h,1448.2816162109375
f6,hour,1443.849853515625
f87,pl_height,1425.0289306640625
f131,sw_in_min_720h,1369.32080078125
f86,pl_dbh,1325.489013671875
f49,temp_soil_interaction,1312.47314453125
f401,swc_shallow_max_720h,1307.6456298828125
f217,ppfd_in_max_336h,1293.1846923828125
f18,is_peak_sunlight,1284.9912109375
f286,vpd,1251.6224365234375
f133,sw_in_range_720h,1232.26416015625
f162,ws_max_720h,1226.2703857421875
f13,day_sin,1203.5601806640625
f30,solar_day_of_year,1101.8963623046875
f8,month,1052.367919921875
f323,rh_max_720h,1050.4044189453125
f161,ws_min_720h,1045.7967529296875
f88,pl_leaf_area,1028.7039794921875
f203,ppfd_in_std_48h,1003.138916015625
f248,ppfd_in_lag_1h,997.4691162109375
f271,precip_cum_168h,995.326416015625
f222,ppfd_in_max_720h,980.5733642578125
f33,solar_day_sin,972.2433471679688
f327,vpd_mean_6h,966.59033203125
f31,solar_hour_sin,946.404541015625
f34,solar_day_cos,909.1553955078125
f322,rh_min_720h,884.5753173828125
f11,hour_sin,874.2821044921875
f211,ppfd_in_min_168h,844.3060302734375
f132,sw_in_max_720h,836.0496215820312
f7,day_of_year,749.4049682617188
f182,precip_max_168h,728.151123046875
f42,vpd_ta_interaction,707.599365234375
f43,temp_humidity_ratio,702.74462890625
f41,vpd_ppfd_interaction,670.2122802734375
f196,ppfd_in_mean_6h,662.44091796875
f50,wind_vpd_interaction,656.9999389648438
f12,hour_cos,656.2774658203125
f45,water_stress_index,582.593505859375
f129,sw_in_mean_720h,579.97900390625
f117,sw_in_max_72h,573.79541015625
f29,solar_hour,569.2713012695312
f281,pl_social_code,566.5067749023438
f14,day_cos,553.1865844726562
f190,precip_std_720h,532.381591796875
f357,rh_lag_3h,527.2564086914062
f47,light_efficiency,525.457275390625
f102,sw_in_mean_3h,524.1165161132812
f96,ta_max_720h,520.57421875
f62,sapwood_leaf_ratio,515.8143310546875
f159,ws_mean_720h,510.4835205078125
f82,ta_min_336h,509.16815185546875
f184,precip_mean_336h,504.5543518066406
f315,rh_mean_336h,491.5855712890625
f191,precip_min_720h,485.9180908203125
f104,social_status_code,483.2816162109375
f27,hours_since_sunrise,478.1138610839844
f388,swc_shallow_mean_168h,468.75274658203125
f230,sw_in_lag_1h,464.642578125
f400,swc_shallow_min_720h,454.97015380859375
f408,swc_shallow_lag_24h,447.801025390625
f187,precip_max_336h,441.0936584472656
f125,sw_in_std_336h,434.89404296875
f106,sw_in_mean_6h,431.36614990234375
f317,rh_min_336h,429.780029296875
f266,ppfd_in_rate_1h,424.44598388671875
f28,hours_since_sunset,405.7613525390625
f383,swc_shallow_mean_72h,405.39691162109375
f219,ppfd_in_mean_720h,404.0282897949219
f93,ta_mean_720h,399.3351135253906
f392,swc_shallow_range_168h,398.09393310546875
f318,rh_max_336h,397.99249267578125
f98,aridity_index,394.388671875
f130,sw_in_std_720h,393.92431640625
f185,precip_std_336h,389.4072570800781
f21,is_afternoon,384.30303955078125
f127,sw_in_max_336h,379.9870910644531
f363,vpd_lag_3h,379.55322265625
f122,sw_in_max_168h,371.6255187988281
f411,swc_shallow_rate_24h,370.6548767089844
f390,swc_shallow_min_168h,365.5498046875
f160,ws_std_720h,361.83331298828125
f69,ta_std_48h,360.19476318359375
f1,ppfd_in,359.1827087402344
f120,sw_in_std_168h,358.30743408203125
f378,swc_shallow_std_12h,357.4167785644531
f201,ppfd_in_std_24h,355.3629150390625
f209,ppfd_in_mean_168h,345.72625732421875
f324,rh_range_720h,344.1935729980469
f128,sw_in_range_336h,343.8533020019531
f195,ppfd_in_std_3h,343.2590026855469
f20,is_morning,341.0408630371094
f229,ta_lag_24h,338.7161865234375
f124,sw_in_mean_336h,333.2740173339844
f189,precip_mean_720h,332.8254699707031
f216,ppfd_in_min_336h,332.7014465332031
f273,sw_in_cum_72h,329.7195129394531
f255,ta_rate_6h,319.5686340332031
f75,ta_mean_168h,317.5849304199219
f399,swc_shallow_std_720h,316.6829833984375
f372,vpd_rate_24h,316.2718505859375
f373,swc_shallow_mean_3h,315.2454833984375
f178,precip_range_72h,314.9617004394531
f158,ws_range_336h,314.5515441894531
f144,ws_mean_72h,313.86865234375
f116,sw_in_min_72h,310.9588317871094
f312,rh_min_168h,306.08660888671875
f313,rh_max_168h,300.3533020019531
f210,ppfd_in_std_168h,297.8592834472656
f80,ta_mean_336h,297.5274353027344
f334,vpd_std_48h,296.59930419921875
f393,swc_shallow_mean_336h,296.5465393066406
f402,swc_shallow_range_720h,296.3497619628906
f97,ta_range_720h,296.2313232421875
f24,is_summer,296.1070251464844
f385,swc_shallow_min_72h,296.0146789550781
f342,vpd_min_168h,295.6905822753906
f337,vpd_min_72h,293.4439392089844
f218,ppfd_in_range_336h,293.442138671875
f77,ta_min_168h,290.8132629394531
f347,vpd_min_336h,288.0714111328125
f308,rh_max_72h,286.99835205078125
f320,rh_mean_720h,286.34332275390625
f353,vpd_max_720h,284.38067626953125
f358,rh_lag_6h,283.0416259765625
f4,sw_in,281.7115173339844
f228,ta_lag_12h,279.8127136230469
f351,vpd_std_720h,273.31854248046875
f156,ws_min_336h,272.4895935058594
f151,ws_min_168h,271.9402770996094
f157,ws_max_336h,265.14678955078125
f215,ppfd_in_std_336h,265.0022277832031
f23,is_spring,262.6039733886719
f369,rh_rate_24h,259.7112121582031
f193,precip_range_720h,259.6899719238281
f354,vpd_range_720h,255.69728088378906
f17,is_daylight,255.21726989746094
f350,vpd_mean_720h,251.2358856201172
f153,ws_range_168h,246.45445251464844
f394,swc_shallow_std_336h,244.34173583984375
f227,ta_lag_6h,244.0768585205078
f113,sw_in_std_48h,242.43075561523438
f64,ta_mean_12h,240.58486938476562
f361,vpd_lag_1h,240.3112030029297
f319,rh_range_336h,239.25009155273438
