feature_index,feature_name,importance
f35,soil_texture_code,102111.4453125
f12,stand_height,84884.5859375
f36,terrain_code,37898.1953125
f27,leaf_habit_code,33265.3203125
f10,mean_annual_precip,23924.859375
f26,aridity_index,19550.248046875
f41,species_functional_group_code,17913.751953125
f8,elevation,17779.462890625
f6,latitude,15888.0712890625
f11,stand_age,13140.9873046875
f7,longitude,7882.0673828125
f47,leaf_area_index,7150.1640625
f16,soil_depth,5925.01318359375
f15,silt_percentage,5415.73388671875
f45,basal_area,4958.01416015625
f9,mean_annual_temp,3778.599853515625
f38,pl_social_code,3481.840576171875
f24,pl_sapw_depth,3480.9609375
f13,clay_percentage,3221.26513671875
f30,social_status_code,2837.267578125
f40,tree_age_class_code,2748.57421875
f5,ext_rad,2708.08984375
f14,sand_percentage,2497.428955078125
f25,latitude_abs,2377.94091796875
f42,sw_in,2170.8701171875
f18,pl_age,2079.97412109375
f22,pl_bark_thick,1963.6085205078125
f21,pl_leaf_area,1856.4306640625
f32,tree_volume_index,1829.6641845703125
f20,pl_height,1754.026123046875
f4,vpd,1730.432861328125
f23,pl_sapw_area,1707.82373046875
f0,ta,1309.317626953125
f39,tree_size_class_code,1279.337646484375
f31,sapwood_leaf_ratio,1276.5001220703125
f19,pl_dbh,1264.9884033203125
f17,n_trees,1154.6798095703125
f46,tree_density,1040.5982666015625
f2,ws,1021.4531860351562
f44,ppfd_in,948.5983276367188
f1,rh,940.3577270507812
f37,growth_condition_code,880.2053833007812
f43,swc_shallow,824.8807983398438
f3,precip,794.921142578125
f29,igbp_code,357.55706787109375
f28,biome_code,353.6133117675781
f34,igbp_class_code,19.951568603515625
