feature_index,feature_name,description,category,importance_score
f35,soil_texture_code,No description available,Unknown category,102111.4453125
f12,stand_height,No description available,Unknown category,84884.5859375
f36,terrain_code,No description available,Unknown category,37898.1953125
f27,leaf_habit_code,No description available,Unknown category,33265.3203125
f10,mean_annual_precip,No description available,Unknown category,23924.859375
f26,aridity_index,No description available,Unknown category,19550.248046875
f41,species_functional_group_code,No description available,Unknown category,17913.751953125
f8,elevation,No description available,Unknown category,17779.462890625
f6,latitude,No description available,Unknown category,15888.0712890625
f11,stand_age,No description available,Unknown category,13140.9873046875
f7,longitude,No description available,Unknown category,7882.0673828125
f47,leaf_area_index,No description available,Unknown category,7150.1640625
f16,soil_depth,No description available,Unknown category,5925.01318359375
f15,silt_percentage,No description available,Unknown category,5415.73388671875
f45,basal_area,No description available,Unknown category,4958.01416015625
f9,mean_annual_temp,No description available,Unknown category,3778.599853515625
f38,pl_social_code,No description available,Unknown category,3481.840576171875
f24,pl_sapw_depth,No description available,Unknown category,3480.9609375
f13,clay_percentage,No description available,Unknown category,3221.26513671875
f30,social_status_code,No description available,Unknown category,2837.267578125
f40,tree_age_class_code,No description available,Unknown category,2748.57421875
f5,ext_rad,No description available,Unknown category,2708.08984375
f14,sand_percentage,No description available,Unknown category,2497.428955078125
f25,latitude_abs,No description available,Unknown category,2377.94091796875
f42,sw_in,No description available,Unknown category,2170.8701171875
f18,pl_age,No description available,Unknown category,2079.97412109375
f22,pl_bark_thick,No description available,Unknown category,1963.6085205078125
f21,pl_leaf_area,No description available,Unknown category,1856.4306640625
f32,tree_volume_index,No description available,Unknown category,1829.6641845703125
f20,pl_height,No description available,Unknown category,1754.026123046875
f4,vpd,No description available,Unknown category,1730.432861328125
f23,pl_sapw_area,No description available,Unknown category,1707.82373046875
f0,ta,No description available,Unknown category,1309.317626953125
f39,tree_size_class_code,No description available,Unknown category,1279.337646484375
f31,sapwood_leaf_ratio,No description available,Unknown category,1276.5001220703125
f19,pl_dbh,No description available,Unknown category,1264.9884033203125
f17,n_trees,No description available,Unknown category,1154.6798095703125
f46,tree_density,No description available,Unknown category,1040.5982666015625
f2,ws,No description available,Unknown category,1021.4531860351562
f44,ppfd_in,No description available,Unknown category,948.5983276367188
f1,rh,No description available,Unknown category,940.3577270507812
f37,growth_condition_code,No description available,Unknown category,880.2053833007812
f43,swc_shallow,No description available,Unknown category,824.8807983398438
f3,precip,No description available,Unknown category,794.921142578125
f29,igbp_code,No description available,Unknown category,357.55706787109375
f28,biome_code,No description available,Unknown category,353.6133117675781
f34,igbp_class_code,No description available,Unknown category,19.951568603515625
