feature_index,feature_name,importance
f3,sw_in,28567.150390625
f258,terrain_code,23004.498046875
f157,ppfd_in_lag_24h,13795.71484375
f162,light_efficiency,8079.47900390625
f243,pl_sapw_depth,7564.40234375
f232,basal_area,6965.79150390625
f240,pl_leaf_area,6517.74267578125
f152,ppfd_in_lag_1h,6028.505859375
f26,is_daylight,6015.9169921875
f236,measurement_timestep,5747.96044921875
f249,igbp_code,5055.05615234375
f228,mean_annual_temp,5020.15478515625
f2,vpd,4936.341796875
f9,hour,4801.59765625
f23,solar_hour_cos,4492.21240234375
f6,swc_shallow,4309.23486328125
f28,is_weekend,4030.46875
f17,day_cos,3816.090087890625
f266,seasonal_precip_range,3681.555908203125
f245,latitude_abs,3633.671142578125
f122,vpd_lag_1h,3456.56201171875
f262,tree_age_class_code,3260.089599609375
f153,ppfd_in_lag_2h,2969.691162109375
f244,climate_zone_code,2915.658203125
f263,species_functional_group_code,2774.5400390625
f4,ws,2765.1201171875
f222,stomatal_conductance_proxy,2622.138671875
f202,ta_range_336h,2485.868408203125
f238,pl_dbh,2479.75
f160,temp_humidity_ratio,2474.375732421875
f241,pl_bark_thick,2341.51123046875
f215,precip_cum_24h,2322.3759765625
f221,temp_deviation,2312.358642578125
f257,soil_texture_code,2260.1123046875
f25,solar_day_cos,2172.6181640625
f259,growth_condition_code,2137.478515625
f246,aridity_index,2077.713134765625
f184,sw_in_range_336h,2076.0078125
f224,stomatal_control_index,1923.8011474609375
f250,social_status_code,1879.013427734375
f183,sw_in_max_336h,1805.24560546875
f223,wind_stress,1804.5877685546875
f255,koppen_geiger_code_encoded,1790.828125
f167,rh_min_72h,1742.8836669921875
f229,mean_annual_precip,1662.0777587890625
f77,sw_in_std_6h,1513.852783203125
f158,vpd_ppfd_interaction,1411.6644287109375
f251,sapwood_leaf_ratio,1407.6019287109375
f22,solar_hour_sin,1366.209716796875
f33,is_summer,1341.9974365234375
f24,solar_day_sin,1326.85546875
f239,pl_height,1275.60498046875
f190,vpd_range_168h,1249.1783447265625
f38,ta_mean_3h,1241.78759765625
f242,pl_sapw_area,1235.09814453125
f165,radiation_temp_interaction,1212.333740234375
f27,is_peak_sunlight,1179.855712890625
f234,stand_height,1149.1435546875
f146,swc_shallow_lag_1h,1130.0711669921875
f204,rh_rate_6h,1121.2545166015625
f15,hour_cos,1105.4151611328125
f20,solar_hour,1092.695556640625
f237,pl_age,1050.501220703125
f225,latitude,1014.4967651367188
f170,rh_min_168h,1011.7313232421875
f7,ppfd_in,974.9603271484375
f31,is_night,973.6353149414062
f21,solar_day_of_year,965.9519653320312
f163,temp_soil_interaction,955.1817016601562
f151,swc_shallow_lag_24h,930.8160400390625
f75,sw_in_std_3h,899.859375
f230,is_inside_country,888.5365600585938
f16,day_sin,866.0445556640625
f90,sw_in_mean_720h,832.0073852539062
f11,month,831.5296020507812
f91,sw_in_std_720h,828.2232055664062
f49,ta_std_72h,826.609375
f219,sw_in_cum_72h,823.5014038085938
f192,vpd_max_336h,809.6434936523438
f205,rh_rate_24h,793.0352172851562
f127,vpd_lag_24h,773.5823974609375
f227,elevation,768.5172729492188
f261,tree_size_class_code,767.3562622070312
f1,rh,766.2431030273438
f193,vpd_range_336h,762.714599609375
f179,sw_in_min_168h,737.7846069335938
f235,n_trees,735.0714111328125
f66,vpd_mean_72h,716.88525390625
f207,sw_in_rate_6h,716.8606567382812
f74,sw_in_mean_3h,713.6356811523438
f220,ppfd_efficiency,700.9381713867188
f35,is_winter,699.9957885742188
f13,day_of_week,697.7817993164062
f164,wind_vpd_interaction,693.333251953125
f248,biome_code,678.9548950195312
f172,rh_range_168h,673.046142578125
f260,pl_social_code,664.8361206054688
f265,seasonal_temp_range,662.3605346679688
f154,ppfd_in_lag_3h,655.5579833984375
f18,month_sin,650.0243530273438
f189,vpd_max_168h,646.7379760742188
f197,ta_min_168h,628.1983642578125
f10,day_of_year,623.9617919921875
f187,vpd_range_72h,622.7072143554688
f180,sw_in_max_168h,617.8175048828125
f144,precip_lag_12h,614.3251953125
f102,rh_mean_72h,603.5310668945312
f233,tree_density,589.033203125
f129,sw_in_lag_2h,571.3381958007812
f69,vpd_std_168h,566.5457153320312
f159,vpd_ta_interaction,560.6175537109375
f176,sw_in_min_72h,553.7578735351562
f19,month_cos,549.931640625
f156,ppfd_in_lag_12h,547.2078247070312
f121,rh_lag_24h,522.8215942382812
f106,rh_mean_336h,518.662109375
f130,sw_in_lag_3h,515.001220703125
f103,rh_std_72h,512.2031860351562
f73,vpd_std_720h,510.25762939453125
f5,precip,496.0391845703125
f253,timezone_offset,484.7865295410156
f175,rh_range_336h,479.3597412109375
f169,rh_range_72h,476.9232482910156
f110,ta_lag_1h,473.01116943359375
f95,rh_std_6h,470.8669128417969
f200,ta_min_336h,470.04986572265625
f181,sw_in_range_168h,463.7190856933594
f109,rh_std_720h,460.9588317871094
f218,sw_in_cum_24h,460.2280578613281
f191,vpd_min_336h,447.9322814941406
f8,ext_rad,437.00616455078125
f168,rh_max_72h,427.9331359863281
f149,swc_shallow_lag_6h,425.3221740722656
f226,longitude,424.81060791015625
f55,ta_std_720h,419.9647216796875
f71,vpd_std_336h,416.9750061035156
f194,ta_min_72h,414.835205078125
f68,vpd_mean_168h,403.1548156738281
f178,sw_in_range_72h,397.2538757324219
f32,is_spring,397.24267578125
f101,rh_std_48h,374.9538269042969
f67,vpd_std_72h,369.1236267089844
f186,vpd_max_72h,360.21630859375
f206,sw_in_rate_1h,357.11334228515625
f72,vpd_mean_720h,355.4638671875
f99,rh_std_24h,355.4493103027344
f196,ta_range_72h,354.84295654296875
f174,rh_max_336h,345.4634094238281
f12,year,344.2912292480469
f65,vpd_std_48h,343.83905029296875
f100,rh_mean_48h,338.37054443359375
f124,vpd_lag_3h,334.78961181640625
f58,vpd_mean_6h,332.4114074707031
f182,sw_in_min_336h,328.7552490234375
f177,sw_in_max_72h,324.34661865234375
f123,vpd_lag_2h,320.1298522949219
f201,ta_max_336h,316.5777282714844
f14,hour_sin,316.3106994628906
f150,swc_shallow_lag_12h,312.8517150878906
f70,vpd_mean_336h,307.89288330078125
f98,rh_mean_24h,304.91204833984375
f81,sw_in_std_24h,303.6389465332031
f128,sw_in_lag_1h,302.35174560546875
f82,sw_in_mean_48h,302.2963562011719
f161,water_stress_index,300.1064758300781
f61,vpd_std_12h,297.43475341796875
f173,rh_min_336h,294.1022644042969
f36,hours_since_sunrise,292.8626708984375
f212,ta_rate_1h,292.1287536621094
f188,vpd_min_168h,290.8825988769531
f56,vpd_mean_3h,290.728515625
f64,vpd_mean_48h,289.5505065917969
f53,ta_std_336h,288.7076416015625
f104,rh_mean_168h,288.071044921875
f198,ta_max_168h,284.8869934082031
f50,ta_mean_168h,280.4757995605469
f63,vpd_std_24h,278.8877258300781
f54,ta_mean_720h,276.04022216796875
f171,rh_max_168h,274.5065612792969
f57,vpd_std_3h,273.0582275390625
f59,vpd_std_6h,268.3798522949219
f29,is_morning,266.4832763671875
f48,ta_mean_72h,266.23187255859375
f216,precip_cum_72h,265.5689392089844
f111,ta_lag_2h,263.6430358886719
f199,ta_range_168h,258.0363464355469
f155,ppfd_in_lag_6h,256.3406066894531
f203,rh_rate_1h,253.3943634033203
f46,ta_mean_48h,244.37252807617188
f195,ta_max_72h,242.69760131835938
f139,ws_lag_24h,234.21075439453125
f166,humidity_soil_interaction,233.64114379882812
f97,rh_std_12h,231.07125854492188
f209,vpd_rate_1h,230.19589233398438
f52,ta_mean_336h,229.9065399169922
f231,stand_age,227.8813018798828
f185,vpd_min_72h,223.25450134277344
f115,ta_lag_24h,218.87571716308594
f210,vpd_rate_6h,212.88885498046875
f132,sw_in_lag_12h,210.71873474121094
f107,rh_std_336h,210.42581176757812
f119,rh_lag_6h,206.52764892578125
f147,swc_shallow_lag_2h,204.233154296875
f40,ta_mean_6h,203.80442810058594
f214,ta_rate_24h,202.7919464111328
f43,ta_std_12h,200.24411010742188
f37,hours_since_sunset,195.9811553955078
f112,ta_lag_3h,193.8871307373047
f60,vpd_mean_12h,193.63047790527344
f93,rh_std_3h,192.86354064941406
f89,sw_in_std_336h,190.72186279296875
f44,ta_mean_24h,190.6595458984375
f83,sw_in_std_48h,183.03541564941406
f80,sw_in_mean_24h,182.69740295410156
f51,ta_std_168h,181.5343780517578
f87,sw_in_std_168h,180.99029541015625
f247,leaf_habit_code,179.2296142578125
f34,is_autumn,178.46530151367188
f92,rh_mean_3h,177.7935791015625
f211,vpd_rate_24h,177.143310546875
f41,ta_std_6h,173.96363830566406
f47,ta_std_48h,173.25340270996094
f78,sw_in_mean_12h,172.5278778076172
f45,ta_std_24h,169.29417419433594
f148,swc_shallow_lag_3h,168.51177978515625
f213,ta_rate_6h,165.28131103515625
f125,vpd_lag_6h,164.4526824951172
f114,ta_lag_12h,160.17613220214844
f79,sw_in_std_12h,159.9609832763672
f94,rh_mean_6h,157.01611328125
f42,ta_mean_12h,156.8173370361328
f131,sw_in_lag_6h,156.78958129882812
f118,rh_lag_3h,151.20266723632812
f88,sw_in_mean_336h,149.23854064941406
f267,clay_percentage,149.2149200439453
f76,sw_in_mean_6h,144.8863983154297
f217,precip_cum_168h,144.15892028808594
f116,rh_lag_1h,137.77444458007812
f120,rh_lag_12h,133.4451446533203
f108,rh_mean_720h,132.593505859375
f113,ta_lag_6h,128.85430908203125
f62,vpd_mean_24h,128.42747497558594
f145,precip_lag_24h,123.81224822998047
f264,pl_species_code,122.58096313476562
f86,sw_in_mean_168h,117.6676254272461
f134,ws_lag_1h,114.8311538696289
f0,ta,114.76701354980469
f84,sw_in_mean_72h,113.04396057128906
f252,tree_volume_index,110.5917739868164
f105,rh_std_168h,109.1297607421875
f39,ta_std_3h,102.69994354248047
f96,rh_mean_12h,97.88379669189453
f85,sw_in_std_72h,90.91859436035156
f117,rh_lag_2h,87.71219635009766
f208,sw_in_rate_24h,87.119384765625
f126,vpd_lag_12h,86.88705444335938
f133,sw_in_lag_24h,80.49573516845703
f135,ws_lag_2h,78.90763854980469
f30,is_afternoon,72.16706085205078
f136,ws_lag_3h,70.6607437133789
f138,ws_lag_12h,54.729881286621094
f137,ws_lag_6h,42.35832595825195
f143,precip_lag_6h,36.76057815551758
f142,precip_lag_3h,25.025394439697266
