feature_index,feature_name,description,category,importance_score
f22,is_morning,No description available,Unknown category,11743057.0
f377,swc_shallow_mean_12h,No description available,Unknown category,10679599.0
f15,day_sin,No description available,Unknown category,9016506.0
f379,swc_shallow_mean_24h,No description available,Unknown category,5075996.0
f32,solar_day_of_year,No description available,Unknown category,3797500.25
f35,solar_day_sin,No description available,Unknown category,3243002.25
f8,hour,No description available,Unknown category,2992555.75
f0,ta,No description available,Unknown category,2679396.25
f375,swc_shallow_mean_6h,No description available,Unknown category,2019365.875
f383,swc_shallow_mean_72h,No description available,Unknown category,1758681.5
f12,day_of_week,No description available,Unknown category,1712169.75
f9,day_of_year,No description available,Unknown category,1627332.375
f14,hour_cos,No description available,Unknown category,1305425.625
f33,solar_hour_sin,No description available,Unknown category,683233.6875
f34,solar_hour_cos,No description available,Unknown category,635585.5625
f197,sw_in_min_720h,No description available,Unknown category,544640.875
f77,ta_std_72h,No description available,Unknown category,342376.53125
f29,hours_since_sunrise,No description available,Unknown category,327986.28125
f187,sw_in_min_168h,No description available,Unknown category,302784.0625
f31,solar_hour,No description available,Unknown category,225460.96875
f192,sw_in_min_336h,No description available,Unknown category,199328.609375
f365,pl_social_code,No description available,Unknown category,179477.875
f144,vpd_mean_12h,No description available,Unknown category,159065.6875
f10,month,No description available,Unknown category,152280.734375
f7,ext_rad,No description available,Unknown category,144762.046875
f13,hour_sin,No description available,Unknown category,132865.109375
f73,ta_std_24h,No description available,Unknown category,125013.453125
f403,swc_shallow_lag_1h,No description available,Unknown category,111760.0859375
f387,swc_shallow_range_72h,No description available,Unknown category,97176.1640625
f71,ta_std_12h,No description available,Unknown category,84321.453125
f266,ppfd_in_mean_24h,No description available,Unknown category,72179.9296875
f56,soil_depth,No description available,Unknown category,68988.53125
f389,swc_shallow_std_168h,No description available,Unknown category,67873.984375
f394,swc_shallow_std_336h,No description available,Unknown category,61827.64453125
f47,basal_area,No description available,Unknown category,60328.71875
f54,leaf_area_index,No description available,Unknown category,60048.08203125
f381,swc_shallow_mean_48h,No description available,Unknown category,57702.73046875
f329,ppfd_in_lag_6h,No description available,Unknown category,55560.36328125
f404,swc_shallow_lag_2h,No description available,Unknown category,50144.5703125
f303,vpd_lag_2h,No description available,Unknown category,48759.21875
f154,vpd_range_72h,No description available,Unknown category,48314.875
f142,vpd_mean_6h,No description available,Unknown category,45664.30078125
f296,rh_lag_1h,No description available,Unknown category,37663.83984375
f97,pl_sapw_depth,No description available,Unknown category,36075.2109375
f361,igbp_class_code,No description available,Unknown category,36056.95703125
f98,latitude_abs,No description available,Unknown category,34666.5546875
f36,solar_day_cos,No description available,Unknown category,34485.33203125
f91,pl_age,No description available,Unknown category,33950.6796875
f290,ta_lag_1h,No description available,Unknown category,31744.318359375
f48,tree_density,No description available,Unknown category,31551.005859375
f153,vpd_max_72h,No description available,Unknown category,31173.9375
f302,vpd_lag_1h,No description available,Unknown category,29176.888671875
f80,ta_range_72h,No description available,Unknown category,27172.390625
f372,silt_percentage,No description available,Unknown category,26050.88671875
f195,sw_in_mean_720h,No description available,Unknown category,25897.517578125
f68,ta_mean_6h,No description available,Unknown category,23596.416015625
f1,rh,No description available,Unknown category,23217.66015625
f89,ta_max_336h,No description available,Unknown category,22079.775390625
f287,ppfd_in_min_720h,No description available,Unknown category,21580.203125
f149,vpd_std_48h,No description available,Unknown category,21116.947265625
f95,pl_bark_thick,No description available,Unknown category,20995.140625
f364,growth_condition_code,No description available,Unknown category,18434.84765625
f378,swc_shallow_std_12h,No description available,Unknown category,18069.962890625
f297,rh_lag_2h,No description available,Unknown category,17991.26953125
f328,ppfd_in_lag_3h,No description available,Unknown category,17660.828125
f308,sw_in_lag_1h,No description available,Unknown category,17396.501953125
f100,aridity_index,No description available,Unknown category,16787.7421875
f5,ws,No description available,Unknown category,16584.76171875
f265,ppfd_in_std_12h,No description available,Unknown category,16255.2548828125
f52,stand_height,No description available,Unknown category,16003.294921875
f335,rh_rate_1h,No description available,Unknown category,15492.720703125
f363,terrain_code,No description available,Unknown category,14544.4130859375
f224,ws_range_336h,No description available,Unknown category,14508.115234375
f115,rh_std_12h,No description available,Unknown category,14390.7216796875
f332,ta_rate_1h,No description available,Unknown category,14320.5
f112,rh_mean_6h,No description available,Unknown category,14004.3896484375
f122,rh_min_72h,No description available,Unknown category,14004.02734375
f362,soil_texture_code,No description available,Unknown category,13780.0185546875
f45,stand_age,No description available,Unknown category,13293.248046875
f11,year,No description available,Unknown category,13101.1279296875
f44,vpd_ta_interaction,No description available,Unknown category,13012.576171875
f93,pl_height,No description available,Unknown category,12785.7255859375
f96,pl_sapw_area,No description available,Unknown category,12733.68359375
f215,ws_mean_168h,No description available,Unknown category,12028.3134765625
f289,ppfd_in_range_720h,No description available,Unknown category,11637.4599609375
f260,ppfd_in_mean_3h,No description available,Unknown category,11506.9560546875
f38,longitude,No description available,Unknown category,11276.5869140625
f140,vpd_mean_3h,No description available,Unknown category,11068.7578125
f39,elevation,No description available,Unknown category,10742.1337890625
f18,month_cos,No description available,Unknown category,10299.162109375
f337,rh_rate_24h,No description available,Unknown category,9970.4873046875
f213,ws_max_72h,No description available,Unknown category,9651.87109375
f222,ws_min_336h,No description available,Unknown category,9597.57421875
f117,rh_std_24h,No description available,Unknown category,9568.2685546875
f109,rh_mean_3h,No description available,Unknown category,9538.0234375
f82,ta_std_168h,No description available,Unknown category,9401.376953125
f282,ppfd_in_min_336h,No description available,Unknown category,9264.380859375
f333,ta_rate_6h,No description available,Unknown category,9201.619140625
f243,precip_max_72h,No description available,Unknown category,8957.5556640625
f70,ta_mean_12h,No description available,Unknown category,8947.462890625
f42,mean_annual_precip,No description available,Unknown category,8761.384765625
f388,swc_shallow_mean_168h,No description available,Unknown category,8690.8623046875
f16,day_cos,No description available,Unknown category,8351.974609375
f79,ta_max_72h,No description available,Unknown category,8303.3212890625
f264,ppfd_in_mean_12h,No description available,Unknown category,8159.98193359375
f270,ppfd_in_mean_72h,No description available,Unknown category,8064.4091796875
f288,ppfd_in_max_720h,No description available,Unknown category,8049.302734375
f198,sw_in_max_720h,No description available,Unknown category,8032.94189453125
f189,sw_in_range_168h,No description available,Unknown category,7788.71533203125
f382,swc_shallow_std_48h,No description available,Unknown category,7754.01025390625
f371,sand_percentage,No description available,Unknown category,7650.43603515625
f43,vpd_ppfd_interaction,No description available,Unknown category,7570.5810546875
f216,ws_std_168h,No description available,Unknown category,7550.57470703125
f61,n_trees,No description available,Unknown category,7526.32275390625
f121,rh_std_72h,No description available,Unknown category,7433.65673828125
f64,stomatal_control_index,No description available,Unknown category,7281.5625
f172,sw_in_mean_6h,No description available,Unknown category,7178.716796875
f37,latitude,No description available,Unknown category,7105.44482421875
f105,leaf_habit_code,No description available,Unknown category,6980.8017578125
f223,ws_max_336h,No description available,Unknown category,6782.30322265625
f400,swc_shallow_min_720h,No description available,Unknown category,6506.71630859375
f340,vpd_rate_24h,No description available,Unknown category,6330.853515625
f271,ppfd_in_std_72h,No description available,Unknown category,6177.28369140625
f111,tree_volume_index,No description available,Unknown category,6015.49951171875
f199,sw_in_range_720h,No description available,Unknown category,5918.45166015625
f353,precip_cum_24h,No description available,Unknown category,5890.10791015625
f236,precip_mean_24h,No description available,Unknown category,5853.75048828125
f196,sw_in_std_720h,No description available,Unknown category,5775.08447265625
f41,mean_annual_temp,No description available,Unknown category,5772.95703125
f174,sw_in_mean_12h,No description available,Unknown category,5652.958984375
f370,clay_percentage,No description available,Unknown category,5578.84521484375
f114,rh_mean_12h,No description available,Unknown category,5537.06884765625
f176,sw_in_mean_24h,No description available,Unknown category,5447.8173828125
f88,ta_min_336h,No description available,Unknown category,5413.53271484375
f102,ta_min_720h,No description available,Unknown category,5361.798828125
f183,sw_in_max_72h,No description available,Unknown category,5307.830078125
f217,ws_min_168h,No description available,Unknown category,5262.32470703125
f269,ppfd_in_std_48h,No description available,Unknown category,5248.49609375
f17,month_sin,No description available,Unknown category,5244.251953125
f384,swc_shallow_std_72h,No description available,Unknown category,5220.60595703125
f230,precip_mean_3h,No description available,Unknown category,5208.5703125
f27,is_autumn,No description available,Unknown category,5155.15673828125
f225,ws_mean_720h,No description available,Unknown category,5096.93896484375
f208,ws_mean_48h,No description available,Unknown category,5059.36572265625
f72,ta_mean_24h,No description available,Unknown category,4959.27490234375
f25,is_spring,No description available,Unknown category,4938.1767578125
f151,vpd_std_72h,No description available,Unknown category,4875.6328125
f57,radiation_temp_interaction,No description available,Unknown category,4799.09375
f106,biome_code,No description available,Unknown category,4725.56640625
f210,ws_mean_72h,No description available,Unknown category,4697.31884765625
f74,ta_mean_48h,No description available,Unknown category,4671.17529296875
f20,is_peak_sunlight,No description available,Unknown category,4645.34765625
f83,ta_min_168h,No description available,Unknown category,4492.19921875
f92,pl_dbh,No description available,Unknown category,4401.998046875
f407,swc_shallow_lag_12h,No description available,Unknown category,4220.78125
f219,ws_range_168h,No description available,Unknown category,4191.86572265625
f285,ppfd_in_mean_720h,No description available,Unknown category,4183.8857421875
f401,swc_shallow_max_720h,No description available,Unknown category,4128.91015625
f229,ws_range_720h,No description available,Unknown category,4036.78564453125
f277,ppfd_in_min_168h,No description available,Unknown category,4022.634033203125
f228,ws_max_720h,No description available,Unknown category,3975.3994140625
f184,sw_in_range_72h,No description available,Unknown category,3958.776611328125
f46,temp_humidity_ratio,No description available,Unknown category,3819.37255859375
f139,rh_range_720h,No description available,Unknown category,3806.580322265625
f81,ta_mean_168h,No description available,Unknown category,3727.751220703125
f75,ta_std_48h,No description available,Unknown category,3668.727783203125
f284,ppfd_in_range_336h,No description available,Unknown category,3649.3349609375
f30,hours_since_sunset,No description available,Unknown category,3641.5458984375
f26,is_summer,No description available,Unknown category,3637.265380859375
f405,swc_shallow_lag_3h,No description available,Unknown category,3625.63232421875
f262,ppfd_in_mean_6h,No description available,Unknown category,3609.146484375
f238,precip_mean_48h,No description available,Unknown category,3557.278564453125
f317,ws_lag_6h,No description available,Unknown category,3549.607177734375
f227,ws_min_720h,No description available,Unknown category,3534.85986328125
f240,precip_mean_72h,No description available,Unknown category,3484.08251953125
f137,rh_min_720h,No description available,Unknown category,3385.284912109375
f3,sw_in,No description available,Unknown category,3366.304931640625
f182,sw_in_min_72h,No description available,Unknown category,3356.500732421875
f399,swc_shallow_std_720h,No description available,Unknown category,3355.25146484375
f395,swc_shallow_min_336h,No description available,Unknown category,3289.88330078125
f390,swc_shallow_min_168h,No description available,Unknown category,3229.15087890625
f272,ppfd_in_min_72h,No description available,Unknown category,3162.51708984375
f94,pl_leaf_area,No description available,Unknown category,3142.06494140625
f188,sw_in_max_168h,No description available,Unknown category,3083.775634765625
f398,swc_shallow_mean_720h,No description available,Unknown category,3081.314697265625
f409,swc_shallow_rate_1h,No description available,Unknown category,3038.533203125
f278,ppfd_in_max_168h,No description available,Unknown category,3031.304443359375
f76,ta_mean_72h,No description available,Unknown category,3019.44580078125
f23,is_afternoon,No description available,Unknown category,3009.0341796875
f357,sw_in_cum_72h,No description available,Unknown category,2972.200439453125
f226,ws_std_720h,No description available,Unknown category,2964.39453125
f385,swc_shallow_min_72h,No description available,Unknown category,2943.314697265625
f204,ws_mean_12h,No description available,Unknown category,2915.070556640625
f221,ws_std_336h,No description available,Unknown category,2846.111083984375
f268,ppfd_in_mean_48h,No description available,Unknown category,2839.151611328125
f84,ta_max_168h,No description available,Unknown category,2788.522216796875
f286,ppfd_in_std_720h,No description available,Unknown category,2760.1884765625
f373,swc_shallow_mean_3h,No description available,Unknown category,2752.740966796875
f193,sw_in_max_336h,No description available,Unknown category,2744.158935546875
f103,ta_max_720h,No description available,Unknown category,2736.64453125
f49,water_stress_index,No description available,Unknown category,2723.585205078125
f330,ppfd_in_lag_12h,No description available,Unknown category,2676.34716796875
f168,vpd_max_720h,No description available,Unknown category,2668.504150390625
f2,vpd,No description available,Unknown category,2633.8544921875
f376,swc_shallow_std_6h,No description available,Unknown category,2584.66162109375
f366,tree_size_class_code,No description available,Unknown category,2558.058837890625
f402,swc_shallow_range_720h,No description available,Unknown category,2553.173095703125
f156,vpd_std_168h,No description available,Unknown category,2526.164794921875
f396,swc_shallow_max_336h,No description available,Unknown category,2505.673095703125
f280,ppfd_in_mean_336h,No description available,Unknown category,2472.58154296875
f163,vpd_max_336h,No description available,Unknown category,2449.758056640625
f273,ppfd_in_max_72h,No description available,Unknown category,2446.09765625
f164,vpd_range_336h,No description available,Unknown category,2444.939697265625
f220,ws_mean_336h,No description available,Unknown category,2440.97705078125
f86,ta_mean_336h,No description available,Unknown category,2430.151611328125
f119,rh_std_48h,No description available,Unknown category,2418.3515625
f263,ppfd_in_std_6h,No description available,Unknown category,2405.470703125
f178,sw_in_mean_48h,No description available,Unknown category,2387.609619140625
f279,ppfd_in_range_168h,No description available,Unknown category,2362.734619140625
f245,precip_mean_168h,No description available,Unknown category,2362.656494140625
