feature_index,feature_name,importance
f56,stand_height,161247.90625
f351,sw_in_min_168h,108102.0390625
f282,soil_texture_code,59086.5
f386,ppfd_in_min_336h,45355.33984375
f98,leaf_habit_code,41138.29296875
f183,ws_mean_168h,39602.73046875
f40,mean_annual_precip,37364.80078125
f53,stand_age,31391.73046875
f361,sw_in_min_720h,31097.564453125
f288,species_functional_group_code,30151.05078125
f266,vpd_rate_24h,18626.78125
f39,mean_annual_temp,18206.875
f57,clay_percentage,17896.55859375
f58,sand_percentage,14652.74609375
f356,sw_in_min_336h,14426.1533203125
f368,ppfd_in_mean_12h,13866.728515625
f38,elevation,13851.697265625
f5,ext_rad,13398.98828125
f336,sw_in_mean_6h,11575.53125
f61,stomatal_control_index,9585.0712890625
f16,month_cos,9352.544921875
f287,tree_age_class_code,8964.3583984375
f33,solar_day_sin,8939.3603515625
f41,vpd_ppfd_interaction,8407.802734375
f188,ws_mean_336h,8053.11181640625
f292,basal_area,7522.4033203125
f60,soil_depth,6393.37744140625
f155,vpd_min_168h,6170.37060546875
f126,rh_max_168h,6107.80615234375
f32,solar_hour_cos,6073.91162109375
f392,ppfd_in_max_720h,5947.5693359375
f30,solar_day_of_year,5882.71875
f52,radiation_temp_interaction,5854.10498046875
f36,latitude,5501.73681640625
f140,vpd_mean_6h,4962.3896484375
f260,ta_rate_24h,4608.2568359375
f96,latitude_abs,4456.37744140625
f12,hour_cos,4421.833984375
f366,ppfd_in_mean_6h,4398.068359375
f373,ppfd_in_std_48h,4261.6962890625
f152,vpd_range_72h,4046.4794921875
f138,vpd_mean_3h,3736.74462890625
f45,water_stress_index,3717.017578125
f241,vpd_lag_2h,3512.191162109375
f393,ppfd_in_range_720h,3494.525390625
f338,sw_in_mean_12h,3488.680419921875
f50,wind_vpd_interaction,3401.05078125
f95,pl_sapw_depth,3180.219482421875
f21,is_afternoon,3133.551025390625
f294,leaf_area_index,3131.48828125
f293,tree_density,3075.553955078125
f42,vpd_ta_interaction,3067.56396484375
f265,vpd_rate_6h,3013.528076171875
f44,temp_humidity_ratio,2998.84375
f103,ta_max_720h,2994.213134765625
f370,ppfd_in_mean_24h,2869.936279296875
f244,vpd_lag_12h,2766.776611328125
f28,hours_since_sunset,2723.1806640625
f64,sapwood_leaf_ratio,2704.716064453125
f10,day_of_week,2674.548095703125
f93,pl_bark_thick,2665.632568359375
f106,social_status_code,2650.993408203125
f9,year,2615.423583984375
f49,temp_soil_interaction,2578.3212890625
f76,ta_min_72h,2523.144287109375
f75,ta_std_72h,2522.29248046875
f328,swc_shallow_lag_6h,2482.97412109375
f310,swc_shallow_mean_168h,2474.291259765625
f200,precip_mean_6h,2410.0625
f74,ta_mean_72h,2390.188232421875
f153,vpd_mean_168h,2353.844970703125
f131,rh_max_336h,2346.16748046875
f87,pl_age,2329.70458984375
f94,pl_sapw_area,2313.829833984375
f135,rh_min_720h,2286.666748046875
f109,tree_volume_index,2254.241455078125
f181,ws_max_72h,2230.87451171875
f48,ta_mean_3h,2200.8935546875
f7,day_of_year,2146.634521484375
f285,pl_social_code,2007.5977783203125
f276,sw_in_cum_24h,2004.0966796875
f325,swc_shallow_lag_1h,1999.2947998046875
f119,rh_std_72h,1997.7459716796875
f211,precip_max_72h,1989.303955078125
f4,vpd,1985.127685546875
f198,precip_mean_3h,1966.1922607421875
f148,vpd_mean_72h,1964.5521240234375
f332,swc_shallow_rate_6h,1944.734619140625
f237,rh_lag_6h,1928.05078125
f317,swc_shallow_min_336h,1924.342529296875
f59,silt_percentage,1921.2703857421875
f271,precip_rate_6h,1908.98974609375
f110,rh_mean_6h,1900.156005859375
f272,precip_rate_24h,1877.3031005859375
f180,ws_min_72h,1862.6402587890625
f97,aridity_index,1854.384521484375
f240,vpd_lag_1h,1843.8023681640625
f100,ta_mean_720h,1823.201171875
f90,pl_dbh,1778.34228515625
f91,pl_height,1755.683837890625
f159,vpd_std_336h,1752.93798828125
f163,vpd_mean_720h,1739.49267578125
f84,ta_mean_336h,1729.3814697265625
f31,solar_hour_sin,1716.9332275390625
f176,ws_mean_48h,1654.9989013671875
f167,vpd_range_720h,1631.9066162109375
f190,ws_min_336h,1625.2635498046875
f129,rh_std_336h,1625.160888671875
f165,vpd_min_720h,1614.6895751953125
f123,rh_mean_168h,1601.69091796875
f242,vpd_lag_3h,1578.113525390625
f360,sw_in_std_720h,1573.7576904296875
f120,rh_min_72h,1562.8323974609375
f320,swc_shallow_mean_720h,1562.77734375
f37,longitude,1557.772705078125
f34,solar_day_cos,1555.204345703125
f68,ta_mean_12h,1520.905029296875
f158,vpd_mean_336h,1509.7451171875
f226,precip_max_720h,1491.643310546875
f284,growth_condition_code,1488.8126220703125
f289,sw_in,1485.038818359375
f208,precip_mean_72h,1457.0919189453125
f396,sw_in_lag_3h,1457.006591796875
f85,ta_std_336h,1456.69384765625
f185,ws_min_168h,1455.248291015625
f86,ta_min_336h,1446.1129150390625
f65,ta_mean_6h,1445.3458251953125
f410,ppfd_in_rate_6h,1426.0281982421875
f161,vpd_max_336h,1413.444580078125
f146,vpd_mean_48h,1410.7025146484375
f150,vpd_min_72h,1409.4295654296875
f234,rh_lag_1h,1409.17138671875
f227,precip_range_720h,1389.6473388671875
f92,pl_leaf_area,1384.243408203125
f77,ta_max_72h,1379.9266357421875
f221,precip_max_336h,1374.6121826171875
f6,hour,1360.11181640625
f209,precip_std_72h,1359.10693359375
f147,vpd_std_48h,1358.06103515625
f128,rh_mean_336h,1355.187744140625
f79,ta_mean_168h,1351.855224609375
f195,ws_min_720h,1351.2491455078125
f117,rh_std_48h,1349.1512451171875
f175,ws_std_24h,1347.807861328125
f193,ws_mean_720h,1343.5152587890625
f121,rh_max_72h,1343.1873779296875
f230,ta_lag_3h,1343.0980224609375
f390,ppfd_in_std_720h,1339.8880615234375
f168,ws_mean_3h,1332.086669921875
f252,precip_lag_1h,1328.9395751953125
f105,ta_range_720h,1327.14208984375
f142,vpd_mean_12h,1322.826416015625
f194,ws_std_720h,1317.874267578125
f179,ws_std_72h,1312.6995849609375
f89,ta_range_336h,1308.517822265625
f318,swc_shallow_max_336h,1301.44970703125
f186,ws_max_168h,1299.4290771484375
f80,ta_std_168h,1298.489013671875
f81,ta_min_168h,1295.9473876953125
