feature_index,feature_name,description,category,importance_score
f103,slope_vapor_pressure_curve,No description available,Unknown category,411955.375
f50,stand_height,No description available,Unknown category,172991.671875
f52,radiation_temp_interaction,No description available,Unknown category,132352.609375
f218,soil_texture_code,No description available,Unknown category,82326.8828125
f38,elevation,No description available,Unknown category,69179.0625
f289,ppfd_in_lag_1h,No description available,Unknown category,66943.8359375
f36,latitude,No description available,Unknown category,37451.43359375
f43,vpd_ta_interaction,No description available,Unknown category,18984.2890625
f40,mean_annual_precip,No description available,Unknown category,17254.62109375
f229,tree_density,No description available,Unknown category,15956.857421875
f104,air_pressure_kpa,No description available,Unknown category,15775.5126953125
f44,temp_humidity_ratio,No description available,Unknown category,13844.896484375
f217,igbp_class_code,No description available,Unknown category,11518.45703125
f33,solar_day_sin,No description available,Unknown category,10693.3671875
f262,ppfd_in_mean_3h,No description available,Unknown category,10676.7197265625
f54,clay_percentage,No description available,Unknown category,10321.697265625
f39,mean_annual_temp,No description available,Unknown category,8924.8134765625
f59,silt_percentage,No description available,Unknown category,7890.42529296875
f15,month_sin,No description available,Unknown category,7229.2734375
f115,net_shortwave_radiation,No description available,Unknown category,6635.8916015625
f277,sw_in_lag_1h,No description available,Unknown category,6385.7763671875
f32,solar_hour_cos,No description available,Unknown category,6383.3603515625
f12,hour_cos,No description available,Unknown category,6154.3701171875
f120,igbp_code,No description available,Unknown category,5812.54443359375
f42,vpd_ppfd_interaction,No description available,Unknown category,5791.51708984375
f244,sw_in_min_72h,No description available,Unknown category,5674.8291015625
f234,sw_in_mean_6h,No description available,Unknown category,5553.06884765625
f257,swc_shallow_mean_72h,No description available,Unknown category,5403.01220703125
f269,ppfd_in_std_24h,No description available,Unknown category,5208.10302734375
f117,net_radiation,No description available,Unknown category,5049.08544921875
f151,precip_mean_6h,No description available,Unknown category,4917.47216796875
f202,vpd_rate_24h,No description available,Unknown category,4812.67626953125
f259,swc_shallow_min_72h,No description available,Unknown category,4675.8935546875
f97,ext_rad_fao56,No description available,Unknown category,4637.11279296875
f247,swc_shallow_mean_3h,No description available,Unknown category,4619.1162109375
f149,precip_mean_3h,No description available,Unknown category,4584.26513671875
f84,pl_height,No description available,Unknown category,4556.3330078125
f5,ext_rad,No description available,Unknown category,4341.74267578125
f30,solar_day_of_year,No description available,Unknown category,4232.12060546875
f51,wind_vpd_interaction,No description available,Unknown category,4115.01806640625
f7,day_of_year,No description available,Unknown category,4090.92041015625
f49,stand_age,No description available,Unknown category,3864.306640625
f264,ppfd_in_mean_6h,No description available,Unknown category,3853.84814453125
f86,pl_bark_thick,No description available,Unknown category,3788.63134765625
f236,sw_in_mean_12h,No description available,Unknown category,3587.41845703125
f266,ppfd_in_mean_12h,No description available,Unknown category,3286.537353515625
f220,growth_condition_code,No description available,Unknown category,3226.054443359375
f226,swc_shallow,No description available,Unknown category,3099.269775390625
f63,n_trees,No description available,Unknown category,3017.05126953125
f165,ta_lag_2h,No description available,Unknown category,2979.046875
f13,day_sin,No description available,Unknown category,2912.659423828125
f228,basal_area,No description available,Unknown category,2858.50244140625
f28,hours_since_sunset,No description available,Unknown category,2816.8984375
f133,vpd_range_72h,No description available,Unknown category,2805.64599609375
