feature_index,feature_name,importance
f22,is_morning,6469196.0
f284,swc_shallow_mean_12h,4052717.5
f69,ta_mean_6h,3204172.0
f31,solar_hour,3132601.25
f16,day_cos,2964911.75
f7,ext_rad,2734823.75
f8,hour,2116203.75
f34,solar_hour_cos,1014893.8125
f14,hour_cos,842286.4375
f126,net_shortwave_radiation,584779.1875
f77,ta_mean_72h,572964.625
f90,rh_mean_48h,326664.625
f11,year,308817.34375
f124,vpd_std_72h,301527.125
f87,rh_std_12h,278891.4375
f81,ta_range_72h,263488.84375
f13,hour_sin,260794.671875
f80,ta_max_72h,234114.984375
f9,day_of_year,232513.515625
f33,solar_hour_sin,229989.21875
f111,vpd_std_12h,224933.234375
f79,ta_min_72h,190982.140625
f29,hours_since_sunrise,168599.703125
f110,vpd_mean_12h,133374.921875
f75,ta_mean_48h,110350.1953125
f62,soil_depth,91140.9140625
f288,swc_shallow_mean_48h,70904.3984375
f15,day_sin,65545.7890625
f187,ppfd_in_mean_24h,58528.05078125
f61,leaf_area_index,46690.18359375
f57,tree_density,43784.12890625
f36,solar_day_cos,40144.2890625
f107,vpd_mean_6h,37424.9453125
f109,aridity_index_legacy,34172.3125
f263,sw_in_cum_72h,31434.265625
f274,species_functional_group_code,31037.09375
f12,day_of_week,27821.462890625
f54,basal_area,25433.95703125
f293,swc_shallow_max_72h,24678.166015625
f114,ext_rad_fao56,22248.365234375
f192,ppfd_in_std_72h,22154.001953125
f116,vpd_mean_48h,21022.27734375
f183,ppfd_in_mean_6h,20888.583984375
f60,stand_height,20599.328125
f35,solar_day_sin,19298.7265625
f106,latitude_abs,18860.076171875
f269,terrain_code,18689.048828125
f290,swc_shallow_mean_72h,18593.55078125
f129,vpd_range_72h,16646.6875
f278,silt_percentage,14891.02734375
f104,pl_sapw_area,14690.548828125
f268,soil_texture_code,14666.44140625
f42,mean_annual_precip,13555.56640625
f66,n_trees,13547.0615234375
f100,pl_dbh,13261.68359375
f271,pl_social_code,13111.408203125
f103,pl_bark_thick,12644.6630859375
f78,ta_std_72h,12011.9228515625
f39,longitude,11518.865234375
f133,igbp_code,11312.0673828125
f84,rh_mean_6h,11281.76953125
f185,ppfd_in_mean_12h,11280.33984375
f105,pl_sapw_depth,10857.7236328125
f150,sw_in_range_72h,10293.97265625
f51,stand_age,9947.7802734375
f117,vpd_std_48h,9915.3466796875
f181,ppfd_in_mean_3h,9659.5771484375
f101,pl_height,9396.6875
f41,mean_annual_temp,9139.86328125
f71,ta_mean_12h,8561.5048828125
f72,ta_std_12h,8386.2744140625
f44,vpd_ppfd_interaction,8372.0908203125
f45,vpd_ta_interaction,8349.046875
f277,sand_percentage,8318.7236328125
f40,elevation,7944.93310546875
f276,clay_percentage,7279.8671875
f121,air_pressure_kpa,7211.9013671875
f247,sw_in_rate_1h,7208.62451171875
f282,swc_shallow_mean_6h,6990.59033203125
f98,vpd_mean_3h,6741.46533203125
f76,ta_std_48h,6734.63427734375
f37,latitude,6623.0107421875
f32,solar_day_of_year,6461.732421875
f86,rh_mean_12h,6320.08251953125
f132,biome_code,6089.837890625
f164,ws_max_72h,5856.9794921875
f88,rh_mean_24h,5856.2255859375
f138,sw_in_mean_6h,5419.41064453125
f270,growth_condition_code,5319.33203125
f134,social_status_code,5252.12841796875
f166,precip_mean_3h,4910.97802734375
f73,ta_mean_24h,4822.93701171875
f296,swc_shallow_lag_2h,4703.02734375
f259,precip_cum_24h,4655.83984375
f25,is_spring,4650.6083984375
f82,rh_mean_3h,4635.84716796875
f148,sw_in_min_72h,4581.3662109375
f137,tree_volume_index,4435.33154296875
f165,ws_range_72h,4406.76318359375
f273,tree_age_class_code,4342.4443359375
f47,temp_humidity_ratio,4210.68603515625
f172,precip_mean_24h,4146.55322265625
f161,ws_mean_72h,4089.95556640625
f262,sw_in_cum_24h,4031.721923828125
f140,sw_in_mean_12h,3802.4384765625
f295,swc_shallow_lag_1h,3655.86474609375
f272,tree_size_class_code,3567.9306640625
f115,daylight_hours,3418.230712890625
f20,is_peak_sunlight,3371.534423828125
f142,sw_in_mean_24h,3361.724609375
f95,rh_max_72h,3360.02783203125
f26,is_summer,3351.035400390625
f17,month_sin,3345.44873046875
f89,rh_std_24h,3253.565673828125
f191,ppfd_in_mean_72h,3207.76611328125
f159,ws_mean_48h,3160.945556640625
f10,month,3053.615234375
f286,swc_shallow_mean_24h,3041.084716796875
f56,radiation_temp_interaction,2997.5595703125
f27,is_autumn,2972.975830078125
f180,precip_range_72h,2967.22607421875
f123,vpd_mean_72h,2966.758056640625
