cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0,1,CHN_ARG_GWD.parquet,374927,40280,0.40924983461206554,8.509645275027763,0.2659962128538493,5.748775369311463,0.9961969006088093,-0.24930740663093576
0,2,CHN_ARG_GWS.parquet,374821,40386,0.4009398292459669,9.811797034792598,0.2624112059784591,6.596283974288927,0.9955662161797366,-0.02253623159341389
0,3,CHN_HOR_AFF.parquet,365511,49696,0.4247319911923265,3.498408532280753,0.28270548217689034,2.7958638041533033,0.9964467010272399,-0.41661289826722214
0,4,CHN_YIN_ST1.parquet,354417,60790,0.3487953339654046,5.347176886251852,0.23371219601024487,3.311309945716654,0.9973452823602938,0.3957274948219025
0,5,CHN_YIN_ST2_DRO.parquet,390659,24548,0.37852350999044054,5.976166011839332,0.25068966576640905,4.6132312007107235,0.9967944297765577,0.25803997586588245
0,6,CHN_YIN_ST3_DRO.parquet,378688,36519,0.4087037308725467,4.949245173410853,0.2679330006572173,3.405638650349906,0.996632845031689,-0.6829246452646749
0,7,CHN_YUN_YUN.parquet,347639,67568,0.44268020267481656,1.6306277993371665,0.30427883772652053,1.2350210770001604,0.9961363104834731,-16.94995580966065
0,8,RUS_CHE_LOW.parquet,393708,21499,0.335611674969762,12.108555983138436,0.22739617598931336,8.143714119682047,0.9973984249847214,-0.71762079932209
0,9,THA_KHU.parquet,341286,73921,0.40271479733796406,5.990999458267212,0.2690837508744811,5.021401701967193,0.9968991274059563,-17.08926400618291
1,1,BRA_CAM.parquet,138330,31476,0.5114003547816364,2.926982976968628,0.29928740132877185,1.7221631164676452,0.9888430643128785,0.5150251907821894
1,2,BRA_SAN.parquet,130407,39399,0.47277041276879417,2.5525065047536364,0.2743085643011595,1.5363985565901646,0.9912979313572143,0.4303480889974364
1,3,MDG_SEM_TAL.parquet,148068,21738,0.532914758762043,0.7367580441780892,0.3226936739958075,0.5161192016200579,0.988508301545676,-1.5562339192353258
1,4,MDG_YOU_SHO.parquet,159786,10020,0.5242313634716093,0.6871965924788732,0.3144465234285975,0.5647916603150245,0.9882735728810573,-2.9132079360988405
1,5,ZAF_FRA_FRA.parquet,145755,24051,0.4123161152552832,4.680774497484979,0.27127054441874143,3.3339442184554557,0.9926831318292847,-0.23722778171777836
1,6,ZAF_RAD.parquet,154266,15540,0.4346621183837857,5.11814648690479,0.252926784603762,2.8538407204879754,0.9881834996865784,0.6247723428278955
1,7,ZAF_SOU_SOU.parquet,159510,10296,0.491070466907976,3.2176908239105217,0.28658108983502184,2.5722256834571406,0.9885475481605883,0.7200577769330921
1,8,ZAF_WEL_SOR.parquet,152520,17286,0.44504237403983815,4.314348029460031,0.2627063768053699,3.121858187341635,0.9912598524321665,0.10910528612013526
2,1,AUS_BRI_BRI.parquet,1432117,5935,1.3128800854710672,5.726072984132109,0.6897985550569319,3.924312138508984,0.9782735817851438,-2.4324272135146647
2,2,AUS_CAN_ST1_EUC.parquet,1435664,2388,1.3020096947265856,0.6789922160138522,0.6892735143602879,0.46863633373474556,0.9785888918158249,-0.3684844931263931
2,3,AUS_CAN_ST3_ACA.parquet,1435594,2458,1.311218001018292,0.7651144306793572,0.688296043917587,0.6152740252008274,0.9782859886326957,-1.381095923125378
2,4,AUS_CAR_THI_00F.parquet,1430030,8022,1.2945780883149909,4.767598194966828,0.6818596310433869,2.8230477891483083,0.9787821971258343,0.6880246563094456
2,5,AUS_CAR_THI_0PF.parquet,1429824,8228,1.2874717603365173,3.292859085322308,0.6795982759890311,2.197654344955578,0.9791001151677311,0.6478410583689274
2,6,AUS_CAR_THI_CON.parquet,1429623,8429,1.2938717791122998,3.5271616053235664,0.6822681927498735,2.3706352601858596,0.9788713295949675,0.699064232725754
2,7,AUS_CAR_THI_T00.parquet,1430682,7370,1.2505451571282913,5.695733307924597,0.6674107072965274,3.3909641691748775,0.9801287802072384,0.7282834124043026
2,8,AUS_CAR_THI_T0F.parquet,1430361,7691,1.2857560387450802,4.5023434520901215,0.6794284972802315,2.5840574813629993,0.9790450812864538,0.762497310234719
2,9,AUS_ELL_MB_MOD.parquet,1398291,39761,1.2097932497729504,12.259989160928022,0.6408321378507648,6.905163893562477,0.9800749874967392,0.3356390777173155
2,10,AUS_ELL_UNB.parquet,1418518,19534,1.2709831538073473,11.399678633472437,0.6701950536132881,6.429365243542598,0.9791666725671049,-0.013631202111330287
2,11,AUS_KAR.parquet,1407546,30506,1.2958816372936812,3.7840540329108334,0.6860850183846179,2.580626797140203,0.979139500255319,-0.2365449401676536
2,12,AUS_MAR_HSD_HIG.parquet,1375661,62391,1.26274090749673,9.020107201157032,0.6650219807974305,5.47266849454982,0.9801613144636436,-0.6718569981656834
2,13,AUS_MAR_HSW_HIG.parquet,1395704,42348,1.2834030016030076,9.948655559054865,0.6723808363308391,6.445243239698448,0.9787904232032236,0.1672552762313846
2,14,AUS_MAR_MSD_MOD.parquet,1376528,61524,1.150615597994675,13.809914020415782,0.6212833573131579,7.101483111919981,0.978204203423782,0.4892636753149582
2,15,AUS_MAR_MSW_MOD.parquet,1389074,48978,1.1474369003661058,11.126373044856056,0.6183967564266935,6.304631173950813,0.9811395354872618,0.5096369126932794
2,16,AUS_MAR_UBD.parquet,1422856,15196,1.26287507325326,6.773280196246375,0.6646496061399896,4.975900974307011,0.9796958667898731,0.4701751300007929
2,17,AUS_MAR_UBW.parquet,1410796,27256,1.2904995414429883,10.06953778407528,0.6746080265100705,6.381642653122784,0.9791348252394239,-1.6503574273185295
2,18,AUS_WOM.parquet,1151448,286604,1.2366708100735417,8.204535398544929,0.6202430828019481,5.341362841549348,0.9795610256756867,0.2850858926783929
2,19,IDN_JAM_OIL.parquet,1429770,8282,1.296747782925782,3.2932209482641017,0.6873121885737136,2.132404468551678,0.9788202108505983,-108.70201788827383
2,20,IDN_JAM_RUB.parquet,1408951,29101,1.2847297537949778,5.59239387145448,0.6778370160626148,4.433805654896346,0.9793635885645611,0.04984941134946763
