feature_index,feature_name,importance
f119,net_longwave_radiation,11191.365234375
f43,vpd_ppfd_interaction,8800.044921875
f95,aridity_index_legacy,5757.9404296875
f33,solar_hour_cos,3270.831787109375
f120,net_radiation,2758.531494140625
f102,vpd_mean_3h,1943.5650634765625
f245,species_functional_group_code,1870.911376953125
f60,light_efficiency_ext,1854.8646240234375
f40,mean_annual_temp,1571.6292724609375
f44,vpd_ta_interaction,1404.098876953125
f118,net_shortwave_radiation,1264.58984375
f188,vpd_lag_1h,1133.14013671875
f39,elevation,1097.9775390625
f17,month_cos,799.317138671875
f219,vpd_rate_6h,769.8400268554688
f55,radiation_temp_interaction,615.414794921875
f104,daylight_hours,599.0052490234375
f15,day_cos,579.740234375
f182,rh_lag_1h,555.9019165039062
f89,pl_bark_thick,543.8407592773438
f10,year,501.6656799316406
f36,latitude,469.7188415527344
f220,vpd_rate_24h,468.687744140625
f49,leaf_area_index,466.691650390625
f27,is_winter,452.1392517089844
f16,month_sin,449.61151123046875
f189,vpd_lag_2h,435.16412353515625
f47,temp_humidity_ratio,425.4372253417969
f2,vpd,381.4328918457031
f59,stomatal_control_index,346.4787292480469
f88,pl_leaf_area,341.0306091308594
f13,hour_cos,276.2000732421875
f30,solar_hour,257.2156982421875
f46,stand_height,243.70933532714844
f24,is_spring,222.1321258544922
f176,ta_lag_1h,218.74502563476562
f35,solar_day_cos,208.36746215820312
f148,swc_shallow_mean_6h,194.61886596679688
f38,longitude,191.78054809570312
f29,hours_since_sunset,178.2261199951172
f91,pl_sapw_area,174.07090759277344
f180,ta_lag_12h,171.07814025878906
f155,swc_shallow_std_48h,157.45046997070312
f101,ext_rad_fao56,139.03208923339844
f64,ta_mean_6h,137.55511474609375
f66,ta_mean_12h,130.24887084960938
f178,ta_lag_3h,124.30290985107422
f105,pet_oudin_mm_day,122.98949432373047
f130,tree_volume_index,121.6991958618164
f25,is_summer,121.10294342041016
f87,pl_height,114.42603302001953
f7,hour,113.29066467285156
f253,tree_density,113.21724700927734
f32,solar_hour_sin,111.68218231201172
f14,day_sin,107.86790466308594
f211,ppfd_in_lag_24h,106.83941650390625
f31,solar_day_of_year,106.51441192626953
f293,ws_min_72h,105.48702239990234
f52,wind_vpd_interaction,105.34392547607422
f254,soil_depth,101.2982177734375
f8,day_of_year,101.02727508544922
f242,pl_social_code,100.36529541015625
f77,rh_mean_3h,99.06177520751953
f41,mean_annual_precip,99.04386901855469
f86,pl_dbh,97.73513793945312
f26,is_autumn,96.75250244140625
f126,social_status_code,92.99687194824219
f62,sapwood_leaf_ratio,92.40982818603516
f22,is_afternoon,87.50544738769531
f127,vpd_min_72h,83.20602416992188
f19,is_peak_sunlight,82.94525909423828
f37,ppfd_efficiency,81.65674591064453
f200,swc_shallow_lag_1h,77.16323852539062
f225,swc_shallow_rate_6h,77.01641845703125
f28,hours_since_sunrise,75.54093170166016
f151,swc_shallow_std_12h,75.46427154541016
f177,ta_lag_2h,73.65640258789062
f234,sw_in_cum_72h,73.44019317626953
f287,ws_mean_12h,73.33052825927734
f51,temp_soil_interaction,72.47303009033203
f214,ta_rate_24h,71.27391052246094
f249,sand_percentage,66.5157470703125
f96,rh_mean_72h,64.57406616210938
f228,ppfd_in_rate_6h,64.11223602294922
f93,pl_sapw_depth,64.05958557128906
f99,rh_max_72h,58.04501724243164
f153,swc_shallow_std_24h,57.43210220336914
f262,precip_std_24h,57.427978515625
f34,solar_day_sin,55.73360824584961
f1,rh,55.367671966552734
f198,sw_in_lag_12h,53.02116394042969
f103,vpd_std_3h,51.47624588012695
f209,ppfd_in_lag_6h,51.346351623535156
f110,vpd_mean_6h,50.233638763427734
f294,ws_range_72h,49.840511322021484
f233,sw_in_cum_24h,49.45169448852539
f6,ext_rad,49.43718338012695
f12,hour_sin,48.931453704833984
f192,vpd_lag_12h,47.42975616455078
f53,ta_mean_3h,44.79808044433594
f213,ta_rate_6h,42.2746696472168
f106,sat_vapor_pressure_kpa,41.672637939453125
f292,ws_mean_72h,41.439239501953125
f90,rh_mean_48h,41.128055572509766
f289,ws_mean_3h,40.96367263793945
f131,sw_in_mean_3h,40.89052200317383
f222,sw_in_rate_6h,40.76288986206055
f204,swc_shallow_lag_12h,40.72145080566406
f217,rh_rate_24h,39.46803283691406
f139,sw_in_mean_48h,39.306236267089844
f4,swc_shallow,38.93048095703125
f97,rh_std_72h,38.92478942871094
f243,tree_size_class_code,38.88467025756836
f128,vpd_max_72h,38.305660247802734
f72,ta_mean_72h,37.47475051879883
f186,rh_lag_12h,37.45242691040039
f179,ta_lag_6h,37.37955856323242
f261,precip_mean_24h,36.6949462890625
f18,is_daylight,36.52346420288086
f124,vpd_mean_72h,36.09248352050781
f187,rh_lag_24h,35.675113677978516
f138,sw_in_std_24h,35.418846130371094
f76,ta_range_72h,35.369319915771484
f157,swc_shallow_std_72h,34.96033477783203
f129,vpd_range_72h,34.765167236328125
f206,ppfd_in_lag_1h,33.42450714111328
f98,rh_min_72h,33.33475875854492
f194,sw_in_lag_1h,33.26476287841797
f84,rh_std_24h,33.091827392578125
f144,sw_in_max_72h,32.79045486450195
f166,ppfd_in_std_12h,32.42030715942383
f221,sw_in_rate_1h,32.126365661621094
f193,vpd_lag_24h,32.0123291015625
f100,rh_range_72h,31.946884155273438
f80,rh_std_6h,31.9296875
f135,sw_in_mean_12h,31.83953285217285
f190,vpd_lag_3h,31.504287719726562
f68,ta_mean_24h,31.235031127929688
f73,ta_std_72h,31.176734924316406
f246,ws,30.730058670043945
f171,ppfd_in_mean_72h,30.476028442382812
f112,vpd_mean_12h,30.210268020629883
f74,ta_min_72h,30.106578826904297
f154,swc_shallow_mean_48h,29.965286254882812
f183,rh_lag_2h,29.866065979003906
f301,ws_std_48h,29.81151008605957
f158,swc_shallow_min_72h,29.55657958984375
f142,sw_in_std_72h,29.216798782348633
f125,vpd_std_72h,29.19050407409668
f57,humidity_soil_interaction,29.09164047241211
f216,rh_rate_6h,29.06123161315918
f251,stand_age,28.72783660888672
f291,ws_mean_6h,28.668254852294922
f181,ta_lag_24h,28.3878116607666
f21,is_morning,28.25649070739746
f163,ppfd_in_mean_6h,28.194326400756836
f70,ta_mean_48h,27.838340759277344
f133,sw_in_mean_6h,27.736665725708008
f195,sw_in_lag_2h,27.734251022338867
f197,sw_in_lag_6h,27.622329711914062
f156,swc_shallow_mean_72h,27.555192947387695
f75,ta_max_72h,27.457969665527344
f201,swc_shallow_lag_2h,27.360334396362305
f45,stomatal_conductance_proxy,26.97865104675293
f146,swc_shallow_mean_3h,26.92778968811035
f303,ws_std_72h,26.776418685913086
f191,vpd_lag_6h,26.69347381591797
f23,is_night,26.66254425048828
f65,ta_std_6h,26.60762596130371
f54,wind_stress,26.34765625
f227,ppfd_in_rate_1h,26.166141510009766
f114,vpd_mean_24h,26.1600284576416
f199,sw_in_lag_24h,26.067771911621094
f107,slope_vapor_pressure_curve,26.03757667541504
f115,vpd_std_24h,25.932693481445312
f210,ppfd_in_lag_12h,25.5494327545166
f81,rh_mean_12h,25.513668060302734
f48,water_stress_index,25.46099853515625
f71,ta_std_48h,25.331012725830078
f288,ws_mean_24h,24.93030548095703
f137,sw_in_mean_24h,24.75469970703125
f141,sw_in_mean_72h,24.5078182220459
f111,vpd_std_6h,24.482072830200195
f282,ws_lag_24h,24.337169647216797
f173,ppfd_in_min_72h,24.272138595581055
f140,sw_in_std_48h,24.088876724243164
f269,precip_range_72h,23.924076080322266
f283,ws_lag_2h,23.732040405273438
f132,sw_in_std_3h,23.73008155822754
f286,ws_max_72h,23.678367614746094
f117,vpd_std_48h,23.583669662475586
f83,rh_mean_24h,23.507396697998047
f67,ta_std_12h,23.336139678955078
f300,ws_std_3h,23.315021514892578
f218,vpd_rate_1h,23.10369873046875
f79,rh_mean_6h,23.059803009033203
f167,ppfd_in_mean_24h,23.04011344909668
f174,ppfd_in_max_72h,22.960098266601562
f165,ppfd_in_mean_12h,22.94729232788086
f113,vpd_std_12h,22.866844177246094
f69,ta_std_24h,22.622392654418945
f299,ws_std_24h,22.519325256347656
f290,ws_mean_48h,22.388479232788086
f298,ws_std_12h,22.292036056518555
f215,rh_rate_1h,22.09371566772461
f302,ws_std_6h,22.00492286682129
f296,ws_rate_24h,21.973859786987305
f116,vpd_mean_48h,21.96125030517578
