feature_index,feature_name,description,category,importance_score
f229,tree_density,No description available,Unknown category,463500.8125
f224,species_functional_group_code,No description available,Unknown category,114487.515625
f49,stand_age,No description available,Unknown category,46275.90625
f38,elevation,No description available,Unknown category,44420.78125
f219,terrain_code,No description available,Unknown category,38744.015625
f230,leaf_area_index,No description available,Unknown category,32472.0
f37,longitude,No description available,Unknown category,32129.2578125
f5,ext_rad,No description available,Unknown category,27762.96484375
f28,hours_since_sunset,No description available,Unknown category,15228.228515625
f50,stand_height,No description available,Unknown category,13882.99609375
f115,net_shortwave_radiation,No description available,Unknown category,12956.3779296875
f39,mean_annual_temp,No description available,Unknown category,12664.888671875
f61,stomatal_control_index,No description available,Unknown category,12353.4814453125
f111,vpd_mean_3h,No description available,Unknown category,11808.96875
f40,mean_annual_precip,No description available,Unknown category,11196.0439453125
f223,tree_age_class_code,No description available,Unknown category,10493.7822265625
f30,solar_day_of_year,No description available,Unknown category,8455.7646484375
f117,net_radiation,No description available,Unknown category,8430.5458984375
f18,is_peak_sunlight,No description available,Unknown category,8370.5966796875
f104,air_pressure_kpa,No description available,Unknown category,7988.47314453125
f43,vpd_ta_interaction,No description available,Unknown category,7481.91943359375
f57,sand_percentage,No description available,Unknown category,6933.521484375
f257,sw_in_std_3h,No description available,Unknown category,6655.57275390625
f271,ppfd_in_mean_3h,No description available,Unknown category,6531.60546875
f16,month_cos,No description available,Unknown category,6233.3076171875
f113,vpd_mean_6h,No description available,Unknown category,5425.9599609375
f170,rh_lag_1h,No description available,Unknown category,5348.423828125
f241,swc_shallow_mean_72h,No description available,Unknown category,5073.12548828125
f258,sw_in_mean_6h,No description available,Unknown category,4411.4033203125
f21,is_afternoon,No description available,Unknown category,4057.639892578125
f118,leaf_habit_code,No description available,Unknown category,3984.968017578125
f256,sw_in_mean_3h,No description available,Unknown category,3887.09375
f48,temp_soil_interaction,No description available,Unknown category,3772.60400390625
f275,ppfd_in_mean_12h,No description available,Unknown category,3761.0703125
f251,swc_shallow_lag_24h,No description available,Unknown category,3679.46044921875
f54,clay_percentage,No description available,Unknown category,3545.886474609375
f221,pl_social_code,No description available,Unknown category,3389.0556640625
f51,wind_vpd_interaction,No description available,Unknown category,3324.947021484375
f81,pl_dbh,No description available,Unknown category,3223.2333984375
f228,basal_area,No description available,Unknown category,3185.779541015625
f33,solar_day_sin,No description available,Unknown category,3166.735107421875
f222,tree_size_class_code,No description available,Unknown category,3165.801513671875
f279,ppfd_in_mean_48h,No description available,Unknown category,3147.92529296875
f55,ta_mean_3h,No description available,Unknown category,3075.05712890625
f217,igbp_class_code,No description available,Unknown category,3052.732421875
f149,precip_mean_3h,No description available,Unknown category,2972.83056640625
f60,soil_depth,No description available,Unknown category,2968.329345703125
f196,ta_rate_24h,No description available,Unknown category,2929.962158203125
f7,day_of_year,No description available,Unknown category,2904.41162109375
f292,ppfd_in_lag_1h,No description available,Unknown category,2874.872314453125
f65,sapwood_leaf_ratio,No description available,Unknown category,2856.1435546875
f87,pl_sapw_area,No description available,Unknown category,2769.689697265625
f92,aridity_index_legacy,No description available,Unknown category,2760.5302734375
f143,ws_std_48h,No description available,Unknown category,2730.538330078125
f44,temp_humidity_ratio,No description available,Unknown category,2576.416015625
f52,radiation_temp_interaction,No description available,Unknown category,2554.798583984375
f11,hour_sin,No description available,Unknown category,2553.942138671875
f121,vpd_mean_12h,No description available,Unknown category,2531.371337890625
