feature_index,feature_name,importance
f45,tree_density,150949.484375
f13,n_trees,70493.375
f22,aridity_index_legacy,51771.48828125
f44,basal_area,34770.17578125
f46,leaf_area_index,22899.228515625
f8,elevation,19686.267578125
f37,species_functional_group_code,16393.513671875
f11,stand_age,11832.158203125
f12,stand_height,4706.77392578125
f5,ext_rad,4074.5390625
f25,igbp_code,3071.5390625
f31,soil_texture_code,1933.0045166015625
f1,ppfd_in,1569.594482421875
f10,mean_annual_precip,1553.955322265625
f9,mean_annual_temp,1383.8165283203125
f39,vpd,1331.844970703125
f16,pl_height,1316.2122802734375
f19,pl_sapw_area,1128.6455078125
f18,pl_bark_thick,1125.8526611328125
f20,pl_sapw_depth,1084.241943359375
f15,pl_dbh,967.5407104492188
f6,latitude,843.3431396484375
f34,pl_social_code,839.1687622070312
f40,swc_shallow,722.81689453125
f17,pl_leaf_area,718.878173828125
f36,tree_age_class_code,683.9715576171875
f14,pl_age,617.1995239257812
f38,rh,597.0941162109375
f4,sw_in,553.27587890625
f48,swc_deep,539.0580444335938
f27,sapwood_leaf_ratio,457.4259948730469
f26,social_status_code,449.39385986328125
f24,biome_code,365.88104248046875
f28,tree_volume_index,363.5179748535156
f35,tree_size_class_code,333.77935791015625
f0,ta,331.3731689453125
f7,longitude,260.2578125
f42,sand_percentage,225.5560302734375
f41,clay_percentage,160.05621337890625
f2,ws,118.50533294677734
f30,igbp_class_code,72.54507446289062
f3,precip,67.16617584228516
f43,silt_percentage,53.589111328125
f32,terrain_code,51.11781311035156
