feature_index,feature_name,description,category,importance_score
f42,sand_percentage,No description available,Unknown category,242982.0625
f41,clay_percentage,No description available,Unknown category,143669.640625
f6,ext_rad,No description available,Unknown category,111726.0859375
f31,igbp_class_code,No description available,Unknown category,75515.40625
f19,pl_bark_thick,No description available,Unknown category,47859.5703125
f20,pl_sapw_area,No description available,Unknown category,41273.7265625
f0,ta,No description available,Unknown category,24165.2890625
f26,igbp_code,No description available,Unknown category,14801.43359375
f11,mean_annual_precip,No description available,Unknown category,13610.3486328125
f15,pl_age,No description available,Unknown category,13474.0810546875
f43,silt_percentage,No description available,Unknown category,12372.33203125
f7,latitude,No description available,Unknown category,11509.87890625
f16,pl_dbh,No description available,Unknown category,9074.076171875
f1,rh,No description available,Unknown category,7657.4013671875
f24,leaf_habit_code,No description available,Unknown category,6820.42578125
f33,terrain_code,No description available,Unknown category,4408.0654296875
f27,social_status_code,No description available,Unknown category,4358.55810546875
f8,longitude,No description available,Unknown category,4332.552734375
f12,stand_height,No description available,Unknown category,4028.6953125
f21,pl_sapw_depth,No description available,Unknown category,3491.095947265625
f10,mean_annual_temp,No description available,Unknown category,3095.16748046875
f9,elevation,No description available,Unknown category,2976.72119140625
f3,ppfd_in,No description available,Unknown category,2660.923095703125
f2,vpd,No description available,Unknown category,2638.247314453125
f32,soil_texture_code,No description available,Unknown category,2329.5888671875
f44,stand_age,No description available,Unknown category,2225.162841796875
f23,aridity_index_legacy,No description available,Unknown category,2117.964599609375
f22,latitude_abs,No description available,Unknown category,2018.3436279296875
f35,pl_social_code,No description available,Unknown category,1966.1055908203125
f45,basal_area,No description available,Unknown category,1763.3206787109375
f13,leaf_area_index,No description available,Unknown category,1682.1556396484375
f14,n_trees,No description available,Unknown category,1614.931396484375
f18,pl_leaf_area,No description available,Unknown category,1317.9525146484375
f34,growth_condition_code,No description available,Unknown category,1260.4052734375
f46,tree_density,No description available,Unknown category,1236.347412109375
f29,tree_volume_index,No description available,Unknown category,1018.5000610351562
f36,tree_size_class_code,No description available,Unknown category,949.3798217773438
f4,swc_shallow,No description available,Unknown category,751.1448974609375
f5,sw_in,No description available,Unknown category,678.3610229492188
f47,soil_depth,No description available,Unknown category,651.279052734375
f17,pl_height,No description available,Unknown category,598.9495239257812
f38,species_functional_group_code,No description available,Unknown category,596.4630126953125
f37,tree_age_class_code,No description available,Unknown category,534.4744873046875
f48,swc_deep,No description available,Unknown category,485.0513916015625
f39,ws,No description available,Unknown category,421.5729064941406
f28,sapwood_leaf_ratio,No description available,Unknown category,389.72833251953125
f40,precip,No description available,Unknown category,169.7154541015625
