feature_index,feature_name,importance
f7,ext_rad,130141.8125
f43,species_functional_group_code,90388.2890625
f24,pl_bark_thick,56782.21484375
f15,tree_density,48730.21484375
f25,pl_sapw_area,33699.98046875
f17,leaf_area_index,32509.16015625
f27,latitude_abs,28464.140625
f28,aridity_index_legacy,24809.068359375
f16,stand_height,21585.845703125
f0,ta,17026.697265625
f11,mean_annual_temp,16791.0546875
f21,pl_dbh,14521.2998046875
f47,silt_percentage,13014.1591796875
f26,pl_sapw_depth,11628.0830078125
f42,tree_age_class_code,11361.8193359375
f38,terrain_code,11260.3134765625
f12,mean_annual_precip,8981.8662109375
f41,tree_size_class_code,7977.99609375
f13,stand_age,7759.2666015625
f8,latitude,7502.69677734375
f14,basal_area,7495.171875
f40,pl_social_code,6994.06396484375
f37,soil_texture_code,6918.5068359375
f46,sand_percentage,6466.64501953125
f1,rh,6133.017578125
f45,clay_percentage,6031.03857421875
f19,n_trees,5972.77197265625
f39,growth_condition_code,5446.98095703125
f2,vpd,4984.162109375
f32,social_status_code,4959.2275390625
f22,pl_height,4441.17041015625
f34,tree_volume_index,4169.4384765625
f9,longitude,3685.482666015625
f18,soil_depth,3662.605224609375
f31,igbp_code,3589.12255859375
f30,biome_code,3071.7412109375
f29,leaf_habit_code,2798.0478515625
f4,ppfd_in,2725.868408203125
f23,pl_leaf_area,2636.37744140625
f10,elevation,2208.9599609375
f20,pl_age,1639.9349365234375
f44,swc_shallow,1258.767333984375
f3,sw_in,1041.8360595703125
f33,sapwood_leaf_ratio,989.8326416015625
f48,swc_deep,733.37109375
f5,ws,455.44976806640625
f6,precip,414.513671875
f36,igbp_class_code,375.4967041015625
