feature_index,feature_name,description,category,importance_score
f35,soil_texture_code,No description available,Unknown category,103785.0
f12,stand_height,No description available,Unknown category,102298.3359375
f36,terrain_code,No description available,Unknown category,37739.82421875
f27,leaf_habit_code,No description available,Unknown category,31707.775390625
f10,mean_annual_precip,No description available,Unknown category,29720.41015625
f26,aridity_index_legacy,No description available,Unknown category,23643.748046875
f8,elevation,No description available,Unknown category,19847.029296875
f41,species_functional_group_code,No description available,Unknown category,16427.87109375
f6,latitude,No description available,Unknown category,16044.2041015625
f11,stand_age,No description available,Unknown category,13954.330078125
f7,longitude,No description available,Unknown category,9622.5087890625
f16,soil_depth,No description available,Unknown category,7845.35595703125
f47,leaf_area_index,No description available,Unknown category,6640.13427734375
f45,basal_area,No description available,Unknown category,6514.34619140625
f15,silt_percentage,No description available,Unknown category,4521.51318359375
f38,pl_social_code,No description available,Unknown category,3464.591064453125
f13,clay_percentage,No description available,Unknown category,3450.921142578125
f24,pl_sapw_depth,No description available,Unknown category,3444.368896484375
f9,mean_annual_temp,No description available,Unknown category,3347.142578125
f14,sand_percentage,No description available,Unknown category,3292.678466796875
f40,tree_age_class_code,No description available,Unknown category,3082.275634765625
f30,social_status_code,No description available,Unknown category,2987.10009765625
f5,ext_rad,No description available,Unknown category,2684.536865234375
f42,sw_in,No description available,Unknown category,2208.5693359375
f25,latitude_abs,No description available,Unknown category,2054.752685546875
f18,pl_age,No description available,Unknown category,2010.1385498046875
f22,pl_bark_thick,No description available,Unknown category,1975.26806640625
f21,pl_leaf_area,No description available,Unknown category,1933.83935546875
f20,pl_height,No description available,Unknown category,1829.9346923828125
f4,vpd,No description available,Unknown category,1778.2176513671875
f32,tree_volume_index,No description available,Unknown category,1766.7669677734375
f23,pl_sapw_area,No description available,Unknown category,1553.1414794921875
f46,tree_density,No description available,Unknown category,1518.259033203125
f31,sapwood_leaf_ratio,No description available,Unknown category,1366.7337646484375
f0,ta,No description available,Unknown category,1337.50732421875
f17,n_trees,No description available,Unknown category,1272.9656982421875
f19,pl_dbh,No description available,Unknown category,1246.9947509765625
f2,ws,No description available,Unknown category,1067.976318359375
f39,tree_size_class_code,No description available,Unknown category,1022.4693603515625
f37,growth_condition_code,No description available,Unknown category,943.5899047851562
f1,rh,No description available,Unknown category,939.024169921875
f44,ppfd_in,No description available,Unknown category,937.490966796875
f48,swc_deep,No description available,Unknown category,870.3080444335938
f3,precip,No description available,Unknown category,832.8692626953125
f43,swc_shallow,No description available,Unknown category,822.2256469726562
f29,igbp_code,No description available,Unknown category,452.5814208984375
f28,biome_code,No description available,Unknown category,204.5265350341797
f34,igbp_class_code,No description available,Unknown category,188.6479949951172
