feature_index,feature_name,description,category,importance_score
f17,leaf_area_index,No description available,Unknown category,28993.0859375
f16,stand_height,No description available,Unknown category,18784.05859375
f37,soil_texture_code,No description available,Unknown category,17061.24609375
f4,ppfd_in,No description available,Unknown category,10297.0673828125
f28,aridity_index_legacy,No description available,Unknown category,7834.92578125
f42,tree_age_class_code,No description available,Unknown category,6493.798828125
f8,latitude,No description available,Unknown category,5708.76123046875
f12,mean_annual_precip,No description available,Unknown category,5040.02392578125
f24,pl_bark_thick,No description available,Unknown category,4710.12060546875
f11,mean_annual_temp,No description available,Unknown category,4296.375
f27,latitude_abs,No description available,Unknown category,4262.37890625
f9,longitude,No description available,Unknown category,4059.77783203125
f18,soil_depth,No description available,Unknown category,3642.375244140625
f15,tree_density,No description available,Unknown category,3073.765869140625
f26,pl_sapw_depth,No description available,Unknown category,2959.434814453125
f19,n_trees,No description available,Unknown category,2899.16357421875
f22,pl_height,No description available,Unknown category,2667.552490234375
f14,basal_area,No description available,Unknown category,2635.951171875
f2,vpd,No description available,Unknown category,1972.89794921875
f31,igbp_code,No description available,Unknown category,1971.3997802734375
f32,social_status_code,No description available,Unknown category,1817.999755859375
f25,pl_sapw_area,No description available,Unknown category,1559.1925048828125
f3,sw_in,No description available,Unknown category,1547.142578125
f21,pl_dbh,No description available,Unknown category,1409.5230712890625
f40,pl_social_code,No description available,Unknown category,1398.4586181640625
f20,pl_age,No description available,Unknown category,1336.47265625
f43,species_functional_group_code,No description available,Unknown category,1288.3314208984375
f10,elevation,No description available,Unknown category,1115.6298828125
f13,stand_age,No description available,Unknown category,1088.8980712890625
f34,tree_volume_index,No description available,Unknown category,1037.705078125
f45,clay_percentage,No description available,Unknown category,1006.5787963867188
f7,ext_rad,No description available,Unknown category,982.9827270507812
f33,sapwood_leaf_ratio,No description available,Unknown category,867.4113159179688
f23,pl_leaf_area,No description available,Unknown category,840.4049072265625
f38,terrain_code,No description available,Unknown category,783.5068359375
f30,biome_code,No description available,Unknown category,741.6764526367188
f44,swc_shallow,No description available,Unknown category,727.7525634765625
f47,silt_percentage,No description available,Unknown category,670.9153442382812
f41,tree_size_class_code,No description available,Unknown category,658.7825317382812
f39,growth_condition_code,No description available,Unknown category,652.4890747070312
f0,ta,No description available,Unknown category,447.7945556640625
f1,rh,No description available,Unknown category,419.4889221191406
f48,swc_deep,No description available,Unknown category,307.3889465332031
f5,ws,No description available,Unknown category,224.75662231445312
f36,igbp_class_code,No description available,Unknown category,199.8311309814453
f29,leaf_habit_code,No description available,Unknown category,141.76626586914062
f46,sand_percentage,No description available,Unknown category,139.35403442382812
f6,precip,No description available,Unknown category,47.73265075683594
