feature_index,feature_name,description,category,importance_score
f9,ext_rad,No description available,Unknown category,147416.59375
f30,pl_sapw_area,No description available,Unknown category,71916.25
f29,pl_bark_thick,No description available,Unknown category,55743.93359375
f11,longitude,No description available,Unknown category,29472.201171875
f0,ta,No description available,Unknown category,25962.943359375
f34,leaf_habit_code,No description available,Unknown category,25283.875
f20,clay_percentage,No description available,Unknown category,20503.626953125
f44,growth_condition_code,No description available,Unknown category,15412.9912109375
f36,igbp_code,No description available,Unknown category,13912.4150390625
f1,rh,No description available,Unknown category,10717.6298828125
f31,pl_sapw_depth,No description available,Unknown category,7792.27099609375
f42,soil_texture_code,No description available,Unknown category,5771.931640625
f26,pl_dbh,No description available,Unknown category,5459.6005859375
f46,tree_size_class_code,No description available,Unknown category,5225.75537109375
f18,stand_height,No description available,Unknown category,4831.37109375
f45,pl_social_code,No description available,Unknown category,4162.958984375
f13,mean_annual_temp,No description available,Unknown category,3356.072998046875
f10,latitude,No description available,Unknown category,3188.138427734375
f2,vpd,No description available,Unknown category,3114.393798828125
f4,ppfd_in,No description available,Unknown category,3057.77001953125
f14,mean_annual_precip,No description available,Unknown category,3055.716552734375
f47,tree_age_class_code,No description available,Unknown category,2382.931640625
f37,social_status_code,No description available,Unknown category,2347.002197265625
f24,n_trees,No description available,Unknown category,2094.26171875
f33,aridity_index_legacy,No description available,Unknown category,2085.25634765625
f22,silt_percentage,No description available,Unknown category,1882.9571533203125
f48,species_functional_group_code,No description available,Unknown category,1824.216064453125
f21,sand_percentage,No description available,Unknown category,1659.053466796875
f16,basal_area,No description available,Unknown category,1608.2490234375
f17,tree_density,No description available,Unknown category,1607.6214599609375
f19,leaf_area_index,No description available,Unknown category,1466.7725830078125
f12,elevation,No description available,Unknown category,1343.8184814453125
f15,stand_age,No description available,Unknown category,1327.1121826171875
f23,soil_depth,No description available,Unknown category,1110.9493408203125
f43,terrain_code,No description available,Unknown category,1046.483154296875
f25,pl_age,No description available,Unknown category,781.3806762695312
f3,sw_in,No description available,Unknown category,745.9262084960938
f39,tree_volume_index,No description available,Unknown category,741.3220825195312
f41,igbp_class_code,No description available,Unknown category,731.3446655273438
f7,swc_shallow,No description available,Unknown category,728.110107421875
f8,swc_deep,No description available,Unknown category,670.1320190429688
f5,ws,No description available,Unknown category,462.1474609375
f6,precip,No description available,Unknown category,422.6401062011719
f27,pl_height,No description available,Unknown category,367.1097412109375
f28,pl_leaf_area,No description available,Unknown category,290.5224914550781
f32,latitude_abs,No description available,Unknown category,221.82662963867188
f38,sapwood_leaf_ratio,No description available,Unknown category,220.27813720703125
