cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0,1,CHN_ARG_GWD.parquet,374927,40280,1.60814833442775,4.612315920455661,0.8607976528147078,3.7557392096215243,0.941276374426363,0.6329844254262156
0,2,CHN_ARG_GWS.parquet,374821,40386,1.3629451068769278,9.623505027991166,0.7580173015812678,6.6112975165143935,0.9487642802239794,0.016332894155830946
0,3,CHN_HOR_AFF.parquet,365511,49696,1.680112540960904,3.4642710090746296,0.9429048464998133,2.641122936490022,0.9443995188156317,-0.3891011264887356
0,4,CHN_YIN_ST1.parquet,354417,60790,1.3703299158608184,5.182115412215434,0.7705439724864118,3.410793040394545,0.9590242151751166,0.43245814647091485
0,5,CHN_YIN_ST2_DRO.parquet,390659,24548,1.5778276540530365,7.574198235528774,0.8541539057761773,5.9031775842652605,0.9443021148699129,-0.19181414408514041
0,6,CHN_YIN_ST3_DRO.parquet,378688,36519,1.6093312904208383,4.965207318085935,0.8728442084968899,3.9914618827292125,0.9477920295055957,-0.6937975782874868
0,7,CHN_YUN_YUN.parquet,347639,67568,1.755036576760926,0.7793972406019007,1.0280984236377935,0.5663474724458016,0.9392712470069492,-3.100826803672315
0,8,RUS_CHE_LOW.parquet,393708,21499,1.4176976156772934,12.112342805307707,0.7878449219680279,8.211779042238826,0.9535774010662792,-0.7186953026087757
0,9,THA_KHU.parquet,341286,73921,1.7246058804319053,4.105933232284688,0.9858899779203205,3.1274765392204493,0.9431319321812245,-7.496618178793877
1,1,BRA_CAM.parquet,138330,31476,1.7523488043912052,3.6922604575693803,0.8555294518478398,2.3550502815789036,0.8690022027824083,0.2282734422944923
1,2,BRA_SAN.parquet,130407,39399,1.7805971183068416,2.491937347627611,0.8665522515449392,1.3696987909882288,0.8765607545729038,0.45706219630664535
1,3,MDG_SEM_TAL.parquet,148068,21738,1.7336506681049866,0.9482753154483701,0.8846300505789504,0.6144966745788978,0.8783836659293018,-3.234671361257427
1,4,MDG_YOU_SHO.parquet,159786,10020,1.6710739649528845,0.8201355004761332,0.8388460785130495,0.7524804615950632,0.8808453337740105,-4.573681569558902
1,5,ZAF_FRA_FRA.parquet,145755,24051,0.7703584908921031,7.34889484888869,0.46747789788136834,6.088172302140772,0.9744582671008826,-2.049708233924954
1,6,ZAF_RAD.parquet,154266,15540,1.6515747514994326,4.6235268220572925,0.7786470084936553,2.852782915802754,0.8293989278346043,0.6937922480199072
1,7,ZAF_SOU_SOU.parquet,159510,10296,1.6581284318176104,3.2585651420415465,0.807419371964213,2.449808388476823,0.8694288666427464,0.7129003930796627
1,8,ZAF_WEL_SOR.parquet,152520,17286,1.6693294274706767,5.082227792024809,0.8108675748838012,3.718778472543319,0.8770297271521766,-0.23624424827655344
2,1,AUS_BRI_BRI.parquet,1432117,5935,2.5449747294329383,6.347005151997665,1.2183825097076963,4.01817729908438,0.9183596303881935,-3.2172105064720062
2,2,AUS_CAN_ST1_EUC.parquet,1435664,2388,2.5524035293316967,0.6564515574543821,1.2225700745269255,0.4788805417718999,0.9177171391939873,-0.2791328594307483
2,3,AUS_CAN_ST3_ACA.parquet,1435594,2458,2.5466725187924686,0.5366727204386995,1.2188154836025415,0.42018676423366913,0.918090088079133,-0.17150230002456723
2,4,AUS_CAR_THI_00F.parquet,1430030,8022,2.514943466751291,6.188268015143531,1.2074211897247378,3.647958807262867,0.9199243707151098,0.4743953386734314
2,5,AUS_CAR_THI_0PF.parquet,1429824,8228,2.5511418386681886,4.409141172819439,1.2150264341566697,2.990876104522227,0.917938834742579,0.3686060197968364
2,6,AUS_CAR_THI_CON.parquet,1429623,8429,2.5270741664230942,4.770949715866815,1.2086337280401507,3.2259692269172624,0.919401740458265,0.44940435742491003
2,7,AUS_CAR_THI_T00.parquet,1430682,7370,2.5017439876648377,7.679752704166443,1.2035819901689782,4.527846419923179,0.9204735677980878,0.5060177650551126
2,8,AUS_CAR_THI_T0F.parquet,1430361,7691,2.508774866952538,6.556310534196055,1.2019913893898502,4.0861796133857045,0.9202203336818553,0.49637147417985994
2,9,AUS_ELL_MB_MOD.parquet,1398291,39761,2.3035287026304143,12.395179555854822,1.124741568711932,7.159104180346614,0.927762360728772,0.3209065345461083
2,10,AUS_ELL_UNB.parquet,1418518,19534,2.444853791105948,11.244573689186796,1.1682611941407415,6.822633616348439,0.9229123448334051,0.013764244292890027
2,11,AUS_KAR.parquet,1407546,30506,2.558433221087729,4.05285909897459,1.2271552175790845,2.793048772369238,0.9186903282187815,-0.4184638013998092
2,12,AUS_MAR_HSD_HIG.parquet,1375661,62391,2.5181740589899158,9.472335290123855,1.1895985452513675,5.53518686809669,0.9211038365548372,-0.8436982944288136
2,13,AUS_MAR_HSW_HIG.parquet,1395704,42348,2.546806079254907,6.241265881695224,1.2060666074954287,3.905928337701091,0.9164786207939879,0.672260740608611
2,14,AUS_MAR_MSD_MOD.parquet,1376528,61524,2.3096003486067387,14.091063189950102,1.116645812688841,7.325622041017844,0.9121815222970857,0.46825633761526675
2,15,AUS_MAR_MSW_MOD.parquet,1389074,48978,2.367951357984964,11.049383434327954,1.132522427431471,6.49117371362585,0.9196769272184311,0.5163996279732348
2,16,AUS_MAR_UBD.parquet,1422856,15196,2.510449743642659,7.940821922261207,1.187308857749927,5.712437189672945,0.9197644682653632,0.27177569416005865
2,17,AUS_MAR_UBW.parquet,1410796,27256,2.5356723765071827,9.770784825224814,1.2043706352988395,6.089377910436808,0.9194449824821475,-1.4954235747924836
2,18,AUS_WOM.parquet,1151448,286604,2.6651553138139312,7.733863443272892,1.2312544426319516,4.528069735048867,0.9050716518070773,0.36475847490156277
2,19,IDN_JAM_OIL.parquet,1429770,8282,2.5465908298371414,5.069377266589653,1.2218454519219681,4.006309243961015,0.918317514240218,-258.94538016407813
2,20,IDN_JAM_RUB.parquet,1408951,29101,2.545370173859674,7.244094940579859,1.2236129376887726,5.804385310339383,0.9189948715532468,-0.5942822340731826
2,21,NZL_HUA_HUA.parquet,722002,716050,3.397394975693026,18.566161189668673,1.8166290649475965,14.816187037475336,0.914971115765089,-122.4575155023875
3,1,CAN_TUR_P39_PRE.parquet,4309286,375458,27.43437112638167,3.4654194818555974,2.0474425741222113,2.248831332543275,0.039238993531793054,0.4469836960754625
3,2,CRI_TAM_TOW.parquet,4397924,286820,27.156807888419255,3.55789774965502,2.020244940833213,2.427121668446753,0.04101860723494932,-2.2805092049784905
3,3,MEX_COR_YP.parquet,4677108,7636,26.33821001486745,3.977586523482968,1.946397964080545,2.1887436823132713,0.0415406918155139,0.32098671933091294
3,4,USA_CHE_ASP.parquet,4612639,72105,26.516672015550025,4.524166539305985,1.9475641276498679,2.3534871220474325,0.041407841597259964,0.18980570031684307
3,5,USA_CHE_MAP.parquet,4609107,75637,26.53370215754172,3.5264890883681352,1.9604129861540456,2.1790112316184707,0.04110730972688226,-0.39270461323276895
3,6,USA_HIL_HF1_PRE.parquet,4302128,382616,27.445576044323857,4.938124650421788,1.9568019338942377,2.927545121975529,0.03888836761155623,0.31270964593065587
3,7,USA_HIL_HF2.parquet,1751044,2933700,1.7494881035058216,33.40281068721137,0.8522242566932529,3.01566552775595,0.851660048797436,0.02029486962647309
3,8,USA_INM.parquet,4620626,64118,26.495858442806593,6.311517177965765,1.9540660235705631,3.19009308586585,0.040668640530398203,0.3586071032595656
3,9,USA_MOR_SF.parquet,4668135,16609,26.361771246949154,4.001330450631979,1.9468321082334852,2.710981214445503,0.04159772967194153,0.33738128915798626
3,10,USA_PER_PER.parquet,4347612,337132,27.314675106397424,1.577874490520583,2.057219027181908,1.0256598401103219,0.040510167684678966,0.4582605373188213
3,11,USA_SWH.parquet,4653784,30960,26.399505033718363,2.7071112118145835,1.9561452673530597,2.208480938072785,0.04179441881072277,-0.8999344012245558
3,12,USA_TNB.parquet,4659746,24998,26.38496149897851,2.5077226761584654,1.9511393232394512,1.308839597735015,0.04162978889889746,0.4010767693319257
3,13,USA_TNO.parquet,4607789,76955,26.531762465059405,4.117084815319108,1.9645547419889788,2.602820189602418,0.04126078031317204,0.2872887000761055
4,1,AUT_PAT_FOR.parquet,5000630,16083,1.1938757692348736,1.7988653089198505,0.5682968645658847,1.3802965208194575,0.9026427802271766,0.08816902360005974
4,2,AUT_PAT_KRU.parquet,5001541,15172,1.0183383073375196,37.51835450617381,0.5209258843576966,26.27396889405556,0.9000521859503103,-0.9130171262283351
4,3,AUT_PAT_TRE.parquet,5003879,12834,1.2028211666467252,7.020583376345681,0.5690910901356838,5.7937150844066325,0.9010839582320069,-6.6174578838901486
4,4,AUT_TSC.parquet,4976184,40529,1.207020353346717,1.3745224171681312,0.5691592082106562,0.803826014056869,0.9008697652290746,0.3318447255394926
4,5,CHE_DAV_SEE.parquet,4783209,233504,1.2226567429419213,4.714000777830752,0.5869962226421409,3.310158388266556,0.901647980510284,-26.472918905372637
