feature_index,feature_name,importance
f11,mean_annual_temp,127819.828125
f24,latitude_abs,48968.89453125
f13,stand_age,45138.5703125
f31,tree_volume_index,21196.140625
f45,basal_area,18045.20703125
f7,ext_rad,10409.03515625
f9,longitude,10110.52734375
f44,silt_percentage,10096.24609375
f47,leaf_area_index,9782.8388671875
f29,social_status_code,9239.1328125
f40,species_functional_group_code,7826.97412109375
f22,pl_sapw_area,7645.64111328125
f23,pl_sapw_depth,7211.921875
f8,latitude,6959.341796875
f2,vpd,5249.01611328125
f21,pl_bark_thick,4812.1171875
f10,elevation,4081.7578125
f18,pl_dbh,3286.42919921875
f1,rh,3044.425048828125
f3,sw_in,2506.23291015625
f6,ppfd_in,2476.346923828125
f12,mean_annual_precip,2378.12158203125
f5,precip,1703.9298095703125
f38,tree_size_class_code,1346.781494140625
f19,pl_height,1187.9039306640625
f25,aridity_index_legacy,1166.160400390625
f46,tree_density,999.1279296875
f14,stand_height,949.9700317382812
f0,ta,923.5339965820312
f27,biome_code,806.7242431640625
f16,n_trees,805.30126953125
f20,pl_leaf_area,803.0086059570312
f15,soil_depth,799.21337890625
f34,soil_texture_code,768.7556762695312
f17,pl_age,697.1773071289062
f4,ws,642.6083374023438
f37,pl_social_code,547.6654663085938
f26,leaf_habit_code,469.11163330078125
f41,swc_shallow,431.530517578125
f30,sapwood_leaf_ratio,412.68988037109375
f43,sand_percentage,405.7267150878906
f28,igbp_code,380.0064697265625
f36,growth_condition_code,273.4194641113281
f48,swc_deep,237.1370391845703
f42,clay_percentage,103.50188446044922
