feature_index,feature_name,description,category,importance_score
f11,mean_annual_temp,No description available,Unknown category,127819.828125
f24,latitude_abs,No description available,Unknown category,48968.89453125
f13,stand_age,No description available,Unknown category,45138.5703125
f31,tree_volume_index,No description available,Unknown category,21196.140625
f45,basal_area,No description available,Unknown category,18045.20703125
f7,ext_rad,No description available,Unknown category,10409.03515625
f9,longitude,No description available,Unknown category,10110.52734375
f44,silt_percentage,No description available,Unknown category,10096.24609375
f47,leaf_area_index,No description available,Unknown category,9782.8388671875
f29,social_status_code,No description available,Unknown category,9239.1328125
f40,species_functional_group_code,No description available,Unknown category,7826.97412109375
f22,pl_sapw_area,No description available,Unknown category,7645.64111328125
f23,pl_sapw_depth,No description available,Unknown category,7211.921875
f8,latitude,No description available,Unknown category,6959.341796875
f2,vpd,No description available,Unknown category,5249.01611328125
f21,pl_bark_thick,No description available,Unknown category,4812.1171875
f10,elevation,No description available,Unknown category,4081.7578125
f18,pl_dbh,No description available,Unknown category,3286.42919921875
f1,rh,No description available,Unknown category,3044.425048828125
f3,sw_in,No description available,Unknown category,2506.23291015625
f6,ppfd_in,No description available,Unknown category,2476.346923828125
f12,mean_annual_precip,No description available,Unknown category,2378.12158203125
f5,precip,No description available,Unknown category,1703.9298095703125
f38,tree_size_class_code,No description available,Unknown category,1346.781494140625
f19,pl_height,No description available,Unknown category,1187.9039306640625
f25,aridity_index_legacy,No description available,Unknown category,1166.160400390625
f46,tree_density,No description available,Unknown category,999.1279296875
f14,stand_height,No description available,Unknown category,949.9700317382812
f0,ta,No description available,Unknown category,923.5339965820312
f27,biome_code,No description available,Unknown category,806.7242431640625
f16,n_trees,No description available,Unknown category,805.30126953125
f20,pl_leaf_area,No description available,Unknown category,803.0086059570312
f15,soil_depth,No description available,Unknown category,799.21337890625
f34,soil_texture_code,No description available,Unknown category,768.7556762695312
f17,pl_age,No description available,Unknown category,697.1773071289062
f4,ws,No description available,Unknown category,642.6083374023438
f37,pl_social_code,No description available,Unknown category,547.6654663085938
f26,leaf_habit_code,No description available,Unknown category,469.11163330078125
f41,swc_shallow,No description available,Unknown category,431.530517578125
f30,sapwood_leaf_ratio,No description available,Unknown category,412.68988037109375
f43,sand_percentage,No description available,Unknown category,405.7267150878906
f28,igbp_code,No description available,Unknown category,380.0064697265625
f36,growth_condition_code,No description available,Unknown category,273.4194641113281
f48,swc_deep,No description available,Unknown category,237.1370391845703
f42,clay_percentage,No description available,Unknown category,103.50188446044922
