feature_index,feature_name,description,category,importance_score
f73,basal_area,No description available,Unknown category,63437.6796875
f75,leaf_area_index,No description available,Unknown category,63191.65234375
f20,n_trees,No description available,Unknown category,23794.0625
f13,stand_height,No description available,Unknown category,14542.46484375
f53,igbp_code,No description available,Unknown category,13909.625
f74,tree_density,No description available,Unknown category,12730.265625
f5,ext_rad,No description available,Unknown category,11977.994140625
f12,stand_age,No description available,Unknown category,9232.1787109375
f9,mean_annual_temp,No description available,Unknown category,8770.2568359375
f8,elevation,No description available,Unknown category,7313.3955078125
f46,air_pressure_kpa,No description available,Unknown category,4927.37109375
f71,sand_percentage,No description available,Unknown category,4319.4072265625
f60,soil_texture_code,No description available,Unknown category,3901.231201171875
f66,species_functional_group_code,No description available,Unknown category,3522.73828125
f6,latitude,No description available,Unknown category,2045.918212890625
f39,latitude_abs,No description available,Unknown category,2029.7958984375
f49,net_longwave_radiation,No description available,Unknown category,2006.8431396484375
f40,aridity_index_legacy,No description available,Unknown category,1866.5784912109375
f35,pl_leaf_area,No description available,Unknown category,1819.4110107421875
f67,rh,No description available,Unknown category,1645.197998046875
f54,social_status_code,No description available,Unknown category,1352.561767578125
f38,pl_sapw_depth,No description available,Unknown category,1328.4290771484375
f24,radiation_temp_interaction,No description available,Unknown category,1280.4404296875
f27,stomatal_control_index,No description available,Unknown category,1210.95556640625
f48,net_shortwave_radiation,No description available,Unknown category,1203.45361328125
f64,tree_size_class_code,No description available,Unknown category,1194.8975830078125
f37,pl_sapw_area,No description available,Unknown category,1179.9150390625
f55,tree_volume_index,No description available,Unknown category,1108.4815673828125
f68,vpd,No description available,Unknown category,1024.263916015625
f69,swc_shallow,No description available,Unknown category,1021.9464111328125
f32,pl_age,No description available,Unknown category,971.0478515625
f34,pl_height,No description available,Unknown category,962.1016845703125
f65,tree_age_class_code,No description available,Unknown category,943.6998291015625
f36,pl_bark_thick,No description available,Unknown category,901.9448852539062
f33,pl_dbh,No description available,Unknown category,849.818115234375
f77,swc_deep,No description available,Unknown category,689.4110107421875
f22,temp_soil_interaction,No description available,Unknown category,682.7725219726562
f70,clay_percentage,No description available,Unknown category,668.0302734375
f15,vpd_ta_interaction,No description available,Unknown category,610.7258911132812
f16,temp_humidity_ratio,No description available,Unknown category,566.9030151367188
f7,longitude,No description available,Unknown category,538.4918823242188
f44,sat_vapor_pressure_kpa,No description available,Unknown category,497.5736389160156
f18,water_stress_index,No description available,Unknown category,407.3466796875
f41,ext_rad_fao56,No description available,Unknown category,399.66644287109375
f63,pl_social_code,No description available,Unknown category,379.19744873046875
f42,daylight_hours,No description available,Unknown category,348.77960205078125
f10,mean_annual_precip,No description available,Unknown category,344.7832336425781
f11,ppfd_efficiency,No description available,Unknown category,318.2163391113281
f4,sw_in,No description available,Unknown category,313.1595153808594
f28,light_efficiency_ext,No description available,Unknown category,302.6820373535156
f43,pet_oudin_mm_day,No description available,Unknown category,287.4702453613281
f30,sapwood_leaf_ratio,No description available,Unknown category,270.1255187988281
f19,light_efficiency,No description available,Unknown category,258.4793701171875
f50,net_radiation,No description available,Unknown category,229.02464294433594
f45,slope_vapor_pressure_curve,No description available,Unknown category,211.1061248779297
f14,vpd_ppfd_interaction,No description available,Unknown category,186.85076904296875
f1,ppfd_in,No description available,Unknown category,166.81996154785156
f25,humidity_soil_interaction,No description available,Unknown category,163.48016357421875
f17,temp_deviation,No description available,Unknown category,154.3191375732422
f23,wind_vpd_interaction,No description available,Unknown category,146.36769104003906
f21,stomatal_conductance_proxy,No description available,Unknown category,142.19155883789062
f0,ta,No description available,Unknown category,107.21754455566406
f26,wind_stress,No description available,Unknown category,89.65711975097656
f2,ws,No description available,Unknown category,72.31876373291016
f3,precip,No description available,Unknown category,63.700321197509766
