feature_index,feature_name,importance
f37,pl_bark_thick,604854.375
f6,ext_rad,594597.8125
f34,pl_dbh,571534.6875
f42,ext_rad_fao56,565426.625
f43,daylight_hours,358062.90625
f70,clay_percentage,186300.328125
f49,net_shortwave_radiation,172604.859375
f0,ta,126911.4765625
f38,pl_sapw_area,125327.671875
f72,silt_percentage,90167.0390625
f54,igbp_code,49895.1953125
f60,igbp_class_code,32827.17578125
f1,rh,14025.2783203125
f16,vpd_ta_interaction,9539.0634765625
f52,leaf_habit_code,7874.73583984375
f11,mean_annual_temp,7839.24462890625
f8,longitude,7364.9853515625
f12,mean_annual_precip,6799.96337890625
f71,sand_percentage,6757.9345703125
f64,pl_social_code,6577.29296875
f41,aridity_index_legacy,6035.9365234375
f61,soil_texture_code,5567.8642578125
f7,latitude,5513.44921875
f13,stand_height,5025.99462890625
f2,vpd,4979.73291015625
f39,pl_sapw_depth,4628.27294921875
f63,growth_condition_code,4401.5625
f47,air_pressure_kpa,4082.75537109375
f28,stomatal_control_index,4046.357177734375
f10,elevation,3885.6708984375
f14,vpd_ppfd_interaction,3863.606201171875
f62,terrain_code,3833.955322265625
f55,social_status_code,3757.619873046875
f15,leaf_area_index,3703.6962890625
f74,basal_area,3353.017822265625
f73,stand_age,3264.643798828125
f17,temp_humidity_ratio,3174.336669921875
f25,radiation_temp_interaction,2969.96826171875
f67,species_functional_group_code,2621.8291015625
f40,latitude_abs,2507.791015625
f22,n_trees,2443.50146484375
f3,ppfd_in,2273.547607421875
f76,soil_depth,2152.2841796875
f36,pl_leaf_area,2019.4652099609375
f21,temp_soil_interaction,1886.0067138671875
f75,tree_density,1763.110595703125
f56,tree_volume_index,1413.8785400390625
f19,water_stress_index,1366.51025390625
f45,sat_vapor_pressure_kpa,1128.2574462890625
f26,humidity_soil_interaction,1071.412109375
f23,stomatal_conductance_proxy,1041.755859375
f51,net_radiation,1040.423583984375
f29,light_efficiency_ext,1009.6392822265625
f77,swc_deep,986.4979248046875
f5,sw_in,953.76953125
f4,swc_shallow,931.7366943359375
f33,pl_age,903.5943603515625
f68,ws,861.1840209960938
f20,light_efficiency,855.64208984375
f44,pet_oudin_mm_day,843.7241821289062
f46,slope_vapor_pressure_curve,800.0889892578125
f9,ppfd_efficiency,712.662841796875
f66,tree_age_class_code,691.3055419921875
f27,wind_stress,646.2368774414062
f24,wind_vpd_interaction,639.7860717773438
f35,pl_height,620.0277709960938
f65,tree_size_class_code,599.3095092773438
f18,temp_deviation,583.8814697265625
f50,net_longwave_radiation,537.3840942382812
f31,sapwood_leaf_ratio,358.1035461425781
f69,precip,352.1676940917969
