feature_index,feature_name,description,category,importance_score
f69,species_functional_group_code,No description available,Unknown category,509908.90625
f13,mean_annual_temp,No description available,Unknown category,130890.6953125
f54,leaf_habit_code,No description available,Unknown category,39421.828125
f76,leaf_area_index,No description available,Unknown category,25757.44921875
f10,longitude,No description available,Unknown category,18263.89453125
f7,ext_rad,No description available,Unknown category,16825.490234375
f74,basal_area,No description available,Unknown category,16800.4296875
f16,temp_humidity_ratio,No description available,Unknown category,15584.384765625
f12,vpd_ppfd_interaction,No description available,Unknown category,14078.4892578125
f58,tree_volume_index,No description available,Unknown category,12970.96875
f25,soil_depth,No description available,Unknown category,12422.66015625
f8,latitude,No description available,Unknown category,10399.0849609375
f73,silt_percentage,No description available,Unknown category,9949.5478515625
f72,sand_percentage,No description available,Unknown category,9110.759765625
f2,vpd,No description available,Unknown category,7769.5576171875
f55,biome_code,No description available,Unknown category,7364.96142578125
f41,pl_sapw_depth,No description available,Unknown category,7271.40771484375
f40,pl_sapw_area,No description available,Unknown category,6656.0087890625
f39,pl_bark_thick,No description available,Unknown category,6347.94775390625
f30,stomatal_control_index,No description available,Unknown category,5825.43017578125
f53,net_radiation,No description available,Unknown category,5667.3525390625
f37,pl_height,No description available,Unknown category,4789.85986328125
f43,aridity_index_legacy,No description available,Unknown category,4724.12353515625
f11,elevation,No description available,Unknown category,4598.7763671875
f1,rh,No description available,Unknown category,4511.79150390625
f26,n_trees,No description available,Unknown category,4385.72265625
f51,net_shortwave_radiation,No description available,Unknown category,3741.443115234375
f36,pl_dbh,No description available,Unknown category,3680.1201171875
f67,tree_size_class_code,No description available,Unknown category,3250.43505859375
f42,latitude_abs,No description available,Unknown category,3239.16015625
f75,tree_density,No description available,Unknown category,3140.123046875
f21,radiation_temp_interaction,No description available,Unknown category,3022.8466796875
f5,precip,No description available,Unknown category,2926.41015625
f15,mean_annual_precip,No description available,Unknown category,2397.450439453125
f46,pet_oudin_mm_day,No description available,Unknown category,2337.1875
f31,light_efficiency_ext,No description available,Unknown category,2276.74365234375
f24,stand_height,No description available,Unknown category,2218.795654296875
f64,terrain_code,No description available,Unknown category,2082.701171875
f49,air_pressure_kpa,No description available,Unknown category,1753.085693359375
f38,pl_leaf_area,No description available,Unknown category,1745.4854736328125
f52,net_longwave_radiation,No description available,Unknown category,1639.15625
f28,stomatal_conductance_proxy,No description available,Unknown category,1622.4412841796875
f6,ppfd_in,No description available,Unknown category,1616.4364013671875
f9,ppfd_efficiency,No description available,Unknown category,1308.9576416015625
f57,social_status_code,No description available,Unknown category,1291.8790283203125
f20,wind_vpd_interaction,No description available,Unknown category,1254.006591796875
f22,stand_age,No description available,Unknown category,1224.3946533203125
f44,ext_rad_fao56,No description available,Unknown category,1183.83056640625
f14,vpd_ta_interaction,No description available,Unknown category,1173.3082275390625
f45,daylight_hours,No description available,Unknown category,1153.7763671875
f4,ws,No description available,Unknown category,1041.5198974609375
f71,clay_percentage,No description available,Unknown category,953.4595947265625
f17,water_stress_index,No description available,Unknown category,904.6612548828125
f33,sapwood_leaf_ratio,No description available,Unknown category,866.7135009765625
f47,sat_vapor_pressure_kpa,No description available,Unknown category,801.175537109375
f66,pl_social_code,No description available,Unknown category,775.125732421875
f19,temp_soil_interaction,No description available,Unknown category,701.924072265625
f3,sw_in,No description available,Unknown category,659.9415893554688
f48,slope_vapor_pressure_curve,No description available,Unknown category,646.2679443359375
f56,igbp_code,No description available,Unknown category,586.4151000976562
f70,swc_shallow,No description available,Unknown category,584.9940795898438
f35,pl_age,No description available,Unknown category,562.7781372070312
f29,wind_stress,No description available,Unknown category,527.694580078125
f18,light_efficiency,No description available,Unknown category,521.6702270507812
f0,ta,No description available,Unknown category,451.23626708984375
f27,temp_deviation,No description available,Unknown category,427.2785339355469
f65,growth_condition_code,No description available,Unknown category,422.1417236328125
f23,humidity_soil_interaction,No description available,Unknown category,333.571533203125
f77,swc_deep,No description available,Unknown category,289.5372314453125
f63,soil_texture_code,No description available,Unknown category,268.5960998535156
f62,igbp_class_code,No description available,Unknown category,231.3524169921875
f68,tree_age_class_code,No description available,Unknown category,184.54588317871094
f50,psychrometric_constant,No description available,Unknown category,146.16831970214844
