feature_index,feature_name,importance
f64,soil_texture_code,130251.8046875
f15,stand_height,84746.265625
f65,terrain_code,81436.53125
f9,elevation,39767.5078125
f11,mean_annual_precip,38972.55859375
f6,latitude,26407.263671875
f55,leaf_habit_code,14242.8154296875
f50,air_pressure_kpa,12756.5029296875
f70,species_functional_group_code,10517.6728515625
f8,longitude,9723.330078125
f24,soil_depth,8162.310546875
f52,net_shortwave_radiation,6975.33349609375
f22,silt_percentage,6614.95556640625
f17,clay_percentage,6451.42626953125
f57,igbp_code,6190.83837890625
f10,mean_annual_temp,5576.43408203125
f14,stand_age,5321.27294921875
f19,sand_percentage,4455.853515625
f67,pl_social_code,4316.67822265625
f54,net_radiation,4002.664794921875
f5,ext_rad,3931.812255859375
f21,vpd_ta_interaction,3698.09228515625
f76,leaf_area_index,3593.423095703125
f18,vpd_ppfd_interaction,2964.80810546875
f36,pl_age,2730.260498046875
f42,pl_sapw_depth,2487.920654296875
f74,basal_area,2132.61083984375
f58,social_status_code,2091.921875
f34,sapwood_leaf_ratio,1995.322021484375
f23,temp_humidity_ratio,1945.33642578125
f40,pl_bark_thick,1904.4718017578125
f41,pl_sapw_area,1836.6883544921875
f69,tree_age_class_code,1814.794189453125
f25,stomatal_control_index,1755.309814453125
f30,radiation_temp_interaction,1698.770751953125
f38,pl_height,1651.84375
f47,pet_oudin_mm_day,1643.061279296875
f45,ext_rad_fao56,1588.326171875
f75,tree_density,1511.425048828125
f53,net_longwave_radiation,1462.5631103515625
f4,vpd,1450.217041015625
f46,daylight_hours,1446.4403076171875
f29,temp_soil_interaction,1425.04833984375
f39,pl_leaf_area,1376.45458984375
f44,aridity_index_legacy,1153.854736328125
f49,slope_vapor_pressure_curve,1131.5999755859375
f3,precip,1085.972412109375
f32,n_trees,1043.363525390625
f1,rh,1004.5646362304688
f20,wind_vpd_interaction,1002.2166137695312
f37,pl_dbh,999.67529296875
f26,water_stress_index,994.6585693359375
f77,swc_deep,938.3936157226562
f12,temp_deviation,926.0195922851562
f59,tree_volume_index,890.9179077148438
f16,wind_stress,875.3524780273438
f63,igbp_class_code,872.0741577148438
f66,growth_condition_code,795.7229614257812
f72,swc_shallow,793.5049438476562
f48,sat_vapor_pressure_kpa,766.6436767578125
f2,ws,753.9392700195312
f56,biome_code,667.4693603515625
f51,psychrometric_constant,655.8250122070312
f71,sw_in,602.5153198242188
f0,ta,594.9852294921875
f43,latitude_abs,566.2928466796875
f73,ppfd_in,525.74169921875
f27,light_efficiency,473.6053466796875
f7,ppfd_efficiency,448.45166015625
f33,humidity_soil_interaction,438.09033203125
f28,light_efficiency_ext,406.72967529296875
f68,tree_size_class_code,309.3309326171875
f13,stomatal_conductance_proxy,257.3580627441406
