feature_index,feature_name,importance
f37,pl_dbh,1028593.6875
f52,net_shortwave_radiation,813540.875
f5,ext_rad,770616.375
f40,pl_bark_thick,311624.5
f0,ta,293521.53125
f1,rh,188081.0625
f38,pl_height,179035.8125
f41,pl_sapw_area,162302.1875
f45,ext_rad_fao56,109171.1484375
f58,social_status_code,89065.3203125
f15,stand_height,54852.12890625
f57,igbp_code,49419.14453125
f75,tree_density,46679.14453125
f46,daylight_hours,45748.37890625
f65,terrain_code,45724.171875
f59,tree_volume_index,37067.41015625
f9,elevation,35804.49609375
f8,longitude,26128.1015625
f74,basal_area,24436.6171875
f63,igbp_class_code,24154.826171875
f42,pl_sapw_depth,21622.2734375
f14,stand_age,21532.943359375
f43,latitude_abs,16378.5869140625
f66,growth_condition_code,15781.4501953125
f6,latitude,14345.9453125
f51,psychrometric_constant,11769.884765625
f19,sand_percentage,11160.7197265625
f11,mean_annual_precip,10311.322265625
f50,air_pressure_kpa,10041.021484375
f18,vpd_ppfd_interaction,9188.58203125
f21,vpd_ta_interaction,9118.8583984375
f10,mean_annual_temp,8307.9990234375
f4,vpd,7679.4033203125
f24,soil_depth,7599.50634765625
f17,clay_percentage,6324.70849609375
f44,aridity_index_legacy,6148.68310546875
f36,pl_age,5496.7080078125
f68,tree_size_class_code,5061.841796875
f22,silt_percentage,4435.5478515625
f67,pl_social_code,4151.63818359375
f32,n_trees,3884.016845703125
f34,sapwood_leaf_ratio,3794.64111328125
f64,soil_texture_code,3290.254638671875
f23,temp_humidity_ratio,2937.2294921875
f53,net_longwave_radiation,2802.986083984375
f76,leaf_area_index,2768.724609375
f54,net_radiation,2610.20751953125
f25,stomatal_control_index,2460.962646484375
f71,sw_in,2234.656005859375
f29,temp_soil_interaction,2212.621337890625
f73,ppfd_in,2208.6357421875
f69,tree_age_class_code,2160.01904296875
f39,pl_leaf_area,1988.7294921875
f72,swc_shallow,1973.839111328125
f70,species_functional_group_code,1966.2998046875
f26,water_stress_index,1902.20703125
f49,slope_vapor_pressure_curve,1832.531494140625
f47,pet_oudin_mm_day,1797.158447265625
f16,wind_stress,1613.9910888671875
f2,ws,1550.9752197265625
f20,wind_vpd_interaction,1493.774169921875
f30,radiation_temp_interaction,1492.7794189453125
f3,precip,1380.375244140625
f48,sat_vapor_pressure_kpa,1361.1507568359375
f77,swc_deep,1324.7520751953125
f12,temp_deviation,1294.546142578125
f7,ppfd_efficiency,973.890869140625
f13,stomatal_conductance_proxy,955.012939453125
f28,light_efficiency_ext,906.8617553710938
f27,light_efficiency,881.37890625
f56,biome_code,648.798828125
f33,humidity_soil_interaction,603.2236328125
f55,leaf_habit_code,172.16371154785156
