cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0,1,CHN_ARG_GWD.parquet,960787,40280,1.345788494647248,6.36898652897616,0.7538346323430737,5.030058649530679,0.9562190581071344,0.30017885320217297
0,2,CHN_ARG_GWS.parquet,960681,40386,1.324384930260085,8.937437135752951,0.746998946385441,5.631189198941492,0.9542510040935885,0.15158645447748287
0,3,CHN_YIN_ST1.parquet,940277,60790,1.3290370129903117,6.485796930561717,0.7420488821128507,4.297648259633507,0.9579329349412721,0.11098226288212332
0,4,CHN_YIN_ST2_DRO.parquet,976519,24548,1.3307874114078164,6.873294401424761,0.7440866751092094,5.524029547076947,0.9575065011328937,0.018556975226852845
0,5,CHN_YIN_ST3_DRO.parquet,964548,36519,1.3332515803934348,6.648070185712023,0.7513647082175621,4.659605462228027,0.9592486424870555,-2.0365324426245754
0,6,ESP_MAJ_MAI.parquet,925985,75082,1.2567438907274338,5.053695767764566,0.7064468597901872,3.3398279789400918,0.9624951239494509,0.3961234712141606
0,7,ESP_MAJ_NOR_LM1.parquet,941074,59993,1.202943636092548,4.863608262732141,0.6891774425083455,3.1377485826023546,0.9656604332388655,0.4389184370139596
0,8,ESP_RIN.parquet,985659,15408,1.3203313045521468,5.962559042665327,0.7434450653629048,3.1820525078372848,0.9589512281298525,0.2650038883864617
0,9,ESP_SAN_A2_45I.parquet,988351,12716,1.33375863742224,4.638284546909816,0.7561457753293586,2.3595396149540933,0.9583397672836005,0.31952410497519246
0,10,ESP_SAN_A_45I.parquet,981053,20014,1.344705472036909,2.014319116522494,0.7636590069676025,1.0968990297951098,0.9581748662811718,0.1736192992129707
0,11,ESP_SAN_B2_100.parquet,996889,4178,1.3542413432029545,1.80825222676301,0.7633049214209874,1.3282689646548982,0.9570623407386649,0.46064887940411847
0,12,ESP_SAN_B_100.parquet,981353,19714,1.352521993487122,2.261250252865448,0.7677176165631566,1.2132435117203066,0.9576593150221481,0.15681441811321117
0,13,ESP_VAL_BAR.parquet,938099,62968,1.3485258377396312,4.101381971450459,0.7544403206192583,2.729705315297789,0.9587358712187168,0.13721450962180004
0,14,FRA_HES_HE1_NON.parquet,950802,50265,1.350448108753925,3.6819578071469774,0.7641607791581232,2.5994477080833995,0.9581967717849993,-0.15329204691481446
0,15,HUN_SIK.parquet,976746,24321,1.3436454271558456,6.4426591149129155,0.7538957085343646,4.678390921123338,0.9583047809464511,-4.215472349510274
0,16,ITA_TOR.parquet,954437,46630,1.340525840195061,3.341624753388651,0.7569787075944533,2.472488089884416,0.9591004880866426,-0.4276521842696468
