feature_index,feature_name,description,category,importance_score
f11,mean_annual_temp,No description available,Unknown category,3481.53955078125
f37,pl_bark_thick,No description available,Unknown category,2458.85009765625
f49,net_shortwave_radiation,No description available,Unknown category,2367.88330078125
f14,vpd_ppfd_interaction,No description available,Unknown category,1536.1229248046875
f10,elevation,No description available,Unknown category,1460.9503173828125
f50,net_longwave_radiation,No description available,Unknown category,1127.2525634765625
f73,stand_age,No description available,Unknown category,922.59814453125
f51,net_radiation,No description available,Unknown category,914.6845703125
f16,vpd_ta_interaction,No description available,Unknown category,684.7546997070312
f7,latitude,No description available,Unknown category,568.2929077148438
f29,light_efficiency_ext,No description available,Unknown category,550.1139526367188
f36,pl_leaf_area,No description available,Unknown category,400.26458740234375
f75,tree_density,No description available,Unknown category,376.9651184082031
f12,mean_annual_precip,No description available,Unknown category,347.8705139160156
f13,stand_height,No description available,Unknown category,347.5726013183594
f41,aridity_index_legacy,No description available,Unknown category,317.6837158203125
f67,species_functional_group_code,No description available,Unknown category,264.7823181152344
f8,longitude,No description available,Unknown category,254.92095947265625
f17,temp_humidity_ratio,No description available,Unknown category,235.0555877685547
f47,air_pressure_kpa,No description available,Unknown category,195.0505828857422
f2,vpd,No description available,Unknown category,179.06149291992188
f25,radiation_temp_interaction,No description available,Unknown category,159.58529663085938
f38,pl_sapw_area,No description available,Unknown category,154.09414672851562
f43,daylight_hours,No description available,Unknown category,143.91590881347656
f35,pl_height,No description available,Unknown category,131.85934448242188
f56,tree_volume_index,No description available,Unknown category,130.19723510742188
f6,ext_rad,No description available,Unknown category,117.88063049316406
f1,rh,No description available,Unknown category,107.36827087402344
f31,sapwood_leaf_ratio,No description available,Unknown category,101.1837158203125
f34,pl_dbh,No description available,Unknown category,97.61741638183594
f22,n_trees,No description available,Unknown category,90.99200439453125
f9,ppfd_efficiency,No description available,Unknown category,79.92243194580078
f42,ext_rad_fao56,No description available,Unknown category,76.9720687866211
f24,wind_vpd_interaction,No description available,Unknown category,66.77918243408203
f76,soil_depth,No description available,Unknown category,65.89096069335938
f44,pet_oudin_mm_day,No description available,Unknown category,57.67454528808594
f20,light_efficiency,No description available,Unknown category,56.90599060058594
f21,temp_soil_interaction,No description available,Unknown category,55.87567901611328
f64,pl_social_code,No description available,Unknown category,45.06769943237305
f55,social_status_code,No description available,Unknown category,42.0124397277832
f26,humidity_soil_interaction,No description available,Unknown category,39.530391693115234
f18,temp_deviation,No description available,Unknown category,37.840789794921875
f39,pl_sapw_depth,No description available,Unknown category,35.35688400268555
f19,water_stress_index,No description available,Unknown category,34.36327362060547
f45,sat_vapor_pressure_kpa,No description available,Unknown category,34.055240631103516
f15,leaf_area_index,No description available,Unknown category,33.56736755371094
f4,swc_shallow,No description available,Unknown category,32.721351623535156
f40,latitude_abs,No description available,Unknown category,29.92084503173828
f46,slope_vapor_pressure_curve,No description available,Unknown category,29.265560150146484
f23,stomatal_conductance_proxy,No description available,Unknown category,28.01801300048828
f28,stomatal_control_index,No description available,Unknown category,27.760236740112305
f54,igbp_code,No description available,Unknown category,27.282947540283203
f0,ta,No description available,Unknown category,23.74789810180664
f74,basal_area,No description available,Unknown category,23.715347290039062
f68,ws,No description available,Unknown category,23.213359832763672
f27,wind_stress,No description available,Unknown category,22.90995216369629
f5,sw_in,No description available,Unknown category,22.525054931640625
f3,ppfd_in,No description available,Unknown category,21.220552444458008
f65,tree_size_class_code,No description available,Unknown category,14.805895805358887
f33,pl_age,No description available,Unknown category,14.398083686828613
f60,igbp_class_code,No description available,Unknown category,10.740192413330078
f70,clay_percentage,No description available,Unknown category,7.8198561668396
f69,precip,No description available,Unknown category,3.583296775817871
