feature_index,feature_name,importance
f44,pl_dbh,1189271.5
f47,pl_bark_thick,980287.1875
f9,ext_rad,397083.46875
f52,ext_rad_fao56,359920.28125
f59,net_shortwave_radiation,317363.90625
f0,ta,172800.234375
f53,daylight_hours,119054.4765625
f71,soil_texture_code,90197.4453125
f62,leaf_habit_code,73850.9140625
f48,pl_sapw_area,56413.328125
f11,longitude,17243.53125
f26,clay_percentage,16774.775390625
f49,pl_sapw_depth,12914.7265625
f17,basal_area,10986.0380859375
f18,vpd_ta_interaction,7888.28662109375
f22,stand_height,7789.29931640625
f30,silt_percentage,7590.91015625
f64,igbp_code,7521.38623046875
f28,sand_percentage,6916.484375
f2,vpd,6120.89794921875
f13,mean_annual_temp,6111.8203125
f73,growth_condition_code,5733.1845703125
f36,n_trees,5322.69091796875
f12,elevation,5096.77685546875
f51,aridity_index_legacy,4818.05322265625
f10,latitude,4384.306640625
f1,rh,4182.224609375
f72,terrain_code,4037.147216796875
f16,vpd_ppfd_interaction,3886.038818359375
f14,mean_annual_precip,3601.679443359375
f19,tree_density,3569.155029296875
f58,psychrometric_constant,3558.661865234375
f23,leaf_area_index,3277.517333984375
f38,stomatal_control_index,3259.240478515625
f65,social_status_code,2548.51220703125
f75,tree_size_class_code,2413.05810546875
f29,radiation_temp_interaction,2310.476806640625
f20,temp_humidity_ratio,2040.8909912109375
f74,pl_social_code,2040.8294677734375
f21,water_stress_index,2018.2730712890625
f33,soil_depth,1878.454833984375
f55,sat_vapor_pressure_kpa,1781.0145263671875
f15,stand_age,1642.90869140625
f43,pl_age,1591.532958984375
f25,temp_soil_interaction,1532.6119384765625
f6,precip,1465.8985595703125
f50,latitude_abs,1403.439453125
f24,light_efficiency,1396.0264892578125
f4,ppfd_in,1390.448974609375
f8,swc_deep,1271.685546875
f39,light_efficiency_ext,1166.8719482421875
f76,tree_age_class_code,1044.390869140625
f56,slope_vapor_pressure_curve,958.6937255859375
f7,swc_shallow,938.9515991210938
f31,ppfd_efficiency,922.134765625
f45,pl_height,855.294921875
f61,net_radiation,847.4383544921875
f66,tree_volume_index,768.9656982421875
f54,pet_oudin_mm_day,763.6748046875
f32,humidity_soil_interaction,735.9046630859375
f3,sw_in,731.1317138671875
f37,wind_stress,722.84619140625
f35,stomatal_conductance_proxy,719.6319580078125
f46,pl_leaf_area,639.776123046875
f34,temp_deviation,607.9835205078125
f27,wind_vpd_interaction,563.7631225585938
f5,ws,504.6885986328125
f60,net_longwave_radiation,471.264892578125
f41,sapwood_leaf_ratio,301.0337219238281
f70,igbp_class_code,282.80987548828125
f57,air_pressure_kpa,175.3074493408203
