feature_index,feature_name,importance
f13,mean_annual_precip,35378.03515625
f46,aridity_index_legacy,30144.677734375
f74,clay_percentage,20103.439453125
f33,stomatal_control_index,19046.6484375
f14,vpd_ppfd_interaction,18509.505859375
f29,radiation_temp_interaction,8863.4794921875
f24,stand_height,5271.6181640625
f17,stand_age,3159.9697265625
f21,tree_density,2943.590087890625
f42,pl_bark_thick,2906.158935546875
f31,n_trees,2468.51806640625
f8,latitude,2397.061279296875
f12,mean_annual_temp,2095.580078125
f38,pl_age,2085.370361328125
f19,basal_area,1877.322021484375
f71,tree_age_class_code,1741.772216796875
f25,leaf_area_index,1695.5435791015625
f54,net_shortwave_radiation,1284.6414794921875
f43,pl_sapw_area,1120.3963623046875
f44,pl_sapw_depth,1093.0509033203125
f47,ext_rad_fao56,1061.3182373046875
f20,water_stress_index,952.6966552734375
f59,igbp_code,885.9092407226562
f39,pl_dbh,834.974853515625
f65,igbp_class_code,827.4222412109375
f4,ppfd_in,741.7291259765625
f11,elevation,640.1300659179688
f2,vpd,601.5202026367188
f56,net_radiation,590.09912109375
f41,pl_leaf_area,588.1594848632812
f50,sat_vapor_pressure_kpa,561.4439086914062
f16,vpd_ta_interaction,546.2932739257812
f48,daylight_hours,511.59295654296875
f40,pl_height,426.7456970214844
f49,pet_oudin_mm_day,412.554931640625
f36,sapwood_leaf_ratio,382.89935302734375
f77,swc_deep,374.0942077636719
f73,swc_shallow,371.8748779296875
f7,ext_rad,349.1168212890625
f61,tree_volume_index,330.5799255371094
f10,longitude,330.2083435058594
f18,temp_humidity_ratio,325.492431640625
f66,soil_texture_code,307.5189514160156
f9,ppfd_efficiency,296.4235534667969
f26,temp_soil_interaction,283.0580139160156
f27,soil_depth,230.47216796875
f60,social_status_code,229.39883422851562
f23,light_efficiency,204.5505828857422
f1,rh,176.8820037841797
f0,ta,175.56973266601562
f70,tree_size_class_code,169.23388671875
f22,stomatal_conductance_proxy,141.8340606689453
f34,light_efficiency_ext,139.5360565185547
f28,wind_vpd_interaction,137.07879638671875
f15,temp_deviation,132.039306640625
f51,slope_vapor_pressure_curve,123.15263366699219
f69,pl_social_code,122.093017578125
f55,net_longwave_radiation,112.3939208984375
f68,growth_condition_code,111.48912811279297
f58,biome_code,96.56629943847656
f45,latitude_abs,91.69894409179688
f30,humidity_soil_interaction,87.44227600097656
f52,air_pressure_kpa,83.65247344970703
f5,ws,67.32774353027344
f32,wind_stress,62.41221237182617
f75,sand_percentage,56.44465637207031
f3,sw_in,51.724605560302734
f6,precip,11.374858856201172
