feature_index,feature_name,description,category,importance_score
f13,mean_annual_precip,No description available,Unknown category,35378.03515625
f46,aridity_index_legacy,No description available,Unknown category,30144.677734375
f74,clay_percentage,No description available,Unknown category,20103.439453125
f33,stomatal_control_index,No description available,Unknown category,19046.6484375
f14,vpd_ppfd_interaction,No description available,Unknown category,18509.505859375
f29,radiation_temp_interaction,No description available,Unknown category,8863.4794921875
f24,stand_height,No description available,Unknown category,5271.6181640625
f17,stand_age,No description available,Unknown category,3159.9697265625
f21,tree_density,No description available,Unknown category,2943.590087890625
f42,pl_bark_thick,No description available,Unknown category,2906.158935546875
f31,n_trees,No description available,Unknown category,2468.51806640625
f8,latitude,No description available,Unknown category,2397.061279296875
f12,mean_annual_temp,No description available,Unknown category,2095.580078125
f38,pl_age,No description available,Unknown category,2085.370361328125
f19,basal_area,No description available,Unknown category,1877.322021484375
f71,tree_age_class_code,No description available,Unknown category,1741.772216796875
f25,leaf_area_index,No description available,Unknown category,1695.5435791015625
f54,net_shortwave_radiation,No description available,Unknown category,1284.6414794921875
f43,pl_sapw_area,No description available,Unknown category,1120.3963623046875
f44,pl_sapw_depth,No description available,Unknown category,1093.0509033203125
f47,ext_rad_fao56,No description available,Unknown category,1061.3182373046875
f20,water_stress_index,No description available,Unknown category,952.6966552734375
f59,igbp_code,No description available,Unknown category,885.9092407226562
f39,pl_dbh,No description available,Unknown category,834.974853515625
f65,igbp_class_code,No description available,Unknown category,827.4222412109375
f4,ppfd_in,No description available,Unknown category,741.7291259765625
f11,elevation,No description available,Unknown category,640.1300659179688
f2,vpd,No description available,Unknown category,601.5202026367188
f56,net_radiation,No description available,Unknown category,590.09912109375
f41,pl_leaf_area,No description available,Unknown category,588.1594848632812
f50,sat_vapor_pressure_kpa,No description available,Unknown category,561.4439086914062
f16,vpd_ta_interaction,No description available,Unknown category,546.2932739257812
f48,daylight_hours,No description available,Unknown category,511.59295654296875
f40,pl_height,No description available,Unknown category,426.7456970214844
f49,pet_oudin_mm_day,No description available,Unknown category,412.554931640625
f36,sapwood_leaf_ratio,No description available,Unknown category,382.89935302734375
f77,swc_deep,No description available,Unknown category,374.0942077636719
f73,swc_shallow,No description available,Unknown category,371.8748779296875
f7,ext_rad,No description available,Unknown category,349.1168212890625
f61,tree_volume_index,No description available,Unknown category,330.5799255371094
f10,longitude,No description available,Unknown category,330.2083435058594
f18,temp_humidity_ratio,No description available,Unknown category,325.492431640625
f66,soil_texture_code,No description available,Unknown category,307.5189514160156
f9,ppfd_efficiency,No description available,Unknown category,296.4235534667969
f26,temp_soil_interaction,No description available,Unknown category,283.0580139160156
f27,soil_depth,No description available,Unknown category,230.47216796875
f60,social_status_code,No description available,Unknown category,229.39883422851562
f23,light_efficiency,No description available,Unknown category,204.5505828857422
f1,rh,No description available,Unknown category,176.8820037841797
f0,ta,No description available,Unknown category,175.56973266601562
f70,tree_size_class_code,No description available,Unknown category,169.23388671875
f22,stomatal_conductance_proxy,No description available,Unknown category,141.8340606689453
f34,light_efficiency_ext,No description available,Unknown category,139.5360565185547
f28,wind_vpd_interaction,No description available,Unknown category,137.07879638671875
f15,temp_deviation,No description available,Unknown category,132.039306640625
f51,slope_vapor_pressure_curve,No description available,Unknown category,123.15263366699219
f69,pl_social_code,No description available,Unknown category,122.093017578125
f55,net_longwave_radiation,No description available,Unknown category,112.3939208984375
f68,growth_condition_code,No description available,Unknown category,111.48912811279297
f58,biome_code,No description available,Unknown category,96.56629943847656
f45,latitude_abs,No description available,Unknown category,91.69894409179688
f30,humidity_soil_interaction,No description available,Unknown category,87.44227600097656
f52,air_pressure_kpa,No description available,Unknown category,83.65247344970703
f5,ws,No description available,Unknown category,67.32774353027344
f32,wind_stress,No description available,Unknown category,62.41221237182617
f75,sand_percentage,No description available,Unknown category,56.44465637207031
f3,sw_in,No description available,Unknown category,51.724605560302734
f6,precip,No description available,Unknown category,11.374858856201172
