cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0,1,CHN_ARG_GWD.parquet,1018948,40280,0.6514530811806809,5.981168236442166,0.4037009299349853,4.437260452030438,0.9801706569882744,0.3828106299201889
0,2,CHN_ARG_GWS.parquet,1018842,40386,0.6591921556328886,9.869457954062664,0.40733703970919327,6.651138557322846,0.9758900712248637,-0.03458980851015281
0,3,CHN_YIN_ST1.parquet,998438,60790,0.632911535889999,5.114213517471743,0.39315871734287966,3.273774580043552,0.9814342936293218,0.44723384540387523
0,4,CHN_YIN_ST2_DRO.parquet,1034680,24548,0.642887926718264,6.534196368679131,0.39915272130830026,5.118902437883958,0.9813022556473445,0.11300828334260848
0,5,CHN_YIN_ST3_DRO.parquet,1022709,36519,0.6496490665664165,6.486319394345443,0.4021168192170074,4.757983284885718,0.9825224081857525,-1.8905693549110847
0,6,ESP_RON_PIL.parquet,830872,228356,0.6564483186492885,1.7609947765669243,0.4077205094776345,1.0105221001325244,0.9849890453754372,0.3743584120175115
0,7,ESP_SAN_A2_45I.parquet,1046512,12716,0.6518523705437903,4.492710165325328,0.4073092471598406,1.9546833813888613,0.9821740877358676,0.36156781331324006
0,8,ESP_SAN_B2_100.parquet,1055050,4178,0.6639103577669013,2.2507033137191,0.4135509342771228,1.6092742115166714,0.9816562813041986,0.1644160893864952
0,9,ESP_YUN_C1.parquet,909061,150167,0.6862994162438418,1.2088252274892544,0.4291139530043863,0.7792394035807875,0.9825157212226069,0.2562679738802017
0,10,ESP_YUN_C2.parquet,1001277,57951,0.6677292478493208,1.4970874550649076,0.4163413160299207,1.0223043240396896,0.9821763198668935,-0.09913671559314041
0,11,ESP_YUN_T3_THI.parquet,777969,281259,0.6704671396233705,1.4022384718224838,0.4244532024682293,0.7814619476998588,0.9850346679534236,0.4108354813491152
0,12,HUN_SIK.parquet,1034907,24321,0.6503837046773183,8.948668541557506,0.40461523894032425,7.4315890425583255,0.9826223658919251,-9.0619043652292
0,13,SEN_SOU_IRR.parquet,1058333,895,0.6530533442830848,3.9453357747549473,0.4068611691426851,3.1118703521201594,0.9821597665259701,0.6103250672330041
0,14,SEN_SOU_POS.parquet,1056084,3144,0.6467374021309251,4.0257628889000925,0.4039827963598232,2.91336263807169,0.9825053913479961,0.3560611335817948
0,15,SEN_SOU_PRE.parquet,1042465,16763,0.6070930488973978,4.282599405597503,0.3822629520880858,3.0775877201874753,0.9842972509588137,0.42809141565075626
0,16,USA_TNO.parquet,982273,76955,0.6478273630865149,4.3641556735154605,0.407404499549002,2.9702170446635425,0.9824688886735918,0.19918078623917412
1,1,AUS_BRI_BRI.parquet,1626585,5935,1.7576203433366675,4.391057309540374,0.8687937563126346,2.9937213486606558,0.9453730444364845,-1.018486219397091
1,2,AUS_CAN_ST1_EUC.parquet,1630132,2388,1.7610319949236937,0.6997264411014733,0.8694195750338516,0.48576063944666437,0.9450714242884157,-0.45333877277507484
1,3,AUS_CAN_ST3_ACA.parquet,1630062,2458,1.7603639863878677,0.7357439649617,0.8671370346331033,0.581938934768478,0.9451155115193767,-1.2017982485078371
1,4,AUS_CAR_THI_00F.parquet,1624498,8022,1.7602620378687066,5.155269671942563,0.863122806326461,3.118467940138154,0.944816416589052,0.6352261014544434
1,5,AUS_CAR_THI_0PF.parquet,1624292,8228,1.751228507873229,4.581320468282952,0.8636818029024227,2.987650572414473,0.9456789524848868,0.318330641514869
1,6,AUS_CAR_THI_CON.parquet,1624091,8429,1.7536101281016472,3.709234737203055,0.8631145146087652,2.4905015112166025,0.945453564118933,0.6671935549378167
1,7,AUS_CAR_THI_T00.parquet,1625150,7370,1.7269804359084528,5.961929841452343,0.8534868976396645,3.5072941764148315,0.9466455158439693,0.7022919474996253
1,8,AUS_CAR_THI_T0F.parquet,1624829,7691,1.7405294043735908,4.632169307188436,0.8586616483788791,2.764846530450427,0.9459659089742012,0.7486029719444124
1,9,AUS_ELL_MB_MOD.parquet,1592759,39761,1.6118930487694614,12.120843308695274,0.8076494973977733,7.091307911640019,0.9484918452743444,0.3506339476237754
1,10,AUS_ELL_UNB.parquet,1612986,19534,1.703735143251969,9.937362523031963,0.8439961132385784,5.855554847076939,0.9467678361088454,0.229740575126422
1,11,AUS_KAR.parquet,1602014,30506,1.753163609685185,5.630605922379829,0.8664146731710215,4.774565328756813,0.9462969056912564,-1.7378239105654463
1,12,AUS_MAR_HSD_HIG.parquet,1570129,62391,1.7423680690526038,9.316467237759413,0.8505463508923946,5.978976279418574,0.9462334700679386,-0.783521099469872
1,13,AUS_MAR_HSW_HIG.parquet,1590172,42348,1.7421041256351195,9.872049491021619,0.8549037119626426,6.8138216015909014,0.9441616266445007,0.18003040747031152
