feature_index,feature_name,importance
f13,vpd_ppfd_interaction,2488.412109375
f24,radiation_temp_interaction,1375.315185546875
f64,tree_density,1134.264404296875
f11,mean_annual_temp,1116.1224365234375
f56,species_functional_group_code,674.910888671875
f9,longitude,668.9615478515625
f10,elevation,432.3579406738281
f37,pl_sapw_area,411.1062316894531
f7,latitude,377.3069763183594
f2,vpd,345.4324645996094
f20,light_efficiency,327.7724304199219
f3,ppfd_in,292.0464172363281
f43,igbp_code,269.96826171875
f39,latitude_abs,265.33447265625
f35,pl_leaf_area,157.9150848388672
f6,ext_rad,152.47862243652344
f40,aridity_index,144.66676330566406
f14,stand_height,144.5916290283203
f33,pl_dbh,134.55821228027344
f15,vpd_ta_interaction,132.62767028808594
f25,n_trees,123.72998046875
f34,pl_height,120.71217346191406
f45,tree_volume_index,104.89281463623047
f12,mean_annual_precip,100.15735626220703
f54,tree_size_class_code,92.50554656982422
f1,rh,68.73300170898438
f18,temp_humidity_ratio,64.79678344726562
f38,pl_sapw_depth,61.41857147216797
f22,temp_soil_interaction,60.75154113769531
f19,water_stress_index,56.10990905761719
f30,sapwood_leaf_ratio,53.979217529296875
f23,wind_vpd_interaction,47.08707809448242
f4,swc_shallow,41.509521484375
f65,soil_depth,37.477596282958984
f8,ppfd_efficiency,37.36951446533203
f21,stomatal_conductance_proxy,35.434608459472656
f28,stomatal_control_index,34.391510009765625
f62,stand_age,33.54107666015625
f17,leaf_area_index,30.182659149169922
f0,ta,28.265756607055664
f57,ws,27.825529098510742
f26,humidity_soil_interaction,27.520368576049805
f5,sw_in,26.664875030517578
f16,temp_deviation,25.587846755981445
f27,wind_stress,25.503019332885742
f44,social_status_code,23.95758056640625
f53,pl_social_code,22.144245147705078
f63,basal_area,12.710615158081055
f58,precip,6.4456281661987305
f32,pl_age,6.407371520996094
f36,pl_bark_thick,2.566291332244873
