feature_index,feature_name,description,category,importance_score
f59,vpd_mean_12h,VPD 12h-hour mean,Rolling,333139.125
f60,vpd_std_12h,VPD 12h-hour standard deviation,Rolling,191689.28125
f6,vpd,Vapor pressure deficit,Environmental,75442.8125
f61,vpd_mean_24h,VPD 24h-hour mean,Rolling,71728.875
f49,ta_mean_168h,Temperature 168h-hour mean,Rolling,37919.234375
f9,day_of_year,Day of year,Temporal,7662.73095703125
f11,year,Year,Temporal,7113.6767578125
f7,ext_rad,Extraterrestrial radiation,Environmental,6314.24267578125
f16,day_cos,Cosine of day of year (cyclical),Temporal,3272.440673828125
f39,ta_mean_6h,Temperature 6h-hour mean,Rolling,3159.76220703125
f15,day_sin,Sine of day of year (cyclical),Temporal,3104.509765625
f36,hours_since_sunset,Hours since sunset,Temporal,2938.946044921875
f28,is_morning,Morning indicator (6-12h),Temporal,2926.92333984375
f1,rh,Relative humidity,Environmental,2566.0048828125
f50,ta_std_168h,Temperature 168h-hour standard deviation,Rolling,2490.2080078125
f41,ta_mean_12h,Temperature 12h-hour mean,Rolling,2444.799072265625
f12,day_of_week,Day of week,Temporal,2438.5439453125
f51,ta_mean_336h,Temperature 336h-hour mean,Rolling,2209.25244140625
f2,sw_in,Shortwave incoming radiation,Environmental,2194.60693359375
f40,ta_std_6h,Temperature 6h-hour standard deviation,Rolling,2179.85595703125
f13,hour_sin,Sine of hour (cyclical),Temporal,2014.4405517578125
f10,month,Month,Temporal,2003.610595703125
f62,vpd_std_24h,VPD 24h-hour standard deviation,Rolling,1973.70068359375
f14,hour_cos,Cosine of hour (cyclical),Temporal,1897.40869140625
f18,month_cos,Cosine of month (cyclical),Temporal,1698.621826171875
f24,solar_day_cos,Cosine of solar day,Temporal,1633.295166015625
f64,vpd_std_48h,VPD 48h-hour standard deviation,Rolling,1608.1422119140625
f38,ta_std_3h,Temperature 3h-hour standard deviation,Rolling,1408.3055419921875
f63,vpd_mean_48h,VPD 48h-hour mean,Rolling,1405.8560791015625
f17,month_sin,Sine of month (cyclical),Temporal,1205.4874267578125
f44,ta_std_24h,Temperature 24h-hour standard deviation,Rolling,1122.570556640625
f37,ta_mean_3h,Temperature 3h-hour mean,Rolling,1111.46484375
f35,hours_since_sunrise,Hours since sunrise,Temporal,1109.8385009765625
f22,solar_hour_cos,Cosine of solar hour,Temporal,1056.7364501953125
f33,is_autumn,Autumn season indicator,Temporal,948.195556640625
f25,is_daylight,Daylight indicator (6-18h),Temporal,903.4247436523438
f19,solar_hour,Solar hour,Temporal,795.800537109375
f65,vpd_mean_72h,VPD 72h-hour mean,Rolling,724.6105346679688
f3,ws,Wind speed,Environmental,666.4024047851562
f56,vpd_std_3h,VPD 3h-hour standard deviation,Rolling,649.8955688476562
f20,solar_day_of_year,Solar day of year,Temporal,644.157958984375
f45,ta_mean_48h,Temperature 48h-hour mean,Rolling,634.207763671875
f8,hour,Hour of day,Temporal,607.9027709960938
f21,solar_hour_sin,Sine of solar hour,Temporal,588.51171875
f5,ppfd_in,Photosynthetic photon flux density,Environmental,536.8648071289062
f4,precip,Precipitation,Environmental,535.0886840820312
f55,vpd_mean_3h,VPD 3h-hour mean,Rolling,510.86279296875
f53,ta_mean_720h,Temperature 720h-hour mean,Rolling,466.4495544433594
f32,is_summer,Summer season indicator,Temporal,437.5365905761719
f43,ta_mean_24h,Temperature 24h-hour mean,Rolling,365.6847229003906
f52,ta_std_336h,Temperature 336h-hour standard deviation,Rolling,364.0029296875
f26,is_peak_sunlight,Peak sunlight indicator (10-16h),Temporal,352.5805969238281
f34,is_winter,Winter season indicator,Temporal,315.07470703125
f58,vpd_std_6h,VPD 6h-hour standard deviation,Rolling,302.934814453125
f57,vpd_mean_6h,VPD 6h-hour mean,Rolling,285.8710021972656
f54,ta_std_720h,Temperature 720h-hour standard deviation,Rolling,273.4693298339844
f0,ta,Air temperature,Environmental,260.9624328613281
f27,is_weekend,Weekend indicator,Temporal,253.95947265625
f23,solar_day_sin,Sine of solar day,Temporal,253.500244140625
f30,is_night,Night indicator,Temporal,244.99044799804688
