feature_index,feature_name,importance
f209,soil_depth,190059.515625
f200,elevation,159136.03125
f202,mean_annual_precip,73473.3203125
f165,rh_max_336h,65440.33984375
f128,sw_in_lag_6h,43671.953125
f129,sw_in_lag_12h,24746.81640625
f223,biome_code,22373.37890625
f4,vpd,17339.466796875
f76,sw_in_std_12h,16448.755859375
f18,solar_day_of_year,15500.2763671875
f179,ta_min_168h,14402.791015625
f212,pl_age,13807.732421875
f78,sw_in_std_24h,13526.681640625
f143,swc_shallow_lag_1h,13460.5185546875
f5,ext_rad,12433.7138671875
f34,hours_since_sunset,11579.3994140625
f81,sw_in_mean_72h,10677.7021484375
f208,silt_percentage,10401.6572265625
f20,solar_hour_cos,9535.685546875
f15,month_sin,9462.103515625
f230,igbp_class_code,8886.837890625
f145,swc_shallow_lag_3h,8565.564453125
f56,vpd_std_6h,7242.46337890625
f169,vpd_range_72h,7134.14453125
f12,hour_cos,7003.40771484375
f157,wind_vpd_interaction,6999.6162109375
f219,climate_zone_code,6091.9912109375
f251,light_efficiency,6084.27880859375
f194,precip_cum_24h,5861.291015625
f211,measurement_timestep,5717.97607421875
f204,stand_age,5589.39501953125
f162,rh_max_168h,5438.87158203125
f22,solar_day_cos,5339.716796875
f160,rh_range_72h,5252.341796875
f252,temp_soil_interaction,5191.515625
f63,vpd_mean_72h,5063.7841796875
f33,hours_since_sunrise,5001.3203125
f46,ta_std_72h,4864.83203125
f14,day_cos,4854.56591796875
f234,tree_size_class_code,4762.2216796875
f213,pl_dbh,4711.724609375
f47,ta_mean_168h,4555.08935546875
f69,vpd_mean_720h,4426.88330078125
f222,leaf_habit_code,4426.79052734375
f237,site_name_code,4415.20166015625
f67,vpd_mean_336h,4384.05224609375
f221,aridity_index,4281.5107421875
f74,sw_in_std_6h,4249.66796875
f214,pl_height,4234.24560546875
f65,vpd_mean_168h,4089.196533203125
f218,pl_sapw_depth,4058.81884765625
f172,vpd_range_168h,4026.783935546875
f170,vpd_min_168h,4026.4560546875
f246,basal_area,4021.589111328125
f173,vpd_min_336h,4007.11865234375
f215,pl_leaf_area,3919.9853515625
f232,growth_condition_code,3882.799560546875
f64,vpd_std_72h,3847.70458984375
f80,sw_in_std_48h,3787.773193359375
f45,ta_mean_72h,3736.20166015625
f75,sw_in_mean_12h,3641.757568359375
