feature_index,feature_name,description,category,importance_score
f7,longitude,No description available,Unknown category,220225.234375
f5,ext_rad,No description available,Unknown category,49743.0390625
f14,stand_height,No description available,Unknown category,36133.44140625
f8,elevation,No description available,Unknown category,33993.171875
f48,tree_volume_index,No description available,Unknown category,31163.5078125
f37,pl_height,No description available,Unknown category,27356.138671875
f9,mean_annual_temp,No description available,Unknown category,24251.427734375
f64,tree_density,No description available,Unknown category,12688.2001953125
f43,aridity_index,No description available,Unknown category,12246.166015625
f6,latitude,No description available,Unknown category,11690.39453125
f10,mean_annual_precip,No description available,Unknown category,10577.51171875
f63,basal_area,No description available,Unknown category,8387.263671875
f65,leaf_area_index,No description available,Unknown category,7978.5498046875
f52,igbp_class_code,No description available,Unknown category,7882.19384765625
f53,soil_texture_code,No description available,Unknown category,6921.31396484375
f39,pl_bark_thick,No description available,Unknown category,5201.1416015625
f36,pl_dbh,No description available,Unknown category,4763.728515625
f23,temp_humidity_ratio,No description available,Unknown category,4051.0966796875
f12,stand_age,No description available,Unknown category,3954.92724609375
f57,tree_size_class_code,No description available,Unknown category,3941.275146484375
f19,silt_percentage,No description available,Unknown category,3275.20703125
f1,rh,No description available,Unknown category,3273.5224609375
f4,vpd,No description available,Unknown category,3217.41650390625
f33,sapwood_leaf_ratio,No description available,Unknown category,3156.93017578125
f15,clay_percentage,No description available,Unknown category,2903.260009765625
f47,social_status_code,No description available,Unknown category,2673.14794921875
f21,vpd_ta_interaction,No description available,Unknown category,2554.998291015625
f42,latitude_abs,No description available,Unknown category,2498.922607421875
f54,terrain_code,No description available,Unknown category,2392.02392578125
f40,pl_sapw_area,No description available,Unknown category,2380.00732421875
f18,vpd_ppfd_interaction,No description available,Unknown category,2324.1640625
f46,igbp_code,No description available,Unknown category,2172.0185546875
f20,soil_depth,No description available,Unknown category,2018.5672607421875
f35,pl_age,No description available,Unknown category,2010.7335205078125
f26,n_trees,No description available,Unknown category,1910.5601806640625
f56,pl_social_code,No description available,Unknown category,1873.083740234375
f29,stomatal_control_index,No description available,Unknown category,1761.671142578125
f41,pl_sapw_depth,No description available,Unknown category,1582.1876220703125
f25,wind_vpd_interaction,No description available,Unknown category,1566.2052001953125
f24,water_stress_index,No description available,Unknown category,1524.448486328125
f28,temp_soil_interaction,No description available,Unknown category,1499.9832763671875
f17,sand_percentage,No description available,Unknown category,1356.10400390625
f30,radiation_temp_interaction,No description available,Unknown category,1312.4805908203125
f2,ws,No description available,Unknown category,1227.0625
f22,wind_stress,No description available,Unknown category,1208.710693359375
f13,temp_deviation,No description available,Unknown category,1200.45654296875
f16,stomatal_conductance_proxy,No description available,Unknown category,1191.5208740234375
f61,swc_shallow,No description available,Unknown category,1164.236328125
f38,pl_leaf_area,No description available,Unknown category,1064.081298828125
f0,ta,No description available,Unknown category,1034.7421875
f3,precip,No description available,Unknown category,883.3775024414062
f11,ppfd_efficiency,No description available,Unknown category,798.433837890625
f58,tree_age_class_code,No description available,Unknown category,778.5742797851562
f60,sw_in,No description available,Unknown category,766.9359741210938
f27,light_efficiency,No description available,Unknown category,733.6822509765625
f62,ppfd_in,No description available,Unknown category,678.8477172851562
f45,biome_code,No description available,Unknown category,667.059326171875
f55,growth_condition_code,No description available,Unknown category,532.3887329101562
f31,humidity_soil_interaction,No description available,Unknown category,401.4857177734375
