feature_index,feature_name,importance
f361,igbp_class_code,136310.828125
f105,leaf_habit_code,102252.6640625
f43,vpd_ppfd_interaction,61194.79296875
f64,stomatal_control_index,60492.01171875
f370,clay_percentage,50254.69140625
f98,latitude_abs,37304.13671875
f362,soil_texture_code,36539.0625
f34,solar_hour_cos,17202.68359375
f363,terrain_code,15548.4912109375
f373,swc_shallow_mean_3h,11410.583984375
f52,stand_height,9597.822265625
f168,vpd_max_720h,8544.1298828125
f28,is_winter,8497.9931640625
f19,is_daylight,8469.4091796875
f95,pl_bark_thick,7217.98388671875
f289,ppfd_in_range_720h,6024.50732421875
f61,n_trees,5971.37353515625
f109,rh_mean_3h,5199.44580078125
f9,day_of_year,5159.08447265625
f46,temp_humidity_ratio,5069.0263671875
f260,ppfd_in_mean_3h,5040.2890625
f41,mean_annual_temp,4900.5927734375
f97,pl_sapw_depth,4805.48681640625
f44,vpd_ta_interaction,4300.13623046875
f400,swc_shallow_min_720h,4208.9990234375
f138,rh_max_720h,4053.18408203125
f170,sw_in_mean_3h,3951.07568359375
f37,latitude,3777.158935546875
f288,ppfd_in_max_720h,3491.64208984375
f42,mean_annual_precip,3485.47607421875
f308,sw_in_lag_1h,3459.360595703125
f390,swc_shallow_min_168h,3282.836181640625
f93,pl_height,2951.995361328125
f96,pl_sapw_area,2938.365478515625
f47,basal_area,2870.53857421875
f45,stand_age,2864.53857421875
f158,vpd_max_168h,2840.09765625
f106,biome_code,2704.6103515625
f57,radiation_temp_interaction,2630.300537109375
f287,ppfd_in_min_720h,2619.91162109375
f103,ta_max_720h,2492.529052734375
f163,vpd_max_336h,2483.98828125
f38,longitude,2311.7626953125
f16,day_cos,2275.830078125
f18,month_cos,2233.3935546875
f100,aridity_index,2212.6162109375
f198,sw_in_max_720h,2211.84423828125
f197,sw_in_min_720h,2176.502197265625
f166,vpd_std_720h,2124.783447265625
f199,sw_in_range_720h,2083.053466796875
f88,ta_min_336h,2069.889404296875
f15,day_sin,2050.86328125
f172,sw_in_mean_6h,2044.2188720703125
f91,pl_age,1977.6405029296875
f54,leaf_area_index,1868.033447265625
f398,swc_shallow_mean_720h,1814.8038330078125
f396,swc_shallow_max_336h,1814.6533203125
f23,is_afternoon,1732.4945068359375
f32,solar_day_of_year,1718.0509033203125
f169,vpd_range_720h,1713.370361328125
f35,solar_day_sin,1682.7891845703125
f371,sand_percentage,1672.841796875
f132,rh_min_336h,1670.7691650390625
f83,ta_min_168h,1625.148681640625
f48,tree_density,1539.94580078125
f20,is_peak_sunlight,1534.59375
f137,rh_min_720h,1450.4921875
f111,tree_volume_index,1440.9227294921875
f273,ppfd_in_max_72h,1413.3233642578125
f167,vpd_min_720h,1365.928955078125
f11,year,1307.6644287109375
f17,month_sin,1286.75927734375
f53,temp_soil_interaction,1283.005126953125
f228,ws_max_720h,1279.456298828125
f262,ppfd_in_mean_6h,1251.249267578125
f367,tree_age_class_code,1240.332763671875
f36,solar_day_cos,1240.2027587890625
f92,pl_dbh,1237.6348876953125
f410,swc_shallow_rate_6h,1225.639892578125
f7,ext_rad,1212.8023681640625
f33,solar_hour_sin,1188.0714111328125
f326,ppfd_in_lag_1h,1184.9571533203125
f401,swc_shallow_max_720h,1183.41943359375
f366,tree_size_class_code,1174.0301513671875
f102,ta_min_720h,1164.271240234375
f10,month,1149.997802734375
f127,rh_min_168h,1134.3997802734375
f272,ppfd_in_min_72h,1122.6474609375
f380,swc_shallow_std_24h,1120.92529296875
f139,rh_range_720h,1109.3504638671875
f309,sw_in_lag_2h,1092.4222412109375
f142,vpd_mean_6h,1079.7791748046875
f372,silt_percentage,1073.0665283203125
f229,ws_range_720h,1047.09912109375
f31,solar_hour,1036.0804443359375
f397,swc_shallow_range_336h,1035.8936767578125
f365,pl_social_code,1032.742431640625
f277,ppfd_in_min_168h,982.3638916015625
f29,hours_since_sunrise,977.0541381835938
f104,ta_range_720h,974.9026489257812
f156,vpd_std_168h,973.7522583007812
f264,ppfd_in_mean_12h,963.3366088867188
f13,hour_sin,895.4921264648438
f196,sw_in_std_720h,887.2952880859375
f385,swc_shallow_min_72h,865.83935546875
f402,swc_shallow_range_720h,830.4655151367188
f399,swc_shallow_std_720h,814.540283203125
f310,sw_in_lag_3h,795.2308349609375
f39,elevation,784.918701171875
