feature_index,feature_name,description,category,importance_score
f47,silt_percentage,No description available,Unknown category,166303.21875
f42,tree_age_class_code,No description available,Unknown category,59532.97265625
f41,tree_size_class_code,No description available,Unknown category,53375.37890625
f20,pl_age,No description available,Unknown category,40494.3359375
f11,mean_annual_temp,No description available,Unknown category,24275.09765625
f34,tree_volume_index,No description available,Unknown category,22729.25390625
f32,social_status_code,No description available,Unknown category,22160.96875
f40,pl_social_code,No description available,Unknown category,14572.927734375
f27,latitude_abs,No description available,Unknown category,12510.2666015625
f9,longitude,No description available,Unknown category,11429.662109375
f21,pl_dbh,No description available,Unknown category,10683.4716796875
f25,pl_sapw_area,No description available,Unknown category,10011.6796875
f7,ext_rad,No description available,Unknown category,9087.330078125
f22,pl_height,No description available,Unknown category,8030.4658203125
f19,n_trees,No description available,Unknown category,6755.60693359375
f26,pl_sapw_depth,No description available,Unknown category,5638.666015625
f15,tree_density,No description available,Unknown category,5411.91650390625
f8,latitude,No description available,Unknown category,5200.58544921875
f6,rh,No description available,Unknown category,4728.4228515625
f13,stand_age,No description available,Unknown category,4621.06884765625
f24,pl_bark_thick,No description available,Unknown category,4164.95458984375
f5,ppfd_in,No description available,Unknown category,3173.69970703125
f28,aridity_index,No description available,Unknown category,2987.595458984375
f1,vpd,No description available,Unknown category,2824.091796875
f10,elevation,No description available,Unknown category,2620.27392578125
f31,igbp_code,No description available,Unknown category,2567.580322265625
f14,basal_area,No description available,Unknown category,2160.531982421875
f2,sw_in,No description available,Unknown category,2017.9735107421875
f12,mean_annual_precip,No description available,Unknown category,1989.84521484375
f4,precip,No description available,Unknown category,1806.8858642578125
f17,leaf_area_index,No description available,Unknown category,1683.2510986328125
f23,pl_leaf_area,No description available,Unknown category,1561.3203125
f30,biome_code,No description available,Unknown category,1287.53125
f33,sapwood_leaf_ratio,No description available,Unknown category,1251.9893798828125
f18,soil_depth,No description available,Unknown category,1176.0816650390625
f0,ta,No description available,Unknown category,1005.5032348632812
f44,swc_shallow,No description available,Unknown category,888.499755859375
f16,stand_height,No description available,Unknown category,867.8195190429688
f3,ws,No description available,Unknown category,693.498779296875
f39,growth_condition_code,No description available,Unknown category,526.1724853515625
f29,leaf_habit_code,No description available,Unknown category,504.0007019042969
f45,clay_percentage,No description available,Unknown category,362.3858337402344
f46,sand_percentage,No description available,Unknown category,350.3598327636719
f38,terrain_code,No description available,Unknown category,323.1521301269531
f37,soil_texture_code,No description available,Unknown category,182.817138671875
f36,igbp_class_code,No description available,Unknown category,108.4056396484375
