feature_index,feature_name,description,category,importance_score
f8,ext_rad,No description available,Unknown category,91575.9453125
f10,longitude,No description available,Unknown category,59827.3203125
f11,elevation,No description available,Unknown category,19463.66796875
f48,latitude_abs,No description available,Unknown category,17973.265625
f24,clay_percentage,No description available,Unknown category,14608.6767578125
f50,leaf_habit_code,No description available,Unknown category,10097.916015625
f58,igbp_class_code,No description available,Unknown category,6349.98291015625
f59,soil_texture_code,No description available,Unknown category,6238.07177734375
f18,stand_height,No description available,Unknown category,4865.4052734375
f45,pl_bark_thick,No description available,Unknown category,4674.19140625
f49,aridity_index,No description available,Unknown category,3949.718017578125
f17,vpd_ppfd_interaction,No description available,Unknown category,3626.399169921875
f29,temp_deviation,No description available,Unknown category,3557.41259765625
f1,rh,No description available,Unknown category,3162.801025390625
f61,growth_condition_code,No description available,Unknown category,3013.076171875
f37,stomatal_control_index,No description available,Unknown category,2917.187744140625
f2,vpd,No description available,Unknown category,2849.555419921875
f21,leaf_area_index,No description available,Unknown category,2606.710205078125
f28,silt_percentage,No description available,Unknown category,2464.094970703125
f14,stand_age,No description available,Unknown category,2453.999755859375
f19,vpd_ta_interaction,No description available,Unknown category,1629.2503662109375
f52,igbp_code,No description available,Unknown category,1564.3468017578125
f36,n_trees,No description available,Unknown category,1519.867431640625
f22,water_stress_index,No description available,Unknown category,1482.6129150390625
f64,tree_age_class_code,No description available,Unknown category,1418.06494140625
f46,pl_sapw_area,No description available,Unknown category,1392.892578125
f16,tree_density,No description available,Unknown category,1243.8505859375
f9,latitude,No description available,Unknown category,1208.0899658203125
f13,mean_annual_precip,No description available,Unknown category,1201.9881591796875
f47,pl_sapw_depth,No description available,Unknown category,1192.5274658203125
f27,temp_soil_interaction,No description available,Unknown category,1166.9063720703125
f32,radiation_temp_interaction,No description available,Unknown category,1061.801025390625
f15,basal_area,No description available,Unknown category,1046.6287841796875
f31,soil_depth,No description available,Unknown category,1039.2686767578125
f20,temp_humidity_ratio,No description available,Unknown category,1037.2662353515625
f53,social_status_code,No description available,Unknown category,1033.2015380859375
f42,pl_dbh,No description available,Unknown category,869.5153198242188
f33,stomatal_conductance_proxy,No description available,Unknown category,819.4163818359375
f23,ppfd_efficiency,No description available,Unknown category,802.1282348632812
f12,mean_annual_temp,No description available,Unknown category,744.0554809570312
f26,sand_percentage,No description available,Unknown category,727.5503540039062
f4,ppfd_in,No description available,Unknown category,698.859130859375
f34,humidity_soil_interaction,No description available,Unknown category,687.418701171875
f25,light_efficiency,No description available,Unknown category,678.2715454101562
f60,terrain_code,No description available,Unknown category,651.2587890625
f6,precip,No description available,Unknown category,617.4591674804688
f7,swc_shallow,No description available,Unknown category,579.611328125
f41,pl_age,No description available,Unknown category,571.7487182617188
f63,tree_size_class_code,No description available,Unknown category,559.5521850585938
f62,pl_social_code,No description available,Unknown category,552.8356323242188
f54,tree_volume_index,No description available,Unknown category,483.5158386230469
f0,ta,No description available,Unknown category,450.59527587890625
f3,sw_in,No description available,Unknown category,434.8684997558594
f35,wind_stress,No description available,Unknown category,354.2230529785156
f43,pl_height,No description available,Unknown category,344.70709228515625
f5,ws,No description available,Unknown category,298.4697570800781
f30,wind_vpd_interaction,No description available,Unknown category,287.7939758300781
f65,species_functional_group_code,No description available,Unknown category,285.0987548828125
f44,pl_leaf_area,No description available,Unknown category,138.64100646972656
f39,sapwood_leaf_ratio,No description available,Unknown category,104.78301239013672
