feature_index,feature_name,importance
f38,elevation,15658.3291015625
f43,vpd_ppfd_interaction,13869.48828125
f57,radiation_temp_interaction,12316.021484375
f89,aridity_index,9368.111328125
f33,solar_hour_cos,3528.460693359375
f324,species_functional_group_code,3194.600341796875
f135,vpd_mean_3h,2859.467529296875
f22,is_afternoon,2511.95263671875
f51,light_efficiency,2410.008544921875
f39,mean_annual_temp,1757.76025390625
f299,vpd_rate_24h,1638.5880126953125
f267,vpd_lag_1h,1487.8839111328125
f327,clay_percentage,1357.13916015625
f17,month_cos,1101.3818359375
f37,longitude,946.3097534179688
f298,vpd_rate_6h,939.4465942382812
f15,day_cos,852.9386596679688
f3,ppfd_in,755.4073486328125
f35,solar_day_cos,651.8008422851562
f59,stomatal_control_index,529.8548583984375
f45,vpd_ta_interaction,477.9222412109375
f127,rh_min_336h,458.4152526855469
f120,rh_mean_168h,452.15899658203125
f158,vpd_max_336h,435.44342041015625
f27,is_winter,372.9567565917969
f159,vpd_range_336h,361.0021667480469
f320,growth_condition_code,304.4375915527344
f400,ws_min_720h,300.3133239746094
f25,is_summer,298.5374450683594
f13,hour_cos,295.4476623535156
f133,rh_max_720h,275.23736572265625
f261,rh_lag_1h,272.7156982421875
f154,vpd_range_168h,268.7232666015625
f86,pl_sapw_area,267.6682434082031
f48,temp_humidity_ratio,247.49966430664062
f328,sand_percentage,240.58267211914062
f84,pl_leaf_area,229.3357391357422
f395,ws_min_336h,227.32510375976562
f129,rh_range_336h,223.4690704345703
f164,vpd_range_720h,216.1689453125
f390,ws_min_168h,210.9413604736328
f323,tree_age_class_code,183.7895965576172
f24,is_spring,182.2111053466797
f163,vpd_max_720h,179.4750213623047
f281,swc_shallow_lag_3h,177.44618225097656
f10,year,173.00827026367188
f56,wind_vpd_interaction,172.58889770507812
f2,vpd,169.46429443359375
f317,igbp_class_code,166.72164916992188
f187,sw_in_min_336h,150.5361785888672
f132,rh_min_720h,149.6795196533203
f257,ta_lag_3h,146.74285888671875
f81,pl_dbh,143.3224334716797
f83,pl_height,132.11181640625
f329,silt_percentage,130.73794555664062
f162,vpd_min_720h,127.4821548461914
f123,rh_max_168h,122.29511260986328
f260,ta_lag_24h,121.07943725585938
f63,ta_mean_6h,120.65201568603516
f14,day_sin,120.14674377441406
f249,ppfd_in_range_336h,120.02410888671875
f216,swc_shallow_std_336h,119.68620300292969
f180,sw_in_mean_168h,118.5914535522461
f188,sw_in_max_336h,118.46067810058594
f153,vpd_max_168h,116.98143005371094
f190,sw_in_mean_720h,116.15339660644531
f40,ppfd_efficiency,113.44849395751953
f213,swc_shallow_max_168h,111.67724609375
f152,vpd_min_168h,108.93090057373047
f99,tree_volume_index,107.071533203125
f31,solar_day_of_year,107.01639556884766
f248,ppfd_in_max_336h,105.55350494384766
f29,hours_since_sunset,102.71464538574219
f130,rh_mean_720h,101.6928939819336
f161,vpd_std_720h,99.91947937011719
f12,hour_sin,98.02965545654297
f401,ws_max_720h,97.01778411865234
f165,sw_in_mean_3h,95.6797103881836
f7,hour,94.568359375
f105,rh_mean_3h,89.97284698486328
f255,ta_lag_1h,89.16380310058594
f98,social_status_code,87.91462707519531
f19,is_peak_sunlight,87.85772705078125
f363,precip_range_720h,86.1375961303711
f220,swc_shallow_mean_720h,85.98345947265625
f30,solar_hour,85.30783081054688
f191,sw_in_std_720h,84.08975219726562
f8,day_of_year,84.03880310058594
f259,ta_lag_12h,83.3195571899414
f95,ta_max_336h,83.14297485351562
f103,ta_max_720h,83.02129364013672
f122,rh_min_168h,79.11011505126953
f200,swc_shallow_std_12h,75.58687591552734
f28,hours_since_sunrise,75.21782684326172
f186,sw_in_std_336h,75.0745620727539
f128,rh_max_336h,71.19149780273438
f212,swc_shallow_min_168h,70.66551971435547
f254,ppfd_in_range_720h,69.7725601196289
f61,sapwood_leaf_ratio,69.08108520507812
f193,sw_in_max_720h,68.06555938720703
f157,vpd_min_336h,68.06108856201172
f277,sw_in_lag_12h,67.95993041992188
f321,pl_social_code,66.18321228027344
f265,rh_lag_12h,65.85116577148438
f296,rh_rate_24h,64.88462829589844
f16,month_sin,64.22216796875
f238,ppfd_in_max_72h,63.86050796508789
f266,rh_lag_24h,63.30569076538086
f160,vpd_mean_720h,63.042518615722656
f252,ppfd_in_min_720h,61.73098373413086
f333,soil_depth,60.515830993652344
f183,sw_in_max_168h,60.186317443847656
f319,terrain_code,59.156951904296875
f304,swc_shallow_rate_6h,59.116294860839844
f347,precip_max_72h,58.289066314697266
f293,ta_rate_24h,58.17351150512695
f256,ta_lag_2h,57.86901092529297
f384,ws_std_72h,57.55784606933594
f211,swc_shallow_std_168h,57.50213623046875
f34,solar_day_sin,56.78575897216797
f202,swc_shallow_std_24h,56.357627868652344
f268,vpd_lag_2h,55.792449951171875
f271,vpd_lag_12h,53.47928237915039
f87,pl_sapw_depth,53.37431716918945
f223,swc_shallow_max_720h,52.214500427246094
f174,sw_in_std_48h,52.16167449951172
f355,precip_std_336h,51.30607223510742
f53,temp_soil_interaction,51.20755386352539
f65,ta_mean_12h,50.82608413696289
f273,sw_in_lag_1h,50.41474151611328
f155,vpd_mean_336h,50.31501388549805
f32,solar_hour_sin,50.20468521118164
f80,ta_max_168h,49.83841323852539
f399,ws_std_720h,49.42048645019531
f91,ta_mean_336h,48.56620407104492
f136,vpd_std_3h,48.452388763427734
f258,ta_lag_6h,48.323570251464844
f332,tree_density,48.23894119262695
f221,swc_shallow_std_720h,48.20650100708008
f104,ta_range_720h,48.06988525390625
f185,sw_in_mean_336h,47.606266021728516
f147,vpd_min_72h,47.5245246887207
f245,ppfd_in_mean_336h,47.08530044555664
f392,ws_range_168h,47.05370330810547
f262,rh_lag_2h,46.648536682128906
f178,sw_in_max_72h,46.50872802734375
f214,swc_shallow_range_168h,46.42388153076172
f145,vpd_mean_72h,46.348018646240234
f397,ws_range_336h,46.034698486328125
f150,vpd_mean_168h,44.81795120239258
f217,swc_shallow_min_336h,44.51383590698242
f290,ppfd_in_lag_24h,44.362918853759766
f131,rh_std_720h,42.806575775146484
f292,ta_rate_6h,42.737667083740234
f21,is_morning,42.274993896484375
f402,ws_range_720h,41.54524230957031
f124,rh_range_168h,41.15304183959961
f68,ta_std_24h,40.91853332519531
f93,ta_min_336h,40.808837890625
f6,ext_rad,40.46294403076172
f295,rh_rate_6h,40.23395919799805
f231,ppfd_in_mean_24h,39.82469940185547
f380,ws_std_24h,39.69875717163086
f282,swc_shallow_lag_6h,39.49187088012695
f67,ta_mean_24h,39.075199127197266
f78,ta_min_168h,39.067298889160156
f76,ta_mean_168h,38.53047561645508
f138,vpd_std_6h,38.07826614379883
f134,rh_range_720h,38.06459426879883
f224,swc_shallow_range_720h,38.029083251953125
f100,ta_mean_720h,37.640159606933594
f143,vpd_mean_48h,37.33487319946289
f330,stand_age,36.80125045776367
f96,ta_range_336h,36.56673812866211
f250,ppfd_in_mean_720h,36.43799591064453
f55,wind_stress,36.28388595581055
f148,vpd_max_72h,35.61593246459961
f73,ta_min_72h,35.4997673034668
f301,sw_in_rate_6h,35.379913330078125
f50,ta_mean_3h,35.12196350097656
f338,precip_mean_12h,34.91388702392578
f181,sw_in_std_168h,34.90428161621094
f208,swc_shallow_max_72h,34.126319885253906
f169,sw_in_mean_12h,34.11446762084961
f269,vpd_lag_3h,33.77779006958008
f278,sw_in_lag_24h,33.65138626098633
f66,ta_std_12h,33.588462829589844
f305,swc_shallow_rate_24h,33.306583404541016
f381,ws_mean_48h,33.12490463256836
f383,ws_mean_72h,33.103267669677734
f263,rh_lag_3h,32.88401412963867
f226,ppfd_in_std_3h,32.443382263183594
f139,vpd_mean_12h,32.21940994262695
f240,ppfd_in_mean_168h,32.214229583740234
f137,vpd_mean_6h,31.92267608642578
f179,sw_in_range_72h,31.905275344848633
f71,ta_mean_72h,31.701780319213867
f26,is_autumn,31.58320426940918
f385,ws_min_72h,31.519142150878906
f101,ta_std_720h,31.428218841552734
f172,sw_in_std_24h,31.217493057250977
f18,is_daylight,31.173906326293945
f125,rh_mean_336h,31.100635528564453
f142,vpd_std_24h,30.492717742919922
f270,vpd_lag_6h,30.367666244506836
f389,ws_std_168h,30.275226593017578
f111,rh_mean_24h,30.228395462036133
f377,ws_mean_12h,30.20261001586914
f151,vpd_std_168h,30.1340389251709
f113,rh_mean_48h,30.045713424682617
f72,ta_std_72h,29.805538177490234
f232,ppfd_in_std_24h,29.635868072509766
f9,month,29.49649429321289
f210,swc_shallow_mean_168h,29.450618743896484
f166,sw_in_std_3h,29.245643615722656
f156,vpd_std_336h,28.93160629272461
f215,swc_shallow_mean_336h,28.686988830566406
f276,sw_in_lag_6h,28.65775489807129
f386,ws_max_72h,28.34030532836914
f1,rh,27.738893508911133
f102,ta_min_720h,27.735443115234375
f404,ws_lag_2h,27.53230857849121
f394,ws_std_336h,27.242780685424805
f118,rh_max_72h,27.22063446044922
f167,sw_in_mean_6h,27.118867874145508
f225,ppfd_in_mean_3h,26.987125396728516
f289,ppfd_in_lag_12h,26.86113739013672
f112,rh_std_24h,26.542951583862305
f203,swc_shallow_mean_48h,26.299379348754883
f300,sw_in_rate_1h,25.96352767944336
f141,vpd_mean_24h,25.94589614868164
f280,swc_shallow_lag_2h,25.828088760375977
f352,precip_max_168h,25.777523040771484
f318,soil_texture_code,25.597820281982422
f350,precip_std_168h,25.13399314880371
f274,sw_in_lag_2h,24.913745880126953
f115,rh_mean_72h,24.717100143432617
f378,ws_std_12h,24.628185272216797
f322,tree_size_class_code,24.40477180480957
f201,swc_shallow_mean_24h,24.35117530822754
f379,ws_mean_24h,24.3299503326416
f182,sw_in_min_168h,24.327842712402344
f121,rh_std_168h,24.30191993713379
f69,ta_mean_48h,24.252595901489258
f107,rh_mean_6h,24.175500869750977
f75,ta_range_72h,24.09542465209961
f42,temp_deviation,23.972801208496094
f288,ppfd_in_lag_6h,23.965932846069336
f117,rh_min_72h,23.955076217651367
f291,ta_rate_1h,23.87397003173828
f312,sw_in_cum_24h,23.430002212524414
f219,swc_shallow_range_336h,23.36571502685547
f77,ta_std_168h,23.309959411621094
f195,swc_shallow_mean_3h,23.244443893432617
f46,stomatal_conductance_proxy,23.216699600219727
f192,sw_in_min_720h,23.165483474731445
f297,vpd_rate_1h,23.042503356933594
f284,swc_shallow_lag_24h,22.954931259155273
f275,sw_in_lag_3h,22.948097229003906
f82,ta_range_168h,22.653860092163086
f375,ws_mean_6h,22.63983726501465
f109,rh_mean_12h,22.26386260986328
f149,vpd_range_72h,22.100692749023438
f373,ws_mean_3h,22.04936981201172
f170,sw_in_std_12h,21.93666648864746
f175,sw_in_mean_72h,21.936357498168945
f410,ws_rate_6h,21.62513542175293
f294,rh_rate_1h,21.393526077270508
f307,ppfd_in_rate_6h,21.371484756469727
f244,ppfd_in_range_168h,21.073436737060547
f286,ppfd_in_lag_2h,21.038928985595703
f228,ppfd_in_std_6h,20.987075805664062
f306,ppfd_in_rate_1h,20.80430793762207
f146,vpd_std_72h,20.79701042175293
f222,swc_shallow_min_720h,20.399028778076172
f74,ta_max_72h,20.385581970214844
f396,ws_max_336h,20.294137954711914
f360,precip_std_720h,20.25720977783203
f116,rh_std_72h,20.2508487701416
f391,ws_max_168h,20.242679595947266
f92,ta_std_336h,20.196210861206055
f206,swc_shallow_std_72h,20.128231048583984
f349,precip_mean_168h,20.056129455566406
f227,ppfd_in_mean_6h,19.98784637451172
f382,ws_std_48h,19.85450553894043
f354,precip_mean_336h,19.84017562866211
f171,sw_in_mean_24h,19.674352645874023
f387,ws_range_72h,19.531530380249023
f176,sw_in_std_72h,19.36555290222168
f283,swc_shallow_lag_12h,19.311246871948242
f114,rh_std_48h,19.269968032836914
f310,precip_cum_72h,19.156536102294922
f44,stand_height,19.004671096801758
f108,rh_std_6h,18.97318458557129
f302,sw_in_rate_24h,18.940580368041992
f388,ws_mean_168h,18.877498626708984
f408,ws_lag_24h,18.811786651611328
f405,ws_lag_3h,18.80678367614746
