feature_index,feature_name,description,category,importance_score
f54,stand_age,No description available,Unknown category,1598256.125
f102,latitude_abs,No description available,Unknown category,157427.921875
f45,mean_annual_temp,No description available,Unknown category,144279.6875
f270,ppfd_in_max_72h,No description available,Unknown category,53672.47265625
f7,ext_rad,No description available,Unknown category,50238.51953125
f263,ppfd_in_mean_24h,No description available,Unknown category,35638.30078125
f2,vpd,No description available,Unknown category,33854.18359375
f64,n_trees,No description available,Unknown category,32170.7734375
f42,temp_humidity_ratio,No description available,Unknown category,28327.947265625
f26,is_summer,No description available,Unknown category,21318.8515625
f44,water_stress_index,No description available,Unknown category,20647.4140625
f18,month_cos,No description available,Unknown category,18660.84375
f110,tree_volume_index,No description available,Unknown category,17161.861328125
f1,rh,No description available,Unknown category,16436.0703125
f370,basal_area,No description available,Unknown category,14478.1640625
f38,vpd_ppfd_interaction,No description available,Unknown category,14465.126953125
f40,vpd_ta_interaction,No description available,Unknown category,14381.36328125
f173,sw_in_mean_24h,No description available,Unknown category,14319.6962890625
f41,longitude,No description available,Unknown category,13465.486328125
f358,igbp_class_code,No description available,Unknown category,12068.095703125
f98,rh_mean_3h,No description available,Unknown category,10805.3134765625
f56,stomatal_control_index,No description available,Unknown category,10520.8115234375
f39,latitude,No description available,Unknown category,10244.716796875
f101,pl_sapw_depth,No description available,Unknown category,9867.279296875
f372,leaf_area_index,No description available,Unknown category,9762.0888671875
f371,tree_density,No description available,Unknown category,8949.0732421875
f231,precip_mean_12h,No description available,Unknown category,8432.5830078125
f28,is_winter,No description available,Unknown category,7466.138671875
f337,vpd_rate_24h,No description available,Unknown category,7192.10693359375
f51,wind_vpd_interaction,No description available,Unknown category,6155.8525390625
f192,sw_in_mean_720h,No description available,Unknown category,6089.763671875
f100,pl_sapw_area,No description available,Unknown category,6087.57470703125
f34,solar_hour_cos,No description available,Unknown category,6078.97216796875
f94,pl_dbh,No description available,Unknown category,6044.8369140625
f8,hour,No description available,Unknown category,5942.740234375
f53,radiation_temp_interaction,No description available,Unknown category,5940.59521484375
f336,vpd_rate_6h,No description available,Unknown category,5797.4326171875
f6,ppfd_in,No description available,Unknown category,5562.43603515625
f340,sw_in_rate_24h,No description available,Unknown category,5454.07470703125
f95,pl_height,No description available,Unknown category,5390.05908203125
f289,ta_lag_3h,No description available,Unknown category,5282.681640625
f134,rh_min_720h,No description available,Unknown category,4813.39697265625
f349,ppfd_in_rate_24h,No description available,Unknown category,4803.775390625
f97,pl_bark_thick,No description available,Unknown category,4793.67236328125
f350,precip_cum_24h,No description available,Unknown category,4624.3017578125
f230,precip_std_6h,No description available,Unknown category,4205.92822265625
f224,ws_min_720h,No description available,Unknown category,4146.822265625
f363,tree_size_class_code,No description available,Unknown category,4137.0732421875
f229,precip_mean_6h,No description available,Unknown category,4125.9375
f43,elevation,No description available,Unknown category,4058.052978515625
f135,rh_max_720h,No description available,Unknown category,3771.076416015625
f57,soil_depth,No description available,Unknown category,3625.434326171875
f233,precip_mean_24h,No description available,Unknown category,3615.7236328125
f330,ta_rate_6h,No description available,Unknown category,3500.02294921875
f256,precip_range_720h,No description available,Unknown category,3489.950927734375
f23,is_afternoon,No description available,Unknown category,3410.038818359375
f139,vpd_mean_6h,No description available,Unknown category,3351.550048828125
f136,rh_range_720h,No description available,Unknown category,3304.425537109375
