feature_index,feature_name,importance
f13,stand_age,797555.5
f40,species_functional_group_code,134171.109375
f11,mean_annual_temp,62908.5859375
f31,tree_volume_index,20169.482421875
f45,basal_area,16203.517578125
f9,longitude,10936.8193359375
f7,ext_rad,9364.6298828125
f29,social_status_code,9314.8759765625
f24,latitude_abs,8581.736328125
f23,pl_sapw_depth,7685.3955078125
f8,latitude,7411.9169921875
f47,leaf_area_index,7179.36376953125
f22,pl_sapw_area,7154.16845703125
f46,tree_density,5382.609375
f2,vpd,4991.8759765625
f18,pl_dbh,4770.14892578125
f21,pl_bark_thick,4113.9189453125
f30,sapwood_leaf_ratio,4052.024658203125
f10,elevation,3604.775390625
f1,rh,3427.704833984375
f12,mean_annual_precip,3226.112548828125
f3,sw_in,2381.695556640625
f16,n_trees,2082.003662109375
f5,precip,1542.28173828125
f6,ppfd_in,1467.985595703125
f35,terrain_code,1457.630859375
f25,aridity_index,1405.6917724609375
f20,pl_leaf_area,1054.35986328125
f17,pl_age,1026.0928955078125
f0,ta,921.650146484375
f38,tree_size_class_code,785.770751953125
f28,igbp_code,650.32177734375
f4,ws,627.9315795898438
f41,swc_shallow,475.4989929199219
f19,pl_height,443.2171325683594
f15,soil_depth,432.3131103515625
f37,pl_social_code,355.19146728515625
f14,stand_height,286.5587463378906
f27,biome_code,124.90223693847656
