feature_index,feature_name,description,category,importance_score
f13,stand_age,No description available,Unknown category,797555.5
f40,species_functional_group_code,No description available,Unknown category,134171.109375
f11,mean_annual_temp,No description available,Unknown category,62908.5859375
f31,tree_volume_index,No description available,Unknown category,20169.482421875
f45,basal_area,No description available,Unknown category,16203.517578125
f9,longitude,No description available,Unknown category,10936.8193359375
f7,ext_rad,No description available,Unknown category,9364.6298828125
f29,social_status_code,No description available,Unknown category,9314.8759765625
f24,latitude_abs,No description available,Unknown category,8581.736328125
f23,pl_sapw_depth,No description available,Unknown category,7685.3955078125
f8,latitude,No description available,Unknown category,7411.9169921875
f47,leaf_area_index,No description available,Unknown category,7179.36376953125
f22,pl_sapw_area,No description available,Unknown category,7154.16845703125
f46,tree_density,No description available,Unknown category,5382.609375
f2,vpd,No description available,Unknown category,4991.8759765625
f18,pl_dbh,No description available,Unknown category,4770.14892578125
f21,pl_bark_thick,No description available,Unknown category,4113.9189453125
f30,sapwood_leaf_ratio,No description available,Unknown category,4052.024658203125
f10,elevation,No description available,Unknown category,3604.775390625
f1,rh,No description available,Unknown category,3427.704833984375
f12,mean_annual_precip,No description available,Unknown category,3226.112548828125
f3,sw_in,No description available,Unknown category,2381.695556640625
f16,n_trees,No description available,Unknown category,2082.003662109375
f5,precip,No description available,Unknown category,1542.28173828125
f6,ppfd_in,No description available,Unknown category,1467.985595703125
f35,terrain_code,No description available,Unknown category,1457.630859375
f25,aridity_index,No description available,Unknown category,1405.6917724609375
f20,pl_leaf_area,No description available,Unknown category,1054.35986328125
f17,pl_age,No description available,Unknown category,1026.0928955078125
f0,ta,No description available,Unknown category,921.650146484375
f38,tree_size_class_code,No description available,Unknown category,785.770751953125
f28,igbp_code,No description available,Unknown category,650.32177734375
f4,ws,No description available,Unknown category,627.9315795898438
f41,swc_shallow,No description available,Unknown category,475.4989929199219
f19,pl_height,No description available,Unknown category,443.2171325683594
f15,soil_depth,No description available,Unknown category,432.3131103515625
f37,pl_social_code,No description available,Unknown category,355.19146728515625
f14,stand_height,No description available,Unknown category,286.5587463378906
f27,biome_code,No description available,Unknown category,124.90223693847656
