feature_index,feature_name,description,category,importance_score
f8,ext_rad,No description available,Unknown category,139067.390625
f13,mean_annual_precip,No description available,Unknown category,31173.802734375
f28,pl_bark_thick,No description available,Unknown category,30349.01953125
f25,pl_dbh,No description available,Unknown category,27864.29296875
f29,pl_sapw_area,No description available,Unknown category,26855.84375
f0,ta,No description available,Unknown category,21419.8125
f10,longitude,No description available,Unknown category,19982.21484375
f30,pl_sapw_depth,No description available,Unknown category,18278.974609375
f19,clay_percentage,No description available,Unknown category,15815.6171875
f35,igbp_code,No description available,Unknown category,13976.568359375
f32,aridity_index,No description available,Unknown category,11402.2841796875
f12,mean_annual_temp,No description available,Unknown category,9095.865234375
f33,leaf_habit_code,No description available,Unknown category,8962.9072265625
f41,soil_texture_code,No description available,Unknown category,8555.982421875
f2,vpd,No description available,Unknown category,8393.2021484375
f23,n_trees,No description available,Unknown category,7663.1064453125
f20,sand_percentage,No description available,Unknown category,6130.72705078125
f45,tree_size_class_code,No description available,Unknown category,6082.75830078125
f17,stand_height,No description available,Unknown category,5858.45166015625
f6,precip,No description available,Unknown category,5581.7041015625
f43,growth_condition_code,No description available,Unknown category,5324.671875
f1,rh,No description available,Unknown category,5188.6962890625
f9,latitude,No description available,Unknown category,5133.17529296875
f31,latitude_abs,No description available,Unknown category,4980.2578125
f36,social_status_code,No description available,Unknown category,4167.9306640625
f21,silt_percentage,No description available,Unknown category,3349.314208984375
f16,tree_density,No description available,Unknown category,2965.21484375
f11,elevation,No description available,Unknown category,2467.841552734375
f44,pl_social_code,No description available,Unknown category,2346.545654296875
f15,basal_area,No description available,Unknown category,2314.531005859375
f4,ppfd_in,No description available,Unknown category,2279.65966796875
f42,terrain_code,No description available,Unknown category,2188.37744140625
f46,tree_age_class_code,No description available,Unknown category,2001.118408203125
f40,igbp_class_code,No description available,Unknown category,1735.8463134765625
f18,leaf_area_index,No description available,Unknown category,1729.5687255859375
f14,stand_age,No description available,Unknown category,1155.7559814453125
f22,soil_depth,No description available,Unknown category,1074.860107421875
f38,tree_volume_index,No description available,Unknown category,1073.0802001953125
f24,pl_age,No description available,Unknown category,985.8499755859375
f3,sw_in,No description available,Unknown category,914.1331787109375
f7,swc_shallow,No description available,Unknown category,601.9210205078125
f5,ws,No description available,Unknown category,556.0595092773438
f26,pl_height,No description available,Unknown category,405.9894714355469
f37,sapwood_leaf_ratio,No description available,Unknown category,372.27313232421875
f27,pl_leaf_area,No description available,Unknown category,254.9709014892578
