feature_index,feature_name,importance
f46,tree_density,158120.46875
f41,species_functional_group_code,103022.9453125
f7,longitude,81968.234375
f29,igbp_code,74542.4375
f8,elevation,50732.35546875
f47,leaf_area_index,36591.25390625
f11,stand_age,35350.01171875
f9,mean_annual_temp,24699.923828125
f39,tree_size_class_code,10312.2490234375
f35,soil_texture_code,9345.5751953125
f26,aridity_index,7712.2587890625
f12,stand_height,6779.39453125
f45,basal_area,6734.7197265625
f40,tree_age_class_code,5732.701171875
f5,ext_rad,5448.06396484375
f27,leaf_habit_code,5058.36572265625
f10,mean_annual_precip,4568.28125
f16,soil_depth,3821.58984375
f23,pl_sapw_area,3218.548095703125
f21,pl_leaf_area,3096.605224609375
f42,sw_in,2978.194091796875
f44,ppfd_in,2875.233642578125
f4,vpd,2665.178466796875
f31,sapwood_leaf_ratio,2613.037353515625
f38,pl_social_code,2576.251220703125
f24,pl_sapw_depth,2553.68994140625
f20,pl_height,2419.62744140625
f19,pl_dbh,2410.64404296875
f30,social_status_code,2388.221435546875
f14,sand_percentage,2349.136962890625
f32,tree_volume_index,2175.3994140625
f3,precip,1992.4521484375
f6,latitude,1967.49267578125
f22,pl_bark_thick,1858.739501953125
f34,igbp_class_code,1785.238525390625
f18,pl_age,1523.2967529296875
f17,n_trees,1483.1168212890625
f13,clay_percentage,1233.21728515625
f43,swc_shallow,1187.9278564453125
f0,ta,1165.416748046875
f15,silt_percentage,1155.8475341796875
f2,ws,1139.3980712890625
f1,rh,1035.45361328125
f25,latitude_abs,1008.3649291992188
f37,growth_condition_code,709.18701171875
f36,terrain_code,330.6849060058594
f28,biome_code,232.8555908203125
