feature_index,feature_name,importance
f7,ext_rad,57942.1484375
f19,stand_height,43389.453125
f46,leaf_habit_code,40248.6328125
f21,leaf_area_index,32406.310546875
f17,tree_density,24917.552734375
f61,species_functional_group_code,18597.55859375
f63,clay_percentage,17998.619140625
f54,igbp_class_code,16997.072265625
f33,stomatal_control_index,15389.294921875
f60,tree_age_class_code,12557.5908203125
f55,soil_texture_code,9993.345703125
f15,basal_area,9941.9677734375
f13,mean_annual_precip,7783.75732421875
f41,pl_bark_thick,6926.75390625
f24,soil_depth,6898.0078125
f30,radiation_temp_interaction,6836.693359375
f28,n_trees,6242.28955078125
f64,sand_percentage,5805.01220703125
f2,vpd,5081.79541015625
f45,aridity_index,4557.6123046875
f12,mean_annual_temp,4139.39013671875
f39,pl_height,4122.63134765625
f18,vpd_ppfd_interaction,3863.794189453125
f1,rh,3691.05908203125
f43,pl_sapw_depth,3194.259765625
f8,latitude,3129.3251953125
f65,silt_percentage,2962.5263671875
f37,pl_age,2924.780517578125
f40,pl_leaf_area,2791.829833984375
f42,pl_sapw_area,2748.899169921875
f38,pl_dbh,2683.535888671875
f20,vpd_ta_interaction,2651.2822265625
f9,longitude,2581.356201171875
f35,sapwood_leaf_ratio,2564.050048828125
f14,stand_age,2415.121826171875
f58,pl_social_code,2331.29638671875
f47,biome_code,2204.0986328125
f10,elevation,1896.275390625
f48,igbp_code,1839.85546875
f4,ppfd_in,1766.0196533203125
f50,tree_volume_index,1687.6234130859375
f49,social_status_code,1620.395751953125
f44,latitude_abs,1424.4049072265625
f27,temp_soil_interaction,1121.9071044921875
f57,growth_condition_code,1116.8624267578125
f23,temp_humidity_ratio,1079.497314453125
f62,swc_shallow,1055.4384765625
f22,stomatal_conductance_proxy,1038.8885498046875
f26,light_efficiency,1025.690185546875
f56,terrain_code,1006.4380493164062
f11,ppfd_efficiency,911.1100463867188
f3,sw_in,792.24462890625
f25,water_stress_index,750.9517822265625
f16,temp_deviation,677.2232055664062
f32,humidity_soil_interaction,670.8074340820312
f0,ta,629.0371704101562
f59,tree_size_class_code,576.4115600585938
f29,wind_vpd_interaction,513.7515258789062
f6,precip,507.74005126953125
f5,ws,372.3210144042969
f31,wind_stress,323.1921081542969
