feature_index,feature_name,description,category,importance_score
f11,mean_annual_temp,No description available,Unknown category,148353.734375
f40,species_functional_group_code,No description available,Unknown category,46525.140625
f24,latitude_abs,No description available,Unknown category,36816.7890625
f31,tree_volume_index,No description available,Unknown category,22248.01171875
f45,basal_area,No description available,Unknown category,18515.626953125
f29,social_status_code,No description available,Unknown category,16870.259765625
f44,silt_percentage,No description available,Unknown category,16216.072265625
f9,longitude,No description available,Unknown category,10954.626953125
f7,ext_rad,No description available,Unknown category,10715.28125
f43,sand_percentage,No description available,Unknown category,10136.740234375
f22,pl_sapw_area,No description available,Unknown category,8200.30859375
f23,pl_sapw_depth,No description available,Unknown category,7712.2158203125
f8,latitude,No description available,Unknown category,7536.08935546875
f47,leaf_area_index,No description available,Unknown category,6529.79833984375
f2,vpd,No description available,Unknown category,6026.2734375
f34,soil_texture_code,No description available,Unknown category,4387.748046875
f21,pl_bark_thick,No description available,Unknown category,4227.08349609375
f10,elevation,No description available,Unknown category,4050.78515625
f46,tree_density,No description available,Unknown category,3647.121337890625
f1,rh,No description available,Unknown category,2994.4365234375
f12,mean_annual_precip,No description available,Unknown category,2834.442626953125
f6,ppfd_in,No description available,Unknown category,2760.556884765625
f18,pl_dbh,No description available,Unknown category,2675.113037109375
f5,precip,No description available,Unknown category,2305.484619140625
f13,stand_age,No description available,Unknown category,2173.82666015625
f36,growth_condition_code,No description available,Unknown category,2006.8883056640625
f3,sw_in,No description available,Unknown category,1862.0367431640625
f20,pl_leaf_area,No description available,Unknown category,1768.090576171875
f33,igbp_class_code,No description available,Unknown category,1750.5172119140625
f25,aridity_index,No description available,Unknown category,1662.397216796875
f37,pl_social_code,No description available,Unknown category,1505.078125
f16,n_trees,No description available,Unknown category,1415.3419189453125
f28,igbp_code,No description available,Unknown category,1396.0089111328125
f30,sapwood_leaf_ratio,No description available,Unknown category,1221.6849365234375
f15,soil_depth,No description available,Unknown category,1036.7105712890625
f0,ta,No description available,Unknown category,873.0570678710938
f26,leaf_habit_code,No description available,Unknown category,696.4808349609375
f38,tree_size_class_code,No description available,Unknown category,691.060791015625
f17,pl_age,No description available,Unknown category,631.744384765625
f4,ws,No description available,Unknown category,620.4771728515625
f14,stand_height,No description available,Unknown category,620.1290893554688
f19,pl_height,No description available,Unknown category,568.3710327148438
f41,swc_shallow,No description available,Unknown category,445.5415954589844
f42,clay_percentage,No description available,Unknown category,355.6972351074219
f39,tree_age_class_code,No description available,Unknown category,263.0361328125
f35,terrain_code,No description available,Unknown category,184.85595703125
f27,biome_code,No description available,Unknown category,159.4088134765625
