feature_index,feature_name,description,category,importance_score
f43,aridity_index,No description available,Unknown category,292106.71875
f8,elevation,No description available,Unknown category,103157.7109375
f64,tree_density,No description available,Unknown category,19514.6796875
f65,leaf_area_index,No description available,Unknown category,17476.1875
f10,mean_annual_precip,No description available,Unknown category,14150.9169921875
f42,latitude_abs,No description available,Unknown category,7206.13330078125
f14,stand_height,No description available,Unknown category,6204.29052734375
f5,ext_rad,No description available,Unknown category,5704.6416015625
f9,mean_annual_temp,No description available,Unknown category,5592.64404296875
f57,tree_size_class_code,No description available,Unknown category,3062.7802734375
f39,pl_bark_thick,No description available,Unknown category,2815.038818359375
f53,soil_texture_code,No description available,Unknown category,2711.511962890625
f21,vpd_ta_interaction,No description available,Unknown category,2392.61474609375
f26,n_trees,No description available,Unknown category,2318.12939453125
f6,latitude,No description available,Unknown category,2113.20947265625
f47,social_status_code,No description available,Unknown category,2093.425537109375
f36,pl_dbh,No description available,Unknown category,2015.910400390625
f33,sapwood_leaf_ratio,No description available,Unknown category,1919.792236328125
f15,clay_percentage,No description available,Unknown category,1614.774658203125
f7,longitude,No description available,Unknown category,1588.486083984375
f17,sand_percentage,No description available,Unknown category,1582.168701171875
f40,pl_sapw_area,No description available,Unknown category,1573.28125
f4,vpd,No description available,Unknown category,1455.21728515625
f28,temp_soil_interaction,No description available,Unknown category,1429.9298095703125
f25,wind_vpd_interaction,No description available,Unknown category,1298.5638427734375
f41,pl_sapw_depth,No description available,Unknown category,1298.0458984375
f38,pl_leaf_area,No description available,Unknown category,1213.2130126953125
f23,temp_humidity_ratio,No description available,Unknown category,1165.8135986328125
f61,swc_shallow,No description available,Unknown category,1164.7552490234375
f2,ws,No description available,Unknown category,1085.8692626953125
f22,wind_stress,No description available,Unknown category,1024.21142578125
f35,pl_age,No description available,Unknown category,951.4715576171875
f1,rh,No description available,Unknown category,945.4620361328125
f37,pl_height,No description available,Unknown category,932.084228515625
f29,stomatal_control_index,No description available,Unknown category,876.0458984375
f13,temp_deviation,No description available,Unknown category,837.8578491210938
f24,water_stress_index,No description available,Unknown category,822.8372802734375
f12,stand_age,No description available,Unknown category,813.2353515625
f30,radiation_temp_interaction,No description available,Unknown category,735.752197265625
f18,vpd_ppfd_interaction,No description available,Unknown category,682.105712890625
f19,silt_percentage,No description available,Unknown category,679.7704467773438
f3,precip,No description available,Unknown category,662.4063720703125
f0,ta,No description available,Unknown category,629.7354736328125
f48,tree_volume_index,No description available,Unknown category,468.15570068359375
f56,pl_social_code,No description available,Unknown category,438.4137268066406
f62,ppfd_in,No description available,Unknown category,438.36474609375
f63,basal_area,No description available,Unknown category,395.3433837890625
f54,terrain_code,No description available,Unknown category,336.43896484375
f20,soil_depth,No description available,Unknown category,310.2266845703125
f27,light_efficiency,No description available,Unknown category,274.26092529296875
f55,growth_condition_code,No description available,Unknown category,273.5318603515625
f31,humidity_soil_interaction,No description available,Unknown category,262.16021728515625
f16,stomatal_conductance_proxy,No description available,Unknown category,230.60804748535156
f58,tree_age_class_code,No description available,Unknown category,224.50604248046875
f11,ppfd_efficiency,No description available,Unknown category,217.0757598876953
f46,igbp_code,No description available,Unknown category,199.653076171875
f60,sw_in,No description available,Unknown category,193.19886779785156
