feature_index,feature_name,description,category,importance_score
f98,latitude_abs,No description available,Unknown category,52581.54296875
f43,vpd_ppfd_interaction,No description available,Unknown category,42257.8828125
f64,stomatal_control_index,No description available,Unknown category,30419.99609375
f42,mean_annual_precip,No description available,Unknown category,9143.6318359375
f34,solar_hour_cos,No description available,Unknown category,9054.271484375
f44,vpd_ta_interaction,No description available,Unknown category,8564.05078125
f289,ppfd_in_range_720h,No description available,Unknown category,7102.33056640625
f37,latitude,No description available,Unknown category,5009.12060546875
f9,day_of_year,No description available,Unknown category,4856.349609375
f46,temp_humidity_ratio,No description available,Unknown category,4035.10400390625
f45,stand_age,No description available,Unknown category,3718.825439453125
f15,day_sin,No description available,Unknown category,3361.581787109375
f32,solar_day_of_year,No description available,Unknown category,3149.86865234375
f95,pl_bark_thick,No description available,Unknown category,3078.185302734375
f35,solar_day_sin,No description available,Unknown category,2913.584716796875
f288,ppfd_in_max_720h,No description available,Unknown category,2773.708984375
f103,ta_max_720h,No description available,Unknown category,2507.739501953125
f20,is_peak_sunlight,No description available,Unknown category,2414.836669921875
f366,tree_size_class_code,No description available,Unknown category,2256.476318359375
f38,longitude,No description available,Unknown category,2039.9561767578125
f61,n_trees,No description available,Unknown category,2031.482666015625
f96,pl_sapw_area,No description available,Unknown category,1972.1329345703125
f7,ext_rad,No description available,Unknown category,1857.66650390625
f41,mean_annual_temp,No description available,Unknown category,1586.7987060546875
f2,vpd,No description available,Unknown category,1583.7406005859375
f169,vpd_range_720h,No description available,Unknown category,1432.273681640625
f168,vpd_max_720h,No description available,Unknown category,1414.42041015625
f54,leaf_area_index,No description available,Unknown category,1334.59619140625
f27,is_autumn,No description available,Unknown category,1252.7418212890625
f47,basal_area,No description available,Unknown category,1129.9139404296875
f52,stand_height,No description available,Unknown category,1013.8314819335938
f260,ppfd_in_mean_3h,No description available,Unknown category,972.3302001953125
f410,swc_shallow_rate_6h,No description available,Unknown category,900.9496459960938
f97,pl_sapw_depth,No description available,Unknown category,837.3428344726562
f17,month_sin,No description available,Unknown category,836.4491577148438
f93,pl_height,No description available,Unknown category,823.0625
f49,water_stress_index,No description available,Unknown category,800.927734375
f340,vpd_rate_24h,No description available,Unknown category,796.9012451171875
f365,pl_social_code,No description available,Unknown category,778.6490478515625
f92,pl_dbh,No description available,Unknown category,723.6607055664062
f53,temp_soil_interaction,No description available,Unknown category,709.4569091796875
f25,is_spring,No description available,Unknown category,667.4581909179688
f172,sw_in_mean_6h,No description available,Unknown category,654.9329223632812
f167,vpd_min_720h,No description available,Unknown category,634.2583618164062
f284,ppfd_in_range_336h,No description available,Unknown category,618.9370727539062
f55,wind_vpd_interaction,No description available,Unknown category,606.0133666992188
f18,month_cos,No description available,Unknown category,601.7763671875
f302,vpd_lag_1h,No description available,Unknown category,601.4671630859375
f262,ppfd_in_mean_6h,No description available,Unknown category,599.1550903320312
f13,hour_sin,No description available,Unknown category,598.7899780273438
f10,month,No description available,Unknown category,589.1768188476562
f367,tree_age_class_code,No description available,Unknown category,557.442626953125
f111,tree_volume_index,No description available,Unknown category,556.916259765625
f198,sw_in_max_720h,No description available,Unknown category,551.6737670898438
f196,sw_in_std_720h,No description available,Unknown category,549.63134765625
f170,sw_in_mean_3h,No description available,Unknown category,547.5438842773438
f11,year,No description available,Unknown category,534.9531860351562
f36,solar_day_cos,No description available,Unknown category,520.2293701171875
f395,swc_shallow_min_336h,No description available,Unknown category,499.9335632324219
f16,day_cos,No description available,Unknown category,497.4067077636719
f199,sw_in_range_720h,No description available,Unknown category,491.5885314941406
f401,swc_shallow_max_720h,No description available,Unknown category,486.2674865722656
f26,is_summer,No description available,Unknown category,482.8499755859375
f102,ta_min_720h,No description available,Unknown category,470.9297790527344
f91,pl_age,No description available,Unknown category,470.7955017089844
f30,hours_since_sunset,No description available,Unknown category,456.9156799316406
f400,swc_shallow_min_720h,No description available,Unknown category,453.00750732421875
f85,ta_range_168h,No description available,Unknown category,448.4905090332031
f286,ppfd_in_std_720h,No description available,Unknown category,447.44549560546875
f137,rh_min_720h,No description available,Unknown category,443.2223205566406
f326,ppfd_in_lag_1h,No description available,Unknown category,438.55401611328125
f174,sw_in_mean_12h,No description available,Unknown category,407.7361755371094
f109,rh_mean_3h,No description available,Unknown category,399.0619812011719
f31,solar_hour,No description available,Unknown category,393.37188720703125
f132,rh_min_336h,No description available,Unknown category,391.10906982421875
f33,solar_hour_sin,No description available,Unknown category,390.5880432128906
f229,ws_range_720h,No description available,Unknown category,387.9911193847656
f140,vpd_mean_3h,No description available,Unknown category,366.258056640625
f291,ta_lag_2h,No description available,Unknown category,343.8523864746094
f327,ppfd_in_lag_2h,No description available,Unknown category,340.71014404296875
f228,ws_max_720h,No description available,Unknown category,339.201416015625
f163,vpd_max_336h,No description available,Unknown category,327.1428527832031
f134,rh_range_336h,No description available,Unknown category,323.2579345703125
f393,swc_shallow_mean_336h,No description available,Unknown category,318.824462890625
f377,swc_shallow_mean_12h,No description available,Unknown category,313.4070129394531
f59,humidity_soil_interaction,No description available,Unknown category,307.76690673828125
f398,swc_shallow_mean_720h,No description available,Unknown category,307.2335510253906
f227,ws_min_720h,No description available,Unknown category,306.3489685058594
f376,swc_shallow_std_6h,No description available,Unknown category,301.648681640625
f29,hours_since_sunrise,No description available,Unknown category,296.1003112792969
f8,hour,No description available,Unknown category,295.0317077636719
f283,ppfd_in_max_336h,No description available,Unknown category,294.2182922363281
f385,swc_shallow_min_72h,No description available,Unknown category,292.698974609375
f104,ta_range_720h,No description available,Unknown category,286.1668701171875
f88,ta_min_336h,No description available,Unknown category,280.24542236328125
f39,elevation,No description available,Unknown category,278.0711669921875
f99,ta_mean_720h,No description available,Unknown category,274.43524169921875
