feature_index,feature_name,importance
f54,stand_age,2755470.25
f34,solar_hour_cos,110152.7109375
f93,pl_age,45683.94140625
f18,month_cos,44178.5390625
f263,ppfd_in_mean_24h,31375.220703125
f43,elevation,30813.2421875
f42,temp_humidity_ratio,29325.87109375
f45,mean_annual_temp,29193.65625
f364,tree_age_class_code,26808.658203125
f2,vpd,26807.263671875
f173,sw_in_mean_24h,26509.091796875
f1,rh,23384.564453125
f7,ext_rad,22329.283203125
f38,vpd_ppfd_interaction,20076.783203125
f372,leaf_area_index,18888.53515625
f371,tree_density,18032.365234375
f110,tree_volume_index,15313.314453125
f37,ppfd_efficiency,14584.91015625
f41,longitude,13173.5908203125
f26,is_summer,13170.365234375
f56,stomatal_control_index,12298.2294921875
f358,igbp_class_code,11961.7216796875
f40,vpd_ta_interaction,11655.2255859375
f98,rh_mean_3h,11232.7529296875
f231,precip_mean_12h,11106.6259765625
f370,basal_area,10442.1728515625
f101,pl_sapw_depth,9935.0078125
f53,radiation_temp_interaction,9660.7470703125
f348,ppfd_in_rate_6h,8644.3935546875
f64,n_trees,8595.875
f94,pl_dbh,8468.5068359375
f95,pl_height,7496.234375
f49,light_efficiency,7048.951171875
f97,pl_bark_thick,6581.31787109375
f51,wind_vpd_interaction,6555.271484375
f100,pl_sapw_area,6509.72705078125
f137,vpd_mean_3h,6099.52587890625
f28,is_winter,5829.75
f257,ppfd_in_mean_3h,5410.830078125
f337,vpd_rate_24h,5385.1904296875
f46,mean_annual_precip,5333.12548828125
f39,latitude,5180.6435546875
f192,sw_in_mean_720h,5007.96435546875
f8,hour,4963.02587890625
f136,rh_range_720h,4832.32421875
f283,ppfd_in_std_720h,4830.5458984375
f365,species_functional_group_code,4786.43798828125
f135,rh_max_720h,4737.04248046875
f36,solar_day_cos,4608.2783203125
f174,sw_in_std_24h,4525.880859375
f363,tree_size_class_code,4371.8173828125
f336,vpd_rate_6h,3978.9912109375
f134,rh_min_720h,3967.00830078125
f27,is_autumn,3933.86865234375
f362,pl_social_code,3893.65380859375
f330,ta_rate_6h,3849.71923828125
f323,ppfd_in_lag_1h,3816.875
f233,precip_mean_24h,3662.79150390625
f224,ws_min_720h,3632.798828125
f229,precip_mean_6h,3535.047607421875
f225,ws_max_720h,3526.372802734375
f340,sw_in_rate_24h,3482.813720703125
f139,vpd_mean_6h,3429.317138671875
f11,year,3271.62890625
f256,precip_range_720h,3229.336669921875
f16,day_cos,3018.58837890625
f339,sw_in_rate_6h,3000.010009765625
f180,sw_in_max_72h,2989.567626953125
f222,ws_mean_720h,2979.80908203125
f23,is_afternoon,2944.80419921875
f329,ta_rate_1h,2926.9853515625
f361,growth_condition_code,2815.33984375
f194,sw_in_min_720h,2731.861328125
f3,sw_in,2662.757568359375
f350,precip_cum_24h,2647.33203125
f196,sw_in_range_720h,2639.67236328125
f91,ta_max_720h,2601.226318359375
f25,is_spring,2589.88232421875
f29,hours_since_sunrise,2560.535888671875
f310,sw_in_lag_24h,2547.575439453125
f165,vpd_max_720h,2465.787353515625
f10,month,2435.77490234375
f48,stomatal_conductance_proxy,2405.4609375
f44,water_stress_index,2400.12353515625
f166,vpd_range_720h,2378.86767578125
f282,ppfd_in_mean_720h,2361.814208984375
f31,solar_hour,2271.16162109375
f241,precip_range_72h,2268.268310546875
f255,precip_max_720h,2249.15869140625
f186,sw_in_range_168h,2166.1181640625
f193,sw_in_std_720h,2047.6883544921875
f223,ws_std_720h,2036.43798828125
f17,month_sin,2011.1917724609375
f289,ta_lag_3h,1980.51171875
f226,ws_range_720h,1948.7469482421875
f21,is_weekend,1941.6068115234375
f230,precip_std_6h,1908.76611328125
f132,rh_mean_720h,1833.576904296875
f14,hour_cos,1798.6322021484375
f169,sw_in_mean_6h,1761.0699462890625
f190,sw_in_max_336h,1747.4903564453125
f106,rh_mean_6h,1744.251220703125
f159,vpd_min_336h,1735.081787109375
f102,latitude_abs,1707.0679931640625
f386,swc_shallow_max_72h,1681.1429443359375
f77,ta_range_72h,1658.912841796875
f130,rh_max_336h,1650.4583740234375
f218,ws_std_336h,1649.079345703125
f383,swc_shallow_mean_72h,1635.2696533203125
f62,sapwood_leaf_ratio,1629.59326171875
f164,vpd_min_720h,1617.1405029296875
f32,solar_day_of_year,1607.916015625
f232,precip_std_12h,1606.1741943359375
f185,sw_in_max_168h,1590.4156494140625
f299,vpd_lag_1h,1579.354248046875
f35,solar_day_sin,1568.0252685546875
f250,precip_max_336h,1502.419189453125
f195,sw_in_max_720h,1500.4141845703125
f221,ws_range_336h,1437.852294921875
f9,day_of_year,1427.3583984375
f90,ta_min_720h,1426.635009765625
f182,sw_in_mean_168h,1414.9930419921875
f380,swc_shallow_std_24h,1413.115966796875
f354,sw_in_cum_72h,1396.9600830078125
f217,ws_mean_336h,1373.6287841796875
f141,vpd_mean_12h,1371.61474609375
f253,precip_std_720h,1368.09228515625
f264,ppfd_in_std_24h,1364.249267578125
f306,sw_in_lag_2h,1360.824462890625
f260,ppfd_in_std_6h,1351.006591796875
f400,swc_shallow_min_720h,1347.27587890625
f154,vpd_min_168h,1338.0030517578125
f15,day_sin,1326.442626953125
f133,rh_std_720h,1319.5465087890625
f366,swc_shallow,1244.993896484375
f86,ta_max_336h,1238.869873046875
f334,rh_rate_24h,1226.724365234375
f395,swc_shallow_min_336h,1209.0601806640625
f163,vpd_std_720h,1205.0418701171875
f293,rh_lag_1h,1203.7314453125
f277,ppfd_in_mean_336h,1200.6739501953125
f20,is_peak_sunlight,1198.72607421875
f216,ws_range_168h,1174.245849609375
f379,swc_shallow_mean_24h,1165.6197509765625
f252,precip_mean_720h,1136.8321533203125
f92,ta_range_720h,1128.52099609375
f50,temp_soil_interaction,1124.1881103515625
f143,vpd_mean_24h,1118.5908203125
f259,ppfd_in_mean_6h,1096.598388671875
f168,sw_in_std_3h,1094.1197509765625
f273,ppfd_in_std_168h,1077.97021484375
f385,swc_shallow_min_72h,1067.6483154296875
f55,stand_height,1066.459228515625
f157,vpd_mean_336h,1062.15478515625
f398,swc_shallow_mean_720h,1042.54345703125
f170,sw_in_std_6h,1034.8411865234375
f125,rh_max_168h,1033.1025390625
f124,rh_min_168h,1019.0986938476562
f138,vpd_std_3h,1010.9484252929688
f57,soil_depth,1009.6986083984375
f399,swc_shallow_std_720h,1008.3963012695312
f160,vpd_max_336h,1006.9974975585938
f126,rh_range_168h,986.9385986328125
f150,vpd_max_72h,974.1007080078125
f167,sw_in_mean_3h,972.5479736328125
f103,aridity_index,957.2129516601562
f188,sw_in_std_336h,952.763427734375
f33,solar_hour_sin,942.6627197265625
f287,ta_lag_1h,942.5960083007812
f85,ta_min_336h,938.2592163085938
f12,day_of_week,936.0301513671875
f30,hours_since_sunset,933.9937133789062
f245,precip_max_168h,930.85498046875
f234,precip_std_24h,927.0419311523438
f246,precip_range_168h,923.5478515625
f113,rh_mean_24h,923.5256958007812
f127,rh_mean_336h,922.0546264648438
f335,vpd_rate_1h,909.4061279296875
f407,swc_shallow_lag_12h,888.413330078125
f68,ta_std_12h,884.7927856445312
f13,hour_sin,882.8436279296875
f162,vpd_mean_720h,877.8248901367188
f278,ppfd_in_std_336h,874.2174682617188
f247,precip_mean_336h,861.86572265625
f128,rh_std_336h,850.7579956054688
f88,ta_mean_720h,846.583740234375
f220,ws_max_336h,845.226806640625
f403,swc_shallow_lag_1h,845.0166625976562
f129,rh_min_336h,844.3517456054688
f397,swc_shallow_range_336h,830.9884643554688
f179,sw_in_min_72h,825.8530883789062
f266,ppfd_in_std_48h,824.0228881835938
f305,sw_in_lag_1h,799.4423217773438
f116,rh_std_48h,797.694091796875
f75,ta_min_72h,792.8103637695312
f111,rh_mean_12h,789.2030639648438
f401,swc_shallow_max_720h,787.447021484375
f156,vpd_range_168h,771.3274536132812
f269,ppfd_in_min_72h,763.5518188476562
f290,ta_lag_6h,753.942138671875
f328,ppfd_in_lag_24h,749.0327758789062
f152,vpd_mean_168h,742.712646484375
f87,ta_range_336h,736.8203735351562
f214,ws_min_168h,733.3147583007812
f70,ta_std_24h,727.4069213867188
f161,vpd_range_336h,704.0647583007812
f262,ppfd_in_std_12h,698.1624755859375
f122,rh_mean_168h,697.700927734375
f377,swc_shallow_mean_12h,695.233154296875
f187,sw_in_mean_336h,693.2855224609375
f378,swc_shallow_std_12h,691.4827270507812
f119,rh_min_72h,683.1552124023438
f145,vpd_mean_48h,678.915283203125
f120,rh_max_72h,674.9168701171875
f390,swc_shallow_min_168h,674.824951171875
f171,sw_in_mean_12h,672.888671875
f288,ta_lag_2h,667.5724487304688
f284,ppfd_in_min_720h,666.5570678710938
f176,sw_in_std_48h,663.5406494140625
f236,precip_std_48h,661.3621826171875
f96,pl_leaf_area,660.2401123046875
f396,swc_shallow_max_336h,659.1571044921875
f210,ws_max_72h,657.1900634765625
f60,ta_std_3h,656.35400390625
f81,ta_max_168h,655.4263305664062
f73,ta_mean_72h,651.4611206054688
f58,humidity_soil_interaction,642.9679565429688
f158,vpd_std_336h,634.8665771484375
f147,vpd_mean_72h,631.4046630859375
f212,ws_mean_168h,629.6704711914062
f121,rh_range_72h,626.9868774414062
f276,ppfd_in_range_168h,626.2490234375
f191,sw_in_range_336h,624.6161499023438
f353,sw_in_cum_24h,619.5999145507812
f83,ta_mean_336h,616.1765747070312
f151,vpd_range_72h,613.4979858398438
f295,rh_lag_3h,613.2315673828125
f327,ppfd_in_lag_12h,608.7822875976562
f215,ws_max_168h,606.0547485351562
f76,ta_max_72h,604.7384643554688
f297,rh_lag_12h,602.8377075195312
f71,ta_mean_48h,600.2973022460938
f59,ta_mean_3h,590.19384765625
f279,ppfd_in_min_336h,586.0775146484375
f302,vpd_lag_6h,583.670166015625
f146,vpd_std_48h,582.3655395507812
f268,ppfd_in_std_72h,581.8343505859375
f404,swc_shallow_lag_2h,576.4801025390625
f309,sw_in_lag_12h,575.0457763671875
f142,vpd_std_12h,574.4957885742188
f265,ppfd_in_mean_48h,573.8673706054688
f242,precip_mean_168h,569.4545288085938
f347,ppfd_in_rate_1h,564.3998413085938
f338,sw_in_rate_1h,558.7783203125
f153,vpd_std_168h,554.860595703125
f65,ta_mean_6h,551.2996215820312
f237,precip_mean_72h,550.9111938476562
f84,ta_std_336h,550.7142333984375
f240,precip_max_72h,549.0647583007812
f80,ta_min_168h,547.9603881835938
f352,precip_cum_168h,545.8273315429688
f304,vpd_lag_24h,543.166259765625
f114,rh_std_24h,542.4116821289062
f402,swc_shallow_range_720h,536.0611572265625
f331,ta_rate_24h,519.8440551757812
f67,ta_mean_12h,518.9297485351562
f199,ws_mean_6h,518.7847290039062
f248,precip_std_336h,504.4631652832031
f144,vpd_std_24h,499.75189208984375
f291,ta_lag_12h,496.3807373046875
f78,ta_mean_168h,493.1484680175781
f123,rh_std_168h,491.3222961425781
f149,vpd_min_72h,488.9793701171875
f82,ta_range_168h,485.64971923828125
f294,rh_lag_2h,475.3981018066406
f393,swc_shallow_mean_336h,471.1329650878906
f140,vpd_std_6h,471.0579833984375
f205,ws_mean_48h,468.1787414550781
f184,sw_in_min_168h,466.9156494140625
f72,ta_std_48h,466.80816650390625
f69,ta_mean_24h,457.8095397949219
f178,sw_in_std_72h,455.0355224609375
f89,ta_std_720h,454.29473876953125
f177,sw_in_mean_72h,453.7578430175781
f374,swc_shallow_std_3h,453.1868591308594
f388,swc_shallow_mean_168h,449.4255676269531
f292,ta_lag_24h,447.69598388671875
f405,swc_shallow_lag_3h,445.51226806640625
f131,rh_range_336h,439.576904296875
f301,vpd_lag_3h,438.63995361328125
f47,temp_deviation,437.5645446777344
f206,ws_std_48h,437.36114501953125
f303,vpd_lag_12h,434.84234619140625
f274,ppfd_in_min_168h,429.4037170410156
f211,ws_range_72h,426.4951171875
f394,swc_shallow_std_336h,422.0719909667969
f79,ta_std_168h,420.9590759277344
f148,vpd_std_72h,420.3884582519531
f117,rh_mean_72h,419.0481262207031
f391,swc_shallow_max_168h,418.0920715332031
f112,rh_std_12h,417.4857482910156
f183,sw_in_std_168h,416.228515625
f375,swc_shallow_mean_6h,413.4569091796875
f66,ta_std_6h,412.7426452636719
f298,rh_lag_24h,412.369140625
f197,ws_mean_3h,410.1995849609375
f272,ppfd_in_mean_168h,399.0194396972656
f107,rh_std_6h,397.7437744140625
f360,terrain_code,397.1855163574219
f351,precip_cum_72h,395.40130615234375
f300,vpd_lag_2h,395.0204772949219
f373,swc_shallow_mean_3h,391.8977966308594
f389,swc_shallow_std_168h,387.7326965332031
f181,sw_in_range_72h,387.1082458496094
f115,rh_mean_48h,385.67608642578125
f207,ws_mean_72h,377.81768798828125
f118,rh_std_72h,376.8843078613281
f408,swc_shallow_lag_24h,376.6869812011719
f155,vpd_max_168h,376.6580505371094
f307,sw_in_lag_3h,374.10638427734375
f324,ppfd_in_lag_2h,373.9664001464844
f203,ws_mean_24h,371.89703369140625
f381,swc_shallow_mean_48h,370.26177978515625
f189,sw_in_min_336h,366.12255859375
f74,ta_std_72h,361.68695068359375
f296,rh_lag_6h,358.3233947753906
f243,precip_std_168h,350.6101989746094
f410,swc_shallow_rate_6h,336.5471496582031
f213,ws_std_168h,323.75726318359375
f261,ppfd_in_mean_12h,321.6232604980469
f333,rh_rate_6h,321.18524169921875
f219,ws_min_336h,320.9607238769531
f201,ws_mean_12h,317.85595703125
f275,ppfd_in_max_168h,314.72467041015625
f267,ppfd_in_mean_72h,312.0824890136719
f209,ws_min_72h,311.70501708984375
f349,ppfd_in_rate_24h,295.07672119140625
f332,rh_rate_1h,292.8399658203125
f228,precip_std_3h,291.8341979980469
f376,swc_shallow_std_6h,287.013916015625
f411,swc_shallow_rate_24h,276.5155944824219
f99,rh_std_3h,275.14141845703125
f258,ppfd_in_std_3h,266.2823181152344
f308,sw_in_lag_6h,262.9014587402344
f202,ws_std_12h,258.43621826171875
f316,ws_lag_24h,253.4878387451172
f409,swc_shallow_rate_1h,253.13011169433594
f208,ws_std_72h,244.27734375
f175,sw_in_mean_48h,243.06163024902344
f172,sw_in_std_12h,238.49746704101562
f204,ws_std_24h,235.9506378173828
f343,ws_rate_24h,227.75279235839844
f384,swc_shallow_std_72h,223.89718627929688
f321,precip_lag_12h,221.87864685058594
f387,swc_shallow_range_72h,219.8764190673828
f52,wind_stress,219.728271484375
f281,ppfd_in_range_336h,219.46234130859375
f235,precip_mean_48h,215.16943359375
f311,ws_lag_1h,205.33013916015625
f6,ppfd_in,204.29689025878906
f22,is_morning,203.4980926513672
f392,swc_shallow_range_168h,200.78045654296875
f342,ws_rate_6h,193.59510803222656
f286,ppfd_in_range_720h,188.90817260742188
f238,precip_std_72h,187.8972625732422
f200,ws_std_6h,175.3203582763672
f322,precip_lag_24h,175.31912231445312
f382,swc_shallow_std_48h,173.58212280273438
f251,precip_range_336h,170.47300720214844
f315,ws_lag_12h,165.61117553710938
f0,ta,164.0436248779297
f280,ppfd_in_max_336h,162.99716186523438
f326,ppfd_in_lag_6h,158.60009765625
f325,ppfd_in_lag_3h,157.4954071044922
f227,precip_mean_3h,153.1619110107422
f312,ws_lag_2h,151.8093719482422
f198,ws_std_3h,148.37594604492188
f285,ppfd_in_max_720h,147.77328491210938
f317,precip_lag_1h,144.41685485839844
f4,ws,143.48257446289062
f344,precip_rate_1h,128.04844665527344
f346,precip_rate_24h,126.53970336914062
f406,swc_shallow_lag_6h,124.60249328613281
f319,precip_lag_3h,122.37761688232422
f345,precip_rate_6h,120.47193145751953
f314,ws_lag_6h,111.61238098144531
f109,social_status_code,103.09899139404297
f313,ws_lag_3h,86.88195037841797
f341,ws_rate_1h,77.06146240234375
f5,precip,68.796630859375
f318,precip_lag_2h,60.650943756103516
f320,precip_lag_6h,42.572696685791016
f271,ppfd_in_range_72h,41.834075927734375
f19,is_daylight,23.778156280517578
