feature_index,feature_name,importance
f13,stand_age,1147769.25
f27,biome_code,941264.0
f10,elevation,22865.791015625
f31,tree_volume_index,19249.548828125
f47,leaf_area_index,18234.630859375
f45,basal_area,12679.9033203125
f16,n_trees,10999.8330078125
f29,social_status_code,10942.6513671875
f22,pl_sapw_area,9823.0478515625
f7,ext_rad,9397.51171875
f11,mean_annual_temp,8843.6708984375
f24,latitude_abs,8445.4619140625
f18,pl_dbh,7835.95947265625
f23,pl_sapw_depth,6966.14306640625
f9,longitude,6623.79931640625
f17,pl_age,4734.40869140625
f46,tree_density,4438.33837890625
f1,rh,4367.01806640625
f2,vpd,4026.021240234375
f19,pl_height,3852.97998046875
f21,pl_bark_thick,3581.201171875
f3,sw_in,3083.328125
f12,mean_annual_precip,3017.34130859375
f8,latitude,2894.44970703125
f37,pl_social_code,2820.365234375
f6,ppfd_in,1773.5762939453125
f5,precip,1330.986572265625
f25,aridity_index,1220.12158203125
f0,ta,1079.5771484375
f38,tree_size_class_code,1041.5206298828125
f20,pl_leaf_area,961.6541748046875
f4,ws,622.1697387695312
f40,species_functional_group_code,503.6337890625
f41,swc_shallow,478.2451477050781
f35,terrain_code,429.3125
f15,soil_depth,362.9278564453125
f30,sapwood_leaf_ratio,345.9417419433594
f14,stand_height,320.41754150390625
