feature_index,feature_name,importance
f62,basal_area,46517.1796875
f9,elevation,15324.470703125
f42,igbp_code,14359.23828125
f5,ext_rad,8417.6044921875
f10,mean_annual_temp,5765.72412109375
f17,stand_age,5371.880859375
f11,mean_annual_precip,5323.38427734375
f25,n_trees,4408.3193359375
f64,leaf_area_index,4275.66552734375
f55,species_functional_group_code,3407.9296875
f20,stand_height,2593.89990234375
f12,vpd_ppfd_interaction,2170.24609375
f53,tree_size_class_code,2083.95654296875
f7,latitude,2064.8583984375
f37,pl_sapw_depth,1887.6524658203125
f54,tree_age_class_code,1871.22021484375
f34,pl_leaf_area,1627.94873046875
f49,soil_texture_code,1451.3065185546875
f8,longitude,1407.7196044921875
f36,pl_sapw_area,1304.3330078125
f33,pl_height,1303.8502197265625
f56,rh,1273.3179931640625
f18,temp_soil_interaction,993.2831420898438
f35,pl_bark_thick,973.87744140625
f44,tree_volume_index,912.1731567382812
f32,pl_dbh,877.5271606445312
f31,pl_age,834.2029418945312
f22,radiation_temp_interaction,822.5925903320312
f13,vpd_ta_interaction,806.9880981445312
f57,vpd,782.8245849609375
f27,stomatal_control_index,746.2914428710938
f43,social_status_code,641.5823364257812
f58,swc_shallow,530.4271240234375
f59,clay_percentage,467.18572998046875
f52,pl_social_code,394.711669921875
f4,sw_in,309.43511962890625
f15,water_stress_index,288.0382080078125
f29,sapwood_leaf_ratio,282.6626892089844
f1,ppfd_in,268.3416442871094
f6,ppfd_efficiency,266.34814453125
f60,sand_percentage,252.56332397460938
f16,light_efficiency,237.7943572998047
f23,humidity_soil_interaction,217.89605712890625
f0,ta,188.04544067382812
f19,temp_deviation,184.651611328125
f14,temp_humidity_ratio,182.2069091796875
f21,wind_vpd_interaction,176.42469787597656
f24,stomatal_conductance_proxy,173.28125
f50,terrain_code,157.18878173828125
f2,ws,107.86837768554688
f26,wind_stress,96.81878662109375
f39,aridity_index,45.61116409301758
f3,precip,40.328304290771484
