feature_index,feature_name,importance
f11,mean_annual_temp,129350.890625
f24,latitude_abs,27942.037109375
f45,basal_area,23425.7109375
f44,silt_percentage,21870.890625
f31,tree_volume_index,17405.580078125
f40,species_functional_group_code,16920.677734375
f7,ext_rad,10380.0283203125
f9,longitude,8543.546875
f26,leaf_habit_code,8074.82177734375
f22,pl_sapw_area,7200.4599609375
f23,pl_sapw_depth,6525.41845703125
f8,latitude,6342.25390625
f47,leaf_area_index,5790.80908203125
f43,sand_percentage,5522.2607421875
f2,vpd,5466.61865234375
f34,soil_texture_code,5349.2412109375
f29,social_status_code,5314.0693359375
f21,pl_bark_thick,4738.13232421875
f37,pl_social_code,4731.86474609375
f10,elevation,4114.515625
f14,stand_height,4047.906494140625
f12,mean_annual_precip,3903.8564453125
f18,pl_dbh,3699.583740234375
f1,rh,3330.07421875
f46,tree_density,3154.263916015625
f6,ppfd_in,2922.4072265625
f27,biome_code,2612.130859375
f3,sw_in,2419.38134765625
f35,terrain_code,2156.300048828125
f5,precip,2011.574462890625
f20,pl_leaf_area,1864.1370849609375
f13,stand_age,1493.4947509765625
f15,soil_depth,1337.4835205078125
f25,aridity_index,1134.3436279296875
f30,sapwood_leaf_ratio,1003.1911010742188
f16,n_trees,955.022216796875
f38,tree_size_class_code,951.7207641601562
f0,ta,894.40869140625
f17,pl_age,772.6951904296875
f33,igbp_class_code,660.0966796875
f4,ws,653.1779174804688
f19,pl_height,648.6786499023438
f41,swc_shallow,421.99114990234375
f39,tree_age_class_code,276.46337890625
f28,igbp_code,255.2675018310547
f36,growth_condition_code,171.5343475341797
f42,clay_percentage,128.2003173828125
