feature_index,feature_name,importance
f158,sw_in_max_72h,11836.6279296875
f226,pl_species_code,10300.2158203125
f228,seasonal_precip_range,7117.91552734375
f253,f253,4661.7900390625
f232,clay_percentage,4291.1416015625
f225,species_functional_group_code,4002.993896484375
f220,terrain_code,2924.452392578125
f251,f251,2230.118896484375
f24,is_peak_sunlight,2154.887939453125
f234,silt_percentage,1649.46875
f165,sw_in_range_336h,1556.85302734375
f242,temp_soil_interaction,1551.8018798828125
f21,solar_day_sin,1376.97265625
f2,ws,1353.9703369140625
f173,ta_max_336h,1200.1998291015625
f6,hour,1107.5904541015625
f155,light_efficiency,1100.540771484375
f244,humidity_soil_interaction,828.2930297851562
f120,vpd_lag_2h,750.2723388671875
f23,is_daylight,687.8390502929688
f5,ext_rad,678.1289672851562
f233,sand_percentage,562.0210571289062
f168,ta_range_72h,557.9600219726562
f37,ta_mean_6h,497.9254150390625
f238,vpd_ppfd_interaction,482.805908203125
f22,solar_day_cos,481.886474609375
f18,solar_day_of_year,462.115966796875
f34,hours_since_sunset,454.75726318359375
f183,precip_cum_168h,449.85894775390625
f171,ta_range_168h,440.9873046875
f214,tree_volume_index,437.4925231933594
f12,hour_cos,415.4153137207031
f200,pl_dbh,411.4776916503906
f56,vpd_std_6h,394.7667541503906
f10,day_of_week,392.3512878417969
f20,solar_hour_cos,382.1209411621094
f70,vpd_std_720h,360.29876708984375
f14,day_cos,354.058349609375
f227,seasonal_temp_range,353.91455078125
f248,f248,333.885498046875
f174,ta_range_336h,325.8976745605469
f252,f252,311.0859680175781
f191,elevation,308.0150146484375
f224,tree_age_class_code,302.5938415527344
f247,f247,283.74102783203125
f236,tree_density,283.11505126953125
f28,is_night,279.688720703125
f17,solar_hour,279.28460693359375
f26,is_morning,278.62969970703125
f25,is_weekend,276.4639587402344
f172,ta_min_336h,267.2535400390625
f235,basal_area,259.1659240722656
f243,wind_vpd_interaction,250.12493896484375
f35,ta_mean_3h,247.37733459472656
f204,pl_sapw_area,246.71238708496094
f15,month_sin,245.94998168945312
f175,sw_in_rate_1h,245.906005859375
f54,vpd_std_3h,244.54580688476562
f33,hours_since_sunrise,231.52127075195312
f205,pl_sapw_depth,224.6007080078125
f245,soil_depth,223.68553161621094
f118,rh_lag_24h,216.5546417236328
f188,wind_stress,214.1753387451172
f208,aridity_index,210.8546600341797
f92,rh_std_6h,205.782470703125
f8,month,199.56898498535156
f72,sw_in_std_3h,197.6951904296875
f179,ta_rate_6h,194.53097534179688
f19,solar_hour_sin,179.66819763183594
f184,sw_in_cum_24h,175.73721313476562
f152,ppfd_in_lag_6h,174.08924865722656
f95,rh_mean_24h,171.76878356933594
f249,f249,171.6158447265625
f241,water_stress_index,170.79522705078125
f192,mean_annual_temp,163.3920135498047
f258,f258,162.0396270751953
f261,f261,158.9212646484375
f29,is_spring,156.4324951171875
f256,f256,154.50558471679688
f68,vpd_std_336h,153.56361389160156
f160,sw_in_min_168h,151.18902587890625
f94,rh_std_12h,149.65524291992188
f90,rh_std_3h,145.5374298095703
f237,leaf_area_index,142.6791229248047
f110,ta_lag_6h,142.1051483154297
f180,ta_rate_24h,140.46337890625
f239,vpd_ta_interaction,140.35960388183594
f114,rh_lag_2h,139.1229705810547
f230,vpd,138.4209747314453
f106,rh_std_720h,136.1470184326172
f194,is_inside_country,133.6817169189453
f108,ta_lag_2h,133.44351196289062
f177,sw_in_rate_24h,132.950927734375
f16,month_cos,132.82945251464844
f71,sw_in_mean_3h,132.42662048339844
f27,is_afternoon,130.72154235839844
f197,n_trees,129.8466796875
f207,latitude_abs,129.47506713867188
f193,mean_annual_precip,126.98287963867188
f222,pl_social_code,126.17142486572266
f223,tree_size_class_code,124.54507446289062
f181,precip_cum_24h,124.33686828613281
f198,measurement_timestep,120.9560317993164
f203,pl_bark_thick,120.3818588256836
f161,sw_in_max_168h,118.707763671875
f170,ta_max_168h,118.03018188476562
f166,ta_min_72h,117.80480194091797
f156,radiation_temp_interaction,115.08753967285156
f128,sw_in_lag_6h,114.39933013916016
f182,precip_cum_72h,114.10743713378906
f89,rh_mean_3h,112.91801452636719
