feature_index,feature_name,importance
f45,mean_annual_temp,277979.71875
f102,latitude_abs,104860.5703125
f359,soil_texture_code,63350.26171875
f7,ext_rad,56340.12109375
f42,temp_humidity_ratio,43687.19921875
f19,is_daylight,32893.51171875
f370,basal_area,31127.1484375
f2,vpd,30480.15625
f365,species_functional_group_code,26844.681640625
f110,tree_volume_index,20289.931640625
f49,light_efficiency,19828.111328125
f369,silt_percentage,19451.939453125
f39,latitude,16205.4345703125
f56,stomatal_control_index,14174.8251953125
f41,longitude,14138.2265625
f1,rh,13408.8203125
f233,precip_mean_24h,12928.2666015625
f34,solar_hour_cos,11940.7978515625
f98,rh_mean_3h,10493.8671875
f38,vpd_ppfd_interaction,10236.7744140625
f53,radiation_temp_interaction,10023.6318359375
f101,pl_sapw_depth,9070.7958984375
f44,water_stress_index,9013.17578125
f270,ppfd_in_max_72h,8899.4345703125
f18,month_cos,8248.6572265625
f264,ppfd_in_std_24h,7933.7548828125
f371,tree_density,6658.87646484375
f173,sw_in_mean_24h,6333.99072265625
f263,ppfd_in_mean_24h,6145.2587890625
f100,pl_sapw_area,6108.46484375
f336,vpd_rate_6h,6101.00537109375
f337,vpd_rate_24h,6039.06591796875
f229,precip_mean_6h,5834.51220703125
f360,terrain_code,5758.1474609375
f231,precip_mean_12h,5736.3505859375
f51,wind_vpd_interaction,5701.51904296875
f8,hour,5676.4970703125
f43,elevation,5499.400390625
f46,mean_annual_precip,5427.7275390625
f363,tree_size_class_code,5247.892578125
f255,precip_max_720h,5211.89404296875
f37,ppfd_efficiency,5182.27490234375
f97,pl_bark_thick,5112.763671875
f289,ta_lag_3h,4937.5615234375
f282,ppfd_in_mean_720h,4931.318359375
f299,vpd_lag_1h,4485.86083984375
f372,leaf_area_index,4269.5595703125
f40,vpd_ta_interaction,4208.93603515625
f11,year,4172.5361328125
f136,rh_range_720h,4170.0634765625
f234,precip_std_24h,3908.4228515625
f54,stand_age,3793.5439453125
f224,ws_min_720h,3775.150146484375
f16,day_cos,3774.634521484375
f226,ws_range_720h,3670.56396484375
f94,pl_dbh,3615.832275390625
f36,solar_day_cos,3573.22802734375
f139,vpd_mean_6h,3499.02880859375
f329,ta_rate_1h,3205.5859375
f256,precip_range_720h,3104.360107421875
f135,rh_max_720h,3079.1005859375
f23,is_afternoon,2918.91943359375
f192,sw_in_mean_720h,2817.3232421875
f6,ppfd_in,2793.094482421875
f96,pl_leaf_area,2790.4453125
f195,sw_in_max_720h,2752.906005859375
f27,is_autumn,2728.5654296875
f353,sw_in_cum_24h,2725.7763671875
f349,ppfd_in_rate_24h,2691.150634765625
f191,sw_in_range_336h,2658.27001953125
f90,ta_min_720h,2612.157470703125
f194,sw_in_min_720h,2576.41064453125
f137,vpd_mean_3h,2547.53857421875
f362,pl_social_code,2481.840087890625
f31,solar_hour,2476.663818359375
f364,tree_age_class_code,2458.026123046875
f219,ws_min_336h,2457.828125
f134,rh_min_720h,2431.3466796875
f10,month,2430.05908203125
f350,precip_cum_24h,2426.81884765625
f323,ppfd_in_lag_1h,2424.5986328125
f109,social_status_code,2412.902587890625
f106,rh_mean_6h,2394.165771484375
f348,ppfd_in_rate_6h,2385.8076171875
f305,sw_in_lag_1h,2264.383056640625
f24,is_night,2252.83056640625
f225,ws_max_720h,2239.908935546875
f330,ta_rate_6h,2222.326416015625
f196,sw_in_range_720h,2210.3212890625
f164,vpd_min_720h,2194.8193359375
f103,aridity_index,2124.710693359375
f275,ppfd_in_max_168h,2118.774658203125
f124,rh_min_168h,2087.92626953125
f165,vpd_max_720h,2022.08984375
f13,hour_sin,2001.235595703125
f25,is_spring,1965.986083984375
f366,swc_shallow,1934.560546875
f64,n_trees,1930.665283203125
f159,vpd_min_336h,1893.908447265625
f130,rh_max_336h,1883.8206787109375
f334,rh_rate_24h,1864.8038330078125
f35,solar_day_sin,1836.080322265625
f222,ws_mean_720h,1821.6295166015625
f141,vpd_mean_12h,1817.460693359375
f265,ppfd_in_mean_48h,1817.2127685546875
f190,sw_in_max_336h,1813.96435546875
f168,sw_in_std_3h,1813.3782958984375
f32,solar_day_of_year,1807.4385986328125
f186,sw_in_range_168h,1783.9395751953125
f62,sapwood_leaf_ratio,1740.1632080078125
f154,vpd_min_168h,1719.5308837890625
f185,sw_in_max_168h,1718.0159912109375
f95,pl_height,1674.9490966796875
f253,precip_std_720h,1661.8050537109375
f385,swc_shallow_min_72h,1615.136474609375
f132,rh_mean_720h,1589.722900390625
f14,hour_cos,1565.2037353515625
f91,ta_max_720h,1554.7347412109375
f105,biome_code,1527.97314453125
f28,is_winter,1521.70361328125
f33,solar_hour_sin,1520.0902099609375
f310,sw_in_lag_24h,1513.040771484375
f77,ta_range_72h,1488.69921875
f283,ppfd_in_std_720h,1478.4713134765625
f354,sw_in_cum_72h,1454.6080322265625
f125,rh_max_168h,1444.657958984375
f17,month_sin,1440.61962890625
f93,pl_age,1422.0810546875
f252,precip_mean_720h,1414.47900390625
f133,rh_std_720h,1409.09228515625
f383,swc_shallow_mean_72h,1408.123291015625
f9,day_of_year,1400.796630859375
f223,ws_std_720h,1396.71728515625
f30,hours_since_sunset,1374.832763671875
f92,ta_range_720h,1351.283203125
f126,rh_range_168h,1334.877685546875
f399,swc_shallow_std_720h,1324.5234375
f193,sw_in_std_720h,1314.1602783203125
f277,ppfd_in_mean_336h,1294.2501220703125
f284,ppfd_in_min_720h,1290.7830810546875
f138,vpd_std_3h,1275.0721435546875
f12,day_of_week,1251.6300048828125
f80,ta_min_168h,1245.001220703125
f235,precip_mean_48h,1244.4849853515625
f55,stand_height,1243.325927734375
f29,hours_since_sunrise,1229.4949951171875
f398,swc_shallow_mean_720h,1224.4141845703125
f250,precip_max_336h,1199.9588623046875
