feature_index,feature_name,importance
f221,site_code_code,64979.4140625
f228,rh,8411.591796875
f158,sw_in_max_72h,7879.88916015625
f223,species_name_code,5378.5654296875
f6,hour,5230.7587890625
f238,vpd_ta_interaction,2261.618896484375
f23,is_daylight,2052.532958984375
f164,sw_in_max_336h,1739.646728515625
f207,leaf_habit_code,1647.1904296875
f230,swc_shallow,1602.6712646484375
f5,ext_rad,1503.17822265625
f116,rh_lag_6h,1491.348876953125
f247,f247,1481.4805908203125
f231,clay_percentage,1447.612060546875
f26,is_morning,1382.376220703125
f2,ws,1244.2413330078125
f233,silt_percentage,1036.954345703125
f173,ta_max_336h,1027.1285400390625
f54,vpd_std_3h,1007.4843139648438
f12,hour_cos,987.2378540039062
f20,solar_hour_cos,970.1515502929688
f70,vpd_std_720h,950.3773803710938
f21,solar_day_sin,907.69775390625
f191,mean_annual_precip,834.4221801757812
f241,temp_soil_interaction,825.87060546875
f36,ta_std_3h,791.086669921875
f19,solar_hour_sin,732.3434448242188
f160,sw_in_min_168h,727.9908447265625
f165,sw_in_range_336h,718.314453125
f234,basal_area,696.1163330078125
f29,is_spring,683.4777221679688
f245,f245,666.6596069335938
f59,vpd_mean_24h,608.4292602539062
f213,timezone_offset,548.8656005859375
f14,day_cos,548.5802612304688
f222,site_name_code,529.140625
f248,f248,523.2257690429688
f33,hours_since_sunrise,510.6775817871094
f37,ta_mean_6h,468.4631042480469
f232,sand_percentage,461.0755920410156
f183,precip_cum_168h,454.22802734375
f240,water_stress_index,454.01751708984375
f8,month,438.02435302734375
f106,rh_std_720h,434.47064208984375
f92,rh_std_6h,432.968994140625
f27,is_afternoon,430.884765625
f171,ta_range_168h,425.0163879394531
f188,longitude,417.1118469238281
f174,ta_range_336h,410.91168212890625
f17,solar_hour,399.4786071777344
f203,pl_sapw_depth,391.3114318847656
f175,sw_in_rate_1h,391.18585205078125
f7,day_of_year,358.3348388671875
f202,pl_sapw_area,336.6791687011719
f254,f254,329.0768127441406
f201,pl_bark_thick,328.4961242675781
f259,f259,326.8963928222656
f198,pl_dbh,323.6954040527344
f196,measurement_timestep,316.4786682128906
f24,is_peak_sunlight,316.3839111328125
f16,month_cos,311.39599609375
f246,f246,309.3575744628906
f114,rh_lag_2h,299.1754150390625
f120,vpd_lag_2h,295.2221374511719
f239,temp_humidity_ratio,267.3984375
f34,hours_since_sunset,262.7342529296875
f88,sw_in_std_720h,262.2458801269531
f237,vpd_ppfd_interaction,259.73748779296875
f253,f253,259.2133483886719
f170,ta_max_168h,254.472900390625
f172,ta_min_336h,250.70396423339844
f192,is_inside_country,247.5421600341797
f252,f252,244.4173126220703
f211,sapwood_leaf_ratio,244.20529174804688
f219,tree_size_class_code,243.5403289794922
f182,precip_cum_72h,240.3975067138672
f15,month_sin,232.80677795410156
f35,ta_mean_3h,222.55943298339844
f30,is_summer,219.79750061035156
f108,ta_lag_2h,218.77578735351562
f72,sw_in_std_3h,217.26876831054688
f121,vpd_lag_3h,216.0440673828125
f90,rh_std_3h,215.64280700683594
f68,vpd_std_336h,214.784912109375
f236,leaf_area_index,204.398681640625
f181,precip_cum_24h,203.80697631835938
f226,seasonal_temp_range,199.3622283935547
f150,ppfd_in_lag_2h,198.28094482421875
f9,year,196.2025146484375
f155,light_efficiency,194.20947265625
f157,sw_in_min_72h,193.4564971923828
f125,sw_in_lag_1h,182.3701629638672
f110,ta_lag_6h,181.57696533203125
f179,ta_rate_6h,178.44625854492188
f186,temp_deviation,175.9355010986328
f197,pl_age,174.08709716796875
f107,ta_lag_1h,171.2193603515625
f200,pl_leaf_area,171.16481018066406
f18,solar_day_of_year,171.1427459716797
f180,ta_rate_24h,167.29855346679688
f159,sw_in_range_72h,165.60989379882812
f25,is_weekend,165.43930053710938
f208,biome_code,164.67893981933594
f163,sw_in_min_336h,160.22360229492188
f91,rh_mean_6h,159.98171997070312
f109,ta_lag_3h,159.64382934570312
f156,radiation_temp_interaction,153.56468200683594
f235,tree_density,152.65000915527344
f184,sw_in_cum_24h,152.2677764892578
f128,sw_in_lag_6h,149.40155029296875
f124,vpd_lag_24h,148.62840270996094
f57,vpd_mean_12h,148.43475341796875
f22,solar_day_cos,147.17892456054688
f185,sw_in_cum_72h,143.36770629882812
f73,sw_in_mean_6h,138.60643005371094
f187,latitude,135.83506774902344
f227,seasonal_precip_range,134.18402099609375
f176,sw_in_rate_6h,132.18052673339844
f38,ta_std_6h,131.7387237548828
f86,sw_in_std_336h,131.00628662109375
f260,f260,130.46632385253906
f10,day_of_week,127.83494567871094
f149,ppfd_in_lag_1h,124.53683471679688
f161,sw_in_max_168h,122.85086822509766
f199,pl_height,122.30541229248047
f244,soil_depth,120.70375061035156
f152,ppfd_in_lag_6h,117.22329711914062
f94,rh_std_12h,116.565673828125
f220,tree_age_class_code,114.30403900146484
f53,vpd_mean_3h,113.86434936523438
f177,sw_in_rate_24h,112.37661743164062
f217,growth_condition_code,112.04922485351562
f267,f267,109.40082550048828
f55,vpd_mean_6h,108.57864379882812
f261,f261,107.26585388183594
f169,ta_min_168h,105.6014633178711
f0,ta,102.85918426513672
f215,igbp_class_code,99.69361877441406
f162,sw_in_range_168h,95.73594665527344
f243,humidity_soil_interaction,95.66324615478516
f166,ta_min_72h,95.44161987304688
f193,stand_age,93.69042205810547
f28,is_night,92.92729187011719
f214,measurement_frequency,92.34845733642578
f1,ppfd_in,92.17302703857422
f209,igbp_code,91.54317474365234
f52,ta_std_720h,91.25918579101562
f85,sw_in_mean_336h,91.24390411376953
f168,ta_range_72h,89.4312744140625
f87,sw_in_mean_720h,88.7474594116211
f167,ta_max_72h,88.13870239257812
f83,sw_in_mean_168h,88.1268539428711
f104,rh_std_336h,87.34201049804688
f151,ppfd_in_lag_3h,85.50011444091797
f195,n_trees,85.05136108398438
f118,rh_lag_24h,84.83806610107422
